3gram	Bakhtin_slovoVRomane_partition_part2_wordlist_3gram	Bakhtin_slovoVRomane_partition_part1_wordlist_3gram
своего и чужого	2	2
той или иной	9	5
в свою очередь	2	2
с чужим словом	8	10
а вовсе не	2	2
во всяком случае	5	2
и в сущности	2	2
в нем в	3	3
во всех его	7	2
в зависимости от	3	4
так и в	3	3
языков в пределах	3	5
единый и единственный	2	2
в той или	9	3
язык и мир	5	3
или иной степени	9	3
не могут быть	2	2
как мы уже	2	2
не только в	2	2
но в то	4	3
в большинстве случаев	6	5
в романе в	3	3
зрения на мир	4	2
в то же	12	4
в узком смысле	10	4
с точки зрения	8	3
слово в романе	2	3
и там где	2	3
в этом случае	2	6
языка то есть	2	2
хотя бы и	3	2
и т п	23	33
с одной стороны	4	5
и т д	5	2
как мы сказали	4	2
в отношении к	6	4
к чужому слову	4	2
более или менее	3	2
то же время	12	4
до сих пор	2	2
и в особенности	4	2
