2gram	Propp_IstoricheskieKorniVolshebnoiSkazki_partition_part1_wordlist_2gram	Propp_IstoricheskieKorniVolshebnoiSkazki_partition_part3_wordlist_2gram
между тем	2	2
мы имеем	19	13
связи с	6	4
относится к	2	2
не ходи	2	2
волшебного средства	2	2
никогда не	3	14
как будто	2	4
не совсем	3	3
так же	3	7
так часто	2	2
на смерть	3	2
в нем	9	2
видели что	4	3
запрет не	2	2
его в	3	6
так и	2	9
что она	5	5
в лесу	26	8
это не	6	7
в свете	5	2
прежде всего	3	10
но это	3	4
и он	2	3
со стороны	3	2
очень часто	3	3
и в	22	28
одна из	2	2
в брак	14	2
но не	7	5
в русской	3	2
в силу	2	5
вместе с	9	6
в избушке	3	2
в немецкой	3	2
если бы	6	8
стоит на	3	2
к тому	3	6
сказке в	4	3
в качестве	2	5
и т	16	25
этих случаях	7	2
утверждать что	2	3
сказка не	2	5
для нас	4	13
должен был	3	3
здесь не	3	4
другой стороны	7	5
еще одну	2	2
при этом	2	3
детей в	2	3
лесной избушки	2	2
живет в	5	2
связь с	6	4
сказке но	2	3
и потому	2	2
этот вопрос	2	7
в царство	4	7
и другие	4	4
с этим	8	4
и с	4	4
что герой	3	9
неи сказка	3	2
и как	3	2
сказка сохранила	2	9
даже не	2	2
того что	5	4
не менее	5	6
не все	6	4
не дает	2	2
что он	9	10
показывает что	5	3
так что	5	4
в своем	2	5
и эти	3	3
тем не	5	6
сказка здесь	6	2
здесь можно	6	2
с тем	2	4
вступает в	3	2
что они	8	5
дома не	3	2
в целом	3	2
дело с	2	2
то же	6	12
на этом	4	3
к этому	7	2
не вполне	6	2
представляет собой	3	4
сих пор	5	5
что в	15	12
во многих	2	2
уже не	7	3
в этом	17	8
представления о	2	3
некоторое время	3	2
его и	4	2
видим что	4	9
не всегда	4	8
в обряде	5	3
с одной	2	4
сказке есть	3	2
этого мотива	4	2
еще не	10	7
видно что	2	6
в то	2	3
т е	16	10
и для	2	4
они не	4	4
так как	7	6
в тех	2	2
очень много	2	3
было бы	3	7
в могилу	2	2
с ней	6	2
же не	2	3
ни дверей	2	2
с того	2	3
и др	2	7
таким образом	10	8
а в	6	7
эти материалы	2	2
случаи когда	4	3
сказка и	2	9
ее в	3	5
этот обряд	2	2
до сих	5	5
смерть и	2	2
на нее	3	2
иногда с	2	3
как мы	8	3
вопрос о	2	5
то и	6	2
а именно	4	4
ж ст	5	2
представляют собой	4	6
вовсе не	2	2
например в	2	5
из дома	2	6
в лес	12	8
с изучением	2	2
в некоторых	5	2
все эти	4	4
точно так	2	3
как это	4	3
что девушка	4	2
сказки в	4	3
увидим ниже	3	2
не в	4	9
но все	2	4
отношению к	2	3
мы видим	8	11
находится в	4	4
царство мертвых	3	5
всех этих	2	2
и не	12	9
даже в	2	4
может быть	11	25
как правило	2	4
в виде	2	2
связано с	4	2
мы знаем	2	4
большинстве случаев	2	4
в одном	2	5
о том	3	9
так в	6	4
в этой	5	6
сказкой не	2	2
при помощи	3	2
обряда посвящения	4	2
в связи	3	4
я не	3	3
мы должны	7	13
избушку и	3	3
не с	2	3
что здесь	6	5
только в	4	11
но и	12	10
не будем	3	5
в другом	2	3
что не	2	2
в дальнейшем	4	5
образом мы	2	2
там же	2	2
мы здесь	4	3
то время	2	3
сказать что	3	5
из них	7	3
в этих	11	7
выше мы	3	3
то мы	2	4
в доме	12	2
из дому	3	5
как в	2	2
что и	9	6
то что	7	9
как и	3	4
мы видели	13	2
т д	15	22
мы увидим	3	10
потому что	3	4
исторической действительности	2	7
один из	5	4
в особенности	2	2
и здесь	7	7
что яга	2	3
и пр	11	4
поставить вопрос	2	2
и его	4	3
ни один	2	6
герой попадает	3	3
не может	4	15
он не	5	2
русской сказке	2	2
в его	3	5
и она	3	2
одним из	4	2
не только	14	12
том что	8	7
а затем	3	2
во время	6	3
ко мне	2	2
могут быть	5	4
попадает в	11	5
именно так	2	2
тем что	4	3
а не	6	15
же как	2	2
у меня	5	3
раньше чем	3	4
и даже	2	4
должны были	3	2
в ней	2	7
их в	3	5
то это	2	3
никто не	2	2
на это	2	2
и на	4	4
есть только	2	3
можно видеть	2	2
ты не	2	5
неи здесь	2	2
мы сейчас	2	2
по отношению	2	3
в котором	2	3
немецкой сказке	3	2
или в	11	5
детей и	3	4
ничего не	6	2
но они	2	2
мы еще	3	3
одной стороны	2	4
половой зрелости	2	3
там где	7	4
превращается в	3	4
в том	9	9
об этой	2	2
в сказке	50	44
но в	10	8
здесь мы	5	7
что сказка	5	10
и что	2	10
с другой	7	6
и от	3	2
и вот	2	2
лес и	3	2
время как	2	3
однако это	3	3
в пределах	4	4
все же	5	10
в частности	5	2
