N	3gram	Ircho_Kome	Formalny
1	с точки зрения	6	40
2	то же время	11	20
3	в то же	11	20
4	и т п	4	18
5	во всяком случае	3	16
6	в связи с	3	16
7	по отношению к	4	12
8	в самом деле	13	11
9	в этом отношении	2	11
10	бы то ни	3	10
11	с другой стороны	2	9
12	для того чтобы	8	8
13	до сих пор	12	8
14	вместе с тем	5	8
15	с одной стороны	4	8
16	более или менее	2	7
17	то ни было	3	7
18	в свою очередь	10	7
19	в высшей степени	2	7
20	и в то	2	6
21	в том что	15	6
22	одной стороны и	2	5
23	в отличие от	3	5
24	в конце концов	3	4
25	с самого начала	5	4
26	тем не менее	3	4
27	но все же	3	4
28	то же самое	3	3
29	т е в	2	3
30	и тот же	3	3
31	друг с другом	3	3
32	в том числе	2	3
33	иначе обстоит дело	3	3
34	обстоит дело с	3	3
35	один и тот	3	3
36	так или иначе	3	3
37	том числе и	2	3
38	равно как и	3	3
39	мы имеем в	2	2
40	говоря уже о	2	2
41	не говоря уже	2	2
42	в известной степени	2	2
43	и все же	2	2
44	ни в чем	2	2
45	именно потому что	2	2
46	о том как	5	2
47	в этом случае	2	2
48	что и в	2	2
49	в какой мере	2	2
50	имеем в виду	2	2
