N	3gram	Vinokur_St	Formalny
1	с точки зрения	10	40
2	не может быть	5	29
3	на самом деле	7	21
4	то же время	5	20
5	в то же	5	20
6	и т д	25	19
7	и т п	11	18
8	во всяком случае	8	16
9	в настоящее время	2	13
10	по отношению к	3	12
11	так и в	5	11
12	в самом деле	7	11
13	в этом отношении	13	11
14	бы то ни	2	10
15	в зависимости от	2	10
16	с другой стороны	8	9
17	для того чтобы	13	8
18	до сих пор	12	8
19	вместе с тем	2	8
20	с одной стороны	2	8
21	в применении к	3	7
22	более или менее	2	7
23	сами по себе	2	7
24	и в этом	4	7
25	того или иного	4	7
26	может быть и	2	6
27	в данном случае	7	6
28	не только не	2	6
29	в своей статье	4	6
30	в том что	29	6
31	в значительной степени	2	5
32	в этом смысле	2	5
33	как бы ни	2	5
34	к тому что	4	5
35	в конце концов	2	4
36	с самого начала	3	4
37	тем не менее	4	4
38	не в том	3	4
39	но и в	2	4
40	т п в	4	4
41	в той же	2	4
42	но все же	3	4
43	что же касается	3	3
44	т е в	3	3
45	то или иное	3	3
46	в предисловии к	2	3
47	но в то	2	3
48	в том числе	3	3
49	точки зрения их	2	3
50	всяком случае в	2	3
51	так или иначе	3	3
52	в том смысле	4	3
53	том числе и	2	3
54	при таком положении	2	3
55	в той мере	2	2
56	вовсе не в	2	2
57	говоря уже о	2	2
58	нужно сказать что	5	2
59	иметь в виду	2	2
60	так же как	5	2
61	ничего общего с	3	2
62	дело не в	2	2
63	и в данном	2	2
64	как и в	2	2
65	одним и тем	2	2
66	той мере в	2	2
67	что это не	2	2
68	не говоря уже	2	2
69	в это время	3	2
70	на этот вопрос	2	2
71	и тем же	2	2
72	не только в	4	2
73	в одной из	3	2
74	хотя бы и	2	2
75	том смысле что	2	2
76	т е с	3	2
77	мере в какой	3	2
78	в этом случае	3	2
79	что и в	4	2
80	и в том	3	2
81	но и с	2	2
82	что в нем	2	2
83	дело в том	7	2
