N	2gram	Voloshinov	Formalny
1	и в	42	95
2	и не	14	78
3	может быть	13	66
4	в этом	10	61
5	не может	13	57
6	и пр	4	53
7	вовсе не	2	53
8	таким образом	8	52
9	и его	7	51
10	так и	7	50
11	точки зрения	11	47
12	в нем	6	42
13	в его	6	42
14	прежде всего	22	41
15	с точки	5	40
16	как и	12	39
17	не в	6	35
18	в самом	5	35
19	в процессе	6	34
20	а не	7	34
21	но и	16	33
22	то же	16	32
23	самом деле	5	32
24	не только	28	30
25	в пределах	2	28
26	в том	3	26
27	отнюдь не	10	26
28	если бы	4	26
29	то что	9	25
30	на самом	3	24
31	при этом	9	24
32	в своей	2	24
33	лишь в	4	24
34	в ней	8	23
35	связи с	3	23
36	было бы	7	23
37	с помощью	6	23
38	в то	9	22
39	как бы	30	21
40	и с	5	21
41	в их	2	20
42	между ними	3	20
43	и от	7	20
44	с тем	8	20
45	как мы	10	20
46	же время	7	20
47	место в	2	20
48	все это	4	19
49	хотя бы	18	19
50	социального общения	14	19
51	все же	9	18
52	и все	4	18
53	все эти	3	18
54	в связи	2	18
55	с его	8	18
56	и их	5	18
57	только в	7	18
58	социальной жизни	3	17
59	как в	3	17
60	так же	4	16
61	совершенно не	3	16
62	потому что	7	16
63	его в	4	15
64	все время	5	15
65	но в	5	15
66	бы в	6	15
67	с другими	2	15
68	так как	8	15
69	должно быть	2	15
70	во всех	6	15
71	и на	7	15
72	что он	2	14
73	только на	3	14
74	в целом	4	14
75	языка и	4	14
76	в ее	3	14
77	еще не	3	14
78	литературное произведение	2	14
79	в жизни	2	14
80	в этой	6	14
81	если мы	4	14
82	и потому	2	14
83	жизни и	3	14
84	вместе с	5	14
85	до конца	2	13
86	того что	4	13
87	а в	5	13
88	что же	8	13
89	для них	2	13
90	что и	3	13
91	независимо от	5	13
92	тем что	2	13
93	как таковой	3	13
94	по отношению	2	12
95	как это	5	12
96	того чтобы	7	12
97	и здесь	3	12
98	к тому	4	12
99	отношению к	2	12
100	и для	3	12
101	уже не	4	12
102	никогда не	7	11
103	этом отношении	2	11
104	в идеологическом	2	11
105	в основе	3	11
106	так сказать	4	11
107	но не	2	11
108	слова и	5	11
109	для него	3	11
110	зависимости от	7	11
111	между тем	3	11
112	не есть	2	10
113	друг друга	2	10
114	в зависимости	7	10
115	мы не	9	10
116	не было	2	10
117	в дальнейшем	2	10
118	мы видели	5	10
119	не является	5	10
120	и как	10	10
121	в своих	2	10
122	главным образом	3	10
123	конечно не	3	10
124	он не	2	10
125	в слове	4	10
126	тем же	4	10
127	ничего не	8	9
128	здесь не	2	9
129	но это	2	9
130	или иного	5	9
131	в каждом	4	9
132	и даже	3	9
133	но ведь	6	9
134	у нас	4	9
135	язык и	9	9
136	еще более	2	9
137	в свою	6	9
138	языка в	2	9
139	отношения к	3	9
140	в языке	2	9
141	это не	3	8
142	между собой	2	8
143	и те	2	8
144	в области	6	8
145	для этого	2	8
146	что это	4	8
147	с этим	2	8
148	сих пор	2	8
149	и является	5	8
150	мы ни	3	8
151	должен быть	2	8
152	и к	4	8
153	роль в	3	8
154	для того	9	8
155	ясно что	2	8
156	том что	3	7
157	в себе	10	7
158	как таковое	2	7
159	свою очередь	4	7
160	что именно	4	7
161	даже и	2	7
162	войти в	2	7
163	значение и	2	7
164	сказать что	3	7
165	к этому	2	7
166	того или	5	7
167	и наконец	5	7
168	в какой	2	7
169	но все	5	7
170	ничем не	2	7
171	из них	3	7
172	в той	5	7
173	мы увидим	5	7
174	тем самым	8	6
175	в которой	7	6
176	в конструкции	3	6
177	в конце	6	6
178	отношение к	2	6
179	и тем	7	6
180	у них	3	6
181	в частности	3	6
182	его и	3	6
183	и это	8	6
184	тому что	5	6
185	в этих	2	6
186	те же	5	6
