N	3gram	Medvedev_V	FransuaR
1	в то же	5	55
2	то же время	5	55
3	до сих пор	2	27
4	в том числе	2	27
5	в том что	5	27
6	в этом отношении	14	20
7	для того чтобы	3	17
8	о том что	3	17
9	том числе и	2	17
10	в связи с	4	16
11	большей или меньшей	3	16
12	в большей или	2	15
13	или меньшей степени	2	14
14	не может быть	8	13
15	с одной стороны	2	13
16	в другом месте	2	12
17	с другой стороны	8	12
18	и в то	3	12
19	можно сказать что	4	11
20	в конце концов	2	10
21	не только в	2	10
22	по отношению к	7	9
23	более или менее	6	8
24	и др в	3	8
25	мы видели что	3	8
26	таким образом в	2	8
27	после того как	2	8
28	во всех этих	2	7
29	в чем же	2	7
30	можно было бы	2	7
31	в значительной мере	3	7
32	подобно тому как	3	7
33	о том как	3	7
34	во всех его	2	6
35	во всяком случае	2	5
36	это и есть	3	5
37	одной стороны и	2	5
38	только то что	2	5
39	также и в	2	4
40	в одном из	4	4
41	и не может	2	4
42	не только для	2	4
43	в этом процессе	2	3
44	не только не	2	3
45	вместе с тем	4	3
46	хотя бы в	3	2
47	мы знаем что	2	2
48	не могут быть	4	2
49	все эти явления	2	2
50	в конечном счете	5	2
51	так и от	2	2
52	по этому поводу	7	2
53	можно определить как	2	2
54	и в другом	2	2
55	в частности к	2	2
56	еще и не	2	2
57	в том чтобы	2	2
