N	2gram	Propp_Isto	Freidism
1	и не	19	34
2	таким образом	13	34
3	не может	19	30
4	и пр	11	29
5	может быть	37	28
6	и в	40	28
7	в этом	13	28
8	прежде всего	15	26
9	в его	10	25
10	и его	5	22
11	мы можем	7	20
12	как бы	6	19
13	как мы	3	18
14	то что	17	17
15	вовсе не	3	16
16	так как	20	15
17	точка зрения	2	15
18	все эти	6	15
19	самом деле	2	14
20	так и	13	14
21	в своей	2	14
22	с ним	3	14
23	во всех	3	13
24	но в	13	13
25	как и	5	13
26	по отношению	6	13
27	точку зрения	3	12
28	и потому	3	12
29	том что	11	12
30	то же	21	12
31	что он	32	12
32	мы видели	4	12
33	ни в	2	12
34	и наконец	5	12
35	для него	2	12
36	все это	6	12
37	сказать что	7	11
38	его в	15	11
39	отношению к	6	11
40	мы знаем	10	11
41	только в	16	11
42	никогда не	25	10
43	и с	5	10
44	не только	28	10
45	но и	21	10
46	не в	11	10
47	он не	10	10
48	в том	12	10
49	мы уже	7	10
50	один из	10	10
51	что же	4	10
52	тот же	3	10
53	конечно не	2	10
54	мы должны	17	9
55	могут быть	5	9
56	к этому	2	9
57	и др	11	9
58	к нему	3	9
59	уже не	3	9
60	и на	6	9
61	мы не	12	9
62	а не	18	9
63	все же	17	8
64	с этим	5	8
65	было бы	11	8
66	оно и	2	8
67	и вот	2	8
68	еще не	14	8
69	с другими	2	8
70	а в	15	8
71	знаем что	9	8
72	в ней	10	8
73	на этом	3	8
74	при этом	6	8
75	в каком	2	7
76	так сказать	3	7
77	не могут	3	7
78	в жизни	2	7
79	в то	4	7
80	в себе	6	7
81	что в	19	7
82	и ее	3	7
83	хотя бы	5	7
84	и для	5	7
85	роль в	3	7
86	того что	6	7
87	но не	7	7
88	с самого	4	7
89	об этом	11	7
90	связь с	8	7
91	в нем	8	7
92	если мы	4	7
93	из них	5	7
94	в этой	9	7
95	одно из	2	6
96	на самом	3	6
97	для этого	3	6
98	но мы	2	6
99	мы имеем	25	6
100	из этих	2	6
101	всех этих	4	6
102	не менее	7	6
103	и только	4	6
104	в пределах	4	6
105	она не	6	6
106	к тому	6	6
107	не можем	4	6
108	что такое	3	6
109	большинстве случаев	4	6
110	здесь в	4	6
111	как раз	2	6
112	и что	14	6
113	во время	5	6
114	в основе	4	6
115	что это	12	5
116	ничего не	6	5
117	со стороны	3	5
118	что она	10	5
119	в которой	2	5
120	и по	4	5
121	другими словами	8	5
122	на первый	2	5
123	между ними	2	5
124	в этих	17	5
125	как это	6	5
126	не знает	7	5
127	самого начала	4	5
128	увидим что	8	5
129	что и	9	5
130	ее в	7	5
131	в более	2	5
132	в большинстве	4	5
133	это не	8	5
134	отнюдь не	2	5
135	того чтобы	3	5
136	не было	3	5
137	в ее	2	5
138	с ними	2	5
139	в себя	2	5
140	вместе с	13	5
141	одна из	4	4
142	в мир	2	4
143	в таких	4	4
144	дает нам	3	4
145	так же	18	4
146	нисколько не	3	4
147	но это	8	4
148	в области	2	4
149	связанных с	2	4
150	с ее	2	4
151	в другом	6	4
152	тем не	7	4
153	на него	7	4
154	если бы	8	4
155	мы увидим	17	4
156	в виду	2	4
157	в основном	4	4
158	нигде не	2	4
159	не всегда	9	4
160	только на	2	4
161	у него	5	4
162	как в	7	4
163	к ней	3	4
164	между собой	4	4
165	в своем	5	4
166	только с	4	4
167	борьбы с	2	4
168	едва ли	2	4
169	так называемый	2	4
170	и оно	2	4
171	а только	3	4
172	в котором	5	4
173	связанные с	3	4
174	потому что	12	4
175	именно в	5	4
176	уже знаем	3	4
177	этот вопрос	7	4
178	не существует	2	4
179	главным образом	2	4
180	по себе	4	4
181	в целом	3	4
182	зависимости от	3	4
183	должны быть	4	4
184	в зависимости	3	4
185	себя и	2	4
186	то ни	2	4
187	войти в	2	4
188	в истории	2	4
189	я не	5	4
190	не дает	2	4
191	и то	3	3
192	и от	2	3
193	не делает	2	3
194	дать ему	2	3
195	в эпоху	2	3
196	этот мотив	3	3
197	не будем	7	3
198	в результате	2	3
199	к себе	2	3
200	и даже	4	3
201	и тот	3	3
202	он дает	2	3
203	и как	3	3
204	видели что	5	3
205	нам важно	3	3
206	а как	2	3
207	он был	3	3
208	ни один	8	3
209	одним из	2	3
210	этого не	6	3
211	и со	2	3
212	такой же	2	3
213	связано с	2	3
214	сих пор	12	3
215	наших дней	2	3
216	в какой	4	3
217	мы в	4	3
218	на этот	2	3
219	не так	2	3
220	на этой	2	3
221	о том	12	3
222	и она	4	3
223	они не	8	3
224	один и	2	3
225	в совершенно	2	3
226	развития как	2	3
227	оно может	2	3
228	если это	3	3
229	в конечном	2	3
230	и социальной	3	3
231	их в	7	3
232	на себя	2	3
233	ответ на	3	3
234	приводит к	3	3
235	для всех	2	3
236	и этим	3	3
237	в одном	8	3
238	в основу	2	3
239	что мы	9	3
240	в них	2	3
241	уже в	2	3
242	себя в	2	3
243	на это	3	3
244	раз и	3	3
245	находится в	6	3
246	говорит о	2	3
247	мы видим	16	3
248	не совсем	5	3
249	когда он	9	3
250	и есть	5	3
251	есть только	3	3
252	во всей	2	3
253	них не	2	3
254	до сих	11	3
255	между тем	2	3
256	на основе	6	3
257	бы то	2	3
258	да и	3	2
259	в книге	4	2
260	чтобы не	3	2
261	вопрос о	8	2
262	к этой	5	2
263	нет в	2	2
264	вот как	2	2
265	когда мы	4	2
266	и между	3	2
267	нас к	2	2
268	а также	2	2
269	в круг	2	2
270	время в	2	2
271	другом месте	2	2
272	в одной	3	2
273	таких случаях	4	2
274	одним словом	4	2
275	половой зрелости	4	2
276	по пути	2	2
277	от начала	2	2
278	дело в	3	2
279	в состоянии	2	2
280	должно быть	2	2
281	бы в	2	2
282	превращается в	4	2
283	всех сторон	4	2
284	дело не	8	2
285	это было	2	2
286	не как	3	2
287	вспомним что	3	2
288	в глаза	2	2
289	его и	6	2
290	также в	2	2
291	в отличие	3	2
292	и часто	4	2
293	есть и	2	2
294	в мифах	4	2
295	то мы	6	2
296	в третий	2	2
297	но их	2	2
298	друг друга	2	2
299	должен быть	3	2
300	к делу	2	2
301	их нельзя	2	2
302	это один	3	2
303	но так	3	2
304	связана с	7	2
305	при помощи	2	2
306	и тем	2	2
307	он должен	3	2
308	в некоторых	4	2
309	в их	6	2
310	относится и	2	2
311	в поле	2	2
312	только для	3	2
313	ни было	2	2
314	может оказаться	3	2
315	к своему	3	2
316	и другие	7	2
317	а именно	5	2
318	ничем не	2	2
319	для нас	17	2
320	которые можно	2	2
321	их не	3	2
322	меньшей мере	2	2
323	обратимся к	3	2
324	его уже	2	2
325	отличие от	3	2
326	его не	3	2
327	нас в	2	2
328	в такой	2	2
329	с одной	8	2
330	должна быть	5	2
331	этот страх	2	2
332	подойти к	2	2
333	а с	4	2
334	образом в	2	2
335	очень много	10	2
336	о нем	5	2
337	от этих	2	2
338	в прошлом	2	2
339	страх перед	4	2
340	от этого	2	2
341	и так	3	2
342	в него	2	2
343	силу и	2	2
344	в эту	3	2
345	относится к	2	2
346	в америке	3	2
347	только через	3	2
348	также и	3	2
349	не есть	2	2
350	же что	2	2
351	к которой	2	2
352	с другой	8	2
353	он в	5	2
354	заметить что	2	2
355	зависит от	3	2
356	только одна	2	2
357	большую роль	3	2
358	на первых	2	2
359	при которой	2	2
360	социальной жизни	4	2
361	отказаться от	2	2
362	на которой	2	2
363	но все	9	2
364	он и	3	2
365	одной стороны	7	2
366	тогда когда	2	2
367	из которых	3	2
368	представляет собой	7	2
369	тому кто	2	2
370	и их	4	2
371	но как	2	2
372	не то	4	2
373	на них	2	2
374	мог бы	3	2
375	на другой	2	2
376	но если	4	2
377	ли он	3	2
378	там где	5	2
379	же как	7	2
380	слагается из	2	2
381	из этого	3	2
382	на более	6	2
383	не выходит	2	2
384	три года	2	2
385	которые на	2	2
386	обстоит дело	4	2
387	могли бы	3	2
388	проникнуть в	3	2
389	в качестве	8	2
390	только о	2	2
391	же самое	3	2
392	отношения к	2	2
393	в дальнейшем	6	2
394	и они	5	2
395	что при	3	2
396	в глубине	2	2
397	в работе	3	2
398	в нашей	2	2
399	будто бы	4	2
400	мы могли	2	2
401	ясно что	2	2
