N	2gram	Voloshinov	Freidism
1	и не	42	34
2	таким образом	29	34
3	точки зрения	48	31
4	не может	40	30
5	и пр	31	29
6	– это	11	29
7	может быть	50	28
8	и в	32	28
9	в этом	27	28
10	прежде всего	19	26
11	в его	10	25
12	и его	33	22
13	это –	12	22
14	мы можем	6	20
15	с помощью	11	20
16	как бы	31	19
17	как мы	26	18
18	– в	13	17
19	то что	12	17
20	вовсе не	15	16
21	так как	5	15
22	точка зрения	8	15
23	с точки	31	15
24	все эти	8	15
25	самом деле	18	14
26	так и	21	14
27	в своей	5	14
28	во всех	13	13
29	и все	8	13
30	в душе	3	13
31	но в	13	13
32	как и	19	13
33	по отношению	10	13
34	точку зрения	4	12
35	и потому	7	12
36	том что	12	12
37	– не	11	12
38	то же	19	12
39	что он	5	12
40	мы видели	5	12
41	психической жизни	4	12
42	ни в	7	12
43	в самом	14	12
44	для него	18	12
45	все это	4	12
46	во внешнем	2	12
47	сказать что	7	11
48	его в	7	11
49	отношению к	9	11
50	мы знаем	7	11
51	только в	14	11
52	никогда не	7	10
53	и с	4	10
54	все те	4	10
55	за пределы	8	10
56	не только	18	10
57	но и	17	10
58	не в	13	10
59	он не	5	10
60	в том	13	10
61	мы уже	7	10
62	что же	5	10
63	тот же	4	10
64	конечно не	9	10
65	мы должны	4	9
66	могут быть	4	9
67	к этому	10	9
68	те же	5	9
69	совершенно не	6	9
70	и др	3	9
71	к нему	5	9
72	в чем	2	9
73	уже не	2	9
74	и на	8	9
75	мы не	6	9
76	а не	15	9
77	во всяком	8	9
78	с его	6	9
79	все же	13	8
80	с этим	6	8
81	– все	3	8
82	было бы	8	8
83	оно и	2	8
84	и вот	2	8
85	еще не	7	8
86	с другими	6	8
87	а в	5	8
88	в ней	5	8
89	всяком случае	4	8
90	при этом	13	8
91	в каком	6	7
92	так сказать	19	7
93	не могут	4	7
94	до конца	6	7
95	в жизни	2	7
96	в то	7	7
97	в себе	5	7
98	что в	5	7
99	и ее	4	7
100	– и	8	7
101	хотя бы	8	7
102	и для	15	7
103	быть и	9	7
104	не является	11	7
105	того что	5	7
106	на протяжении	2	7
107	его жизни	2	7
108	но не	2	7
109	что все	3	7
110	более того	7	7
111	с самого	9	7
112	связь с	4	7
113	в нем	17	7
114	если мы	17	7
115	и к	3	7
116	из них	3	7
117	и прежде	4	7
118	– с	4	7
119	жизни и	4	7
120	в этой	3	7
121	на самом	10	6
122	в высшей	5	6
123	индивидуальной психики	4	6
124	в психике	2	6
125	из этих	3	6
126	всех этих	2	6
127	для марксизма	3	6
128	объективная психология	4	6
129	сознания и	6	6
130	не менее	5	6
131	для того	8	6
132	в таком	8	6
133	и только	2	6
134	если он	2	6
135	которой мы	2	6
136	в пределах	7	6
137	– как	6	6
138	в корне	6	6
139	она не	2	6
140	к тому	8	6
141	что такое	3	6
142	можно сказать	4	6
143	чем же	7	6
144	ни о	2	6
145	в свою	6	6
146	большинстве случаев	7	6
147	совсем не	2	6
148	здесь в	5	6
149	как раз	5	6
150	и что	2	6
151	высшей степени	5	6
152	же время	7	6
153	во время	2	6
154	учение о	3	6
155	в основе	10	6
156	оно –	2	5
157	он –	3	5
158	что это	3	5
159	ничего не	9	5
160	со стороны	2	5
161	индивидуального организма	5	5
162	с их	2	5
163	в которой	4	5
164	можем сказать	2	5
165	другими словами	4	5
166	от того	4	5
167	на первый	2	5
168	и те	7	5
169	между ними	6	5
170	в этих	2	5
171	как это	2	5
172	не знает	4	5
173	самого начала	9	5
174	внешнего опыта	2	5
175	конечно и	2	5
176	внутренней речи	13	5
177	что и	5	5
178	ее в	2	5
179	тому что	6	5
180	в более	3	5
181	далеко не	5	5
182	в своих	2	5
183	в большинстве	7	5
184	это не	5	5
185	той же	5	5
186	в процессе	31	5
187	отнюдь не	14	5
188	в следующей	3	5
189	того чтобы	9	5
190	не было	6	5
191	в ее	9	5
192	с ними	5	5
193	– говорит	6	5
194	и до	4	5
195	говорить о	2	5
196	вместе с	2	5
197	человека в	3	4
198	одна из	6	4
199	и вообще	3	4
200	его к	4	4
201	так же	10	4
202	подхода к	4	4
203	в систему	3	4
204	в области	3	4
205	этот процесс	4	4
206	в собственном	2	4
207	мысли и	7	4
208	с ее	2	4
209	в другом	5	4
210	тем не	3	4
211	внутренняя речь	9	4
212	этом отношении	4	4
213	если бы	12	4
214	таком случае	5	4
215	теперь мы	4	4
216	мы увидим	3	4
217	в виду	2	4
218	в основном	10	4
219	но ведь	4	4
220	ничего общего	5	4
221	свою очередь	5	4
222	только на	7	4
223	у него	2	4
224	может стать	7	4
225	как в	5	4
226	– но	2	4
227	между собой	3	4
228	в своем	3	4
229	только с	3	4
230	влияние на	3	4
231	ее целом	3	4
232	а только	2	4
233	в котором	6	4
234	потому что	2	4
235	именно в	6	4
236	уже знаем	2	4
237	как с	2	4
