N	3gram	Bakhtin_Pr	Komedia
1	в том что	10	29
2	до сих пор	3	16
3	то же время	10	16
4	в то же	10	16
5	о том что	5	13
6	в самом деле	5	13
7	для того чтобы	3	11
8	в то время	3	11
9	по отношению к	17	9
10	то время как	2	9
11	с другой стороны	3	8
12	то ни было	2	7
13	бы то ни	3	7
14	в конце концов	7	7
15	во всяком случае	3	7
16	с самого начала	3	7
17	с точки зрения	21	6
18	в отличие от	3	6
19	в этом отношении	7	5
20	том что он	4	5
21	именно потому что	3	4
22	можно было бы	4	4
23	в самом начале	3	4
24	в одном из	3	4
25	но все же	3	4
26	по сравнению с	2	4
27	на протяжении всего	2	3
28	в той же	3	3
29	друг от друга	2	3
30	таким образом в	2	3
31	может быть даже	2	3
32	в высшей степени	2	3
33	друг с другом	4	3
34	мы имеем в	2	2
35	в большинстве случаев	3	2
36	как мы видели	3	2
37	подобно тому как	5	2
38	в зависимости от	5	2
39	друг друга и	2	2
40	не только в	2	2
41	и в том	2	2
42	так же как	4	2
43	этой точки зрения	3	2
44	в этом смысле	12	2
45	тем более что	2	2
46	а может быть	2	2
47	в каждом из	2	2
48	и в то	3	2
49	он и не	3	2
50	имеем в виду	2	2
