N	3gram	Bakhtin_Pr	Myslijsy
1	в том что	6	47
2	по отношению к	5	26
3	не может быть	8	19
4	тем не менее	2	18
5	по крайней мере	2	17
6	то же время	8	13
7	в то же	8	13
8	а между тем	2	13
9	с другой стороны	3	12
10	более или менее	3	12
11	до сих пор	8	12
12	смысле этого слова	2	12
13	о том что	3	9
14	на то что	2	9
15	но и в	2	9
16	так и в	2	8
17	можно сказать что	6	7
18	как и в	4	7
19	с точки зрения	13	7
20	сама по себе	2	7
21	в этом смысле	5	7
22	с самого начала	4	6
23	друг от друга	2	6
24	не то что	3	5
25	все то что	2	4
26	мы видели что	2	4
27	в собственном смысле	3	4
28	дело в том	3	4
29	то есть в	5	3
30	слова то есть	2	3
31	нам кажется что	3	3
32	можно было бы	2	3
33	в большинстве случаев	9	3
34	хотя бы и	2	3
35	и во многих	2	2
36	и до сих	2	2
37	в смысле совокупности	2	2
38	того и другого	2	2
39	и во всех	3	2
40	в себе самом	2	2
41	в свое время	4	2
42	и других в	2	2
43	а следовательно и	2	2
44	то есть от	2	2
45	то есть если	2	2
46	то есть из	2	2
47	и не может	6	2
