N	2gram	Berdyaev_M	Myslijsy
1	потому что	25	182
2	то есть	3	142
3	и в	61	121
4	может быть	42	107
5	в том	9	103
6	то что	10	83
7	для нас	3	75
8	что в	12	73
9	и не	26	73
10	только в	7	72
11	не только	42	67
12	а не	36	67
13	том что	7	59
14	так как	10	59
15	в этом	34	59
16	но и	34	59
17	то же	4	56
18	не в	16	54
19	если бы	5	53
20	в себе	12	53
21	не может	39	52
22	по себе	2	52
23	того что	13	47
24	в нем	26	45
25	было бы	11	45
26	не есть	21	42
27	как и	14	42
28	так что	3	39
29	вместе с	7	39
30	мы не	2	38
31	что и	6	38
32	так и	5	37
33	как в	9	37
34	тогда когда	2	36
35	тем что	7	33
36	и что	4	32
37	по отношению	4	30
38	а в	4	30
39	но не	8	29
40	что не	3	29
41	между тем	2	29
42	есть только	2	28
43	для него	28	28
44	могут быть	2	27
45	с этим	4	27
46	не было	25	26
47	отношению к	4	26
48	душевной жизни	2	25
49	в то	2	24
50	с тем	10	23
51	от того	4	23
52	того как	3	23
53	как бы	10	23
54	но в	12	22
55	не имеет	7	22
56	и потому	17	21
57	в ней	23	20
58	это не	10	20
59	мысль о	2	20
60	заключает в	3	19
61	мысли и	2	19
62	и как	3	19
63	есть уже	8	19
64	с ним	5	19
65	есть не	9	19
66	и то	2	19
67	сказать что	5	19
68	что это	5	19
69	но это	8	19
70	должно быть	5	19
71	о том	5	19
72	в каком	2	18
73	для того	4	18
74	не могут	6	18
75	в человеке	10	18
76	в мысли	2	18
77	бы не	4	18
78	в самом	15	18
79	в его	10	17
80	точки зрения	6	17
81	уже в	6	17
82	в своем	17	16
83	к тому	6	16
84	в которой	8	16
85	так же	5	16
86	в них	5	16
87	и на	9	16
88	и по	4	15
89	в этих	6	15
90	думать что	4	15
91	тому как	2	15
92	что он	16	15
93	прежде всего	18	15
94	быть может	9	15
95	в свою	5	15
96	уже не	8	15
97	и без	2	14
98	должны быть	3	14
99	в истории	2	14
100	то в	2	14
101	на деле	4	14
102	в котором	9	14
103	все же	2	14
104	сам по	2	14
105	когда мы	2	14
106	во всех	3	14
107	бы ни	2	14
108	что все	5	13
109	и все	13	13
110	те же	5	13
111	том смысле	2	13
112	и его	13	13
113	никогда не	30	12
114	от него	4	12
115	человека и	19	12
116	и вместе	4	12
117	друг друга	12	12
118	одно из	3	12
119	мысли о	3	12
120	что же	2	12
121	все это	6	12
122	есть в	3	12
123	сих пор	5	12
124	человеческого духа	31	12
125	что такое	2	12
126	оно не	3	12
127	в чем	3	12
128	хотя и	2	12
129	относится к	2	12
130	в каждом	4	12
131	до сих	5	12
132	к одному	2	11
133	для человека	5	11
134	той же	3	11
135	того чтобы	4	11
136	все что	5	11
137	из себя	2	11
138	и их	3	11
139	же что	2	11
140	его в	6	11
141	к нему	8	11
142	к ней	6	11
143	что человек	5	11
144	подобно тому	2	11
145	и это	16	11
146	быть не	2	11
147	и для	7	10
148	мысль что	4	10
149	хотя бы	8	10
150	духа и	6	10
151	такой степени	2	10
152	одной и	2	10
153	тому что	2	10
154	мы видим	4	10
155	образ и	7	10
156	и от	3	10
157	и мы	2	10
158	не от	3	10
159	бы в	3	10
160	он не	34	10
161	и с	6	10
162	то время	2	10
163	образа и	2	10
164	и есть	21	10
165	вопрос о	7	9
166	и других	2	9
167	не будет	3	9
168	никто не	3	9
169	во многих	2	9
170	не все	3	9
171	от нее	5	9
172	самом деле	2	9
173	один из	9	9
174	что она	5	9
175	ко всем	3	9
176	на самом	2	8
177	смысле в	2	8
178	в более	4	8
179	отношений между	2	8
180	не как	4	8
181	что они	4	8
182	все равно	3	8
183	и более	2	8
184	человеческой природы	27	8
185	в самой	8	8
186	в которых	5	8
187	во всем	5	8
188	и той	2	8
189	на все	3	8
190	и тогда	2	8
191	не так	6	8
192	которые не	2	8
193	что есть	7	8
194	не имеют	2	7
195	а как	2	7
196	она не	9	7
197	и та	2	7
198	и во	5	7
199	себя и	6	7
200	место в	4	7
201	только один	3	7
202	его с	4	7
203	все эти	3	7
204	за пределы	5	7
205	и тот	2	7
206	с этой	4	7
207	что у	3	7
208	в своих	4	7
209	вряд ли	3	7
210	все в	7	7
211	его к	2	7
212	то все	2	7
213	тем как	2	7
214	в разных	3	7
215	даже и	2	7
216	не были	2	7
217	было в	3	7
218	самого себя	6	7
219	бы и	8	7
220	к этому	3	7
221	в жизни	7	7
222	не существует	5	7
223	есть явление	3	6
224	его на	4	6
225	но если	4	6
226	в виду	2	6
227	как он	4	6
228	увидим что	5	6
229	она есть	3	6
230	в образе	4	6
231	в ее	3	6
232	в своей	18	6
233	должна быть	7	6
234	в этой	12	6
235	в мире	12	6
236	у нас	13	6
237	в человеческой	5	6
238	после того	2	6
239	прежде чем	2	6
240	то он	3	6
241	с таким	2	6
242	и к	9	6
243	в их	4	6
244	его не	5	6
245	себе в	3	6
246	в сущности	2	6
247	нас в	3	6
248	есть то	2	6
249	об этом	2	6
250	и самое	3	6
251	но на	2	6
252	мог бы	5	6
253	жизни и	6	6
254	человек не	17	6
255	же и	2	6
256	у него	38	6
257	лишь в	8	6
258	но он	17	6
259	о человеке	24	5
260	когда человек	5	5
261	эта мысль	3	5
262	от своего	2	5
263	света и	2	5
264	быть назван	3	5
265	они не	4	5
266	свет и	2	5
267	природы в	5	5
268	если в	2	5
269	нет ничего	9	5
270	с другим	3	5
271	ли она	2	5
272	отношение к	9	5
273	входит в	3	5
274	в нашем	2	5
275	чем в	3	5
276	и у	3	5
277	на том	3	5
278	человеческой жизни	4	5
279	значительной степени	2	5
280	а к	2	5
281	в начале	2	5
282	или от	2	5
283	человека в	26	5
284	а от	3	5
285	одним из	2	5
286	отношении к	4	5
287	время как	2	5
288	на этот	2	5
289	и здесь	6	5
290	есть всегда	2	5
291	в той	3	5
292	к другому	4	5
293	конечно не	3	5
294	не к	6	5
295	иное как	4	4
296	у человека	6	4
297	не что	4	4
298	к своему	2	4
299	в такой	4	4
300	от этого	4	4
301	человеке и	8	4
302	было для	3	4
303	был бы	11	4
304	что без	2	4
305	его как	2	4
306	другим и	2	4
307	та же	4	4
308	и быть	2	4
309	более чем	3	4
310	что иное	4	4
311	из глубины	5	4
312	не мог	6	4
313	эти слова	2	4
314	ни в	3	4
315	еще более	3	4
316	к новому	2	4
317	но с	2	4
318	чтобы не	4	4
319	он должен	4	4
320	ничего не	4	4
321	не потому	2	4
322	свободы и	13	4
323	есть и	6	4
324	но эта	2	4
325	в наше	2	4
326	не знает	12	4
327	по своему	3	4
328	одна и	3	4
329	одно только	2	4
330	он в	4	4
331	все его	3	4
332	это есть	4	4
333	с его	6	4
334	но она	3	4
335	ведет к	16	4
336	человек может	3	4
337	про себя	2	4
338	на этом	5	4
339	со своим	2	4
340	я и	3	4
341	к тем	2	4
342	только одно	3	4
343	отношения к	6	4
344	в свой	2	3
345	как ее	2	3
346	к этим	3	3
347	есть одно	2	3
348	как человек	2	3
349	различие между	2	3
350	и сама	2	3
351	она может	2	3
352	и ее	2	3
353	в отношении	6	3
354	и поэтому	3	3
355	должен быть	4	3
356	и всегда	3	3
357	на человека	2	3
358	идеи и	2	3
359	к самому	2	3
360	и человек	5	3
361	для них	3	3
362	не была	4	3
363	ответить на	2	3
364	как для	2	3
365	необходимости в	2	3
366	для этого	3	3
367	человека а	3	3
368	еще до	2	3
369	бы это	2	3
370	которая не	2	3
371	от его	3	3
372	себе и	4	3
373	есть выражение	2	3
374	ни с	4	3
375	другу и	2	3
376	что за	2	3
377	человека только	2	3
378	как будто	4	3
379	человек должен	6	3
380	которые в	2	3
381	но для	2	3
382	и человека	5	3
383	необходимости и	2	3
384	движения в	2	3
385	природу и	2	3
386	к этой	3	3
387	человека то	2	3
388	с которой	2	3
389	значит что	4	3
390	совсем не	3	3
391	и когда	2	3
392	тех которые	2	3
393	и я	5	3
394	это значит	3	3
395	человек и	7	3
396	жизни то	2	3
397	потому только	2	3
398	мы увидим	4	3
399	должен был	4	3
400	ничего кроме	2	3
401	на природу	4	3
402	его мысль	2	3
403	что нет	2	3
404	человека с	2	3
405	в самых	2	3
406	людьми и	3	3
407	жизни не	2	3
408	с которым	2	3
409	он сам	11	3
410	не значит	2	3
411	человеку но	2	2
412	с любовью	2	2
413	не знали	2	2
414	ее и	2	2
415	собственной природы	2	2
416	в движении	4	2
417	раз когда	2	2
418	и кто	2	2
419	тем он	2	2
420	роль в	2	2
421	на пути	4	2
422	потому не	3	2
423	своей души	3	2
424	почему не	2	2
425	людей и	5	2
426	выйти из	2	2
427	духовной жизни	3	2
428	они были	2	2
429	к человеку	21	2
430	любви к	14	2
431	ни к	2	2
432	тому чтобы	2	2
433	же не	2	2
434	с внутренней	2	2
435	переходит в	23	2
436	с такой	2	2
437	и самого	2	2
438	не иметь	2	2
439	принадлежит к	3	2
440	быть и	2	2
441	что свобода	3	2
442	же есть	4	2
443	бы он	2	2
444	лежит в	2	2
445	человека на	7	2
446	и эта	3	2
447	с их	2	2
448	этот мир	2	2
449	целый ряд	2	2
450	и человеческого	2	2
451	принадлежат к	3	2
452	обнаруживается в	2	2
453	нет ни	3	2
454	сознания в	2	2
455	по своей	4	2
456	как у	2	2
457	с человеком	2	2
458	есть лишь	23	2
459	мы еще	4	2
460	от всех	2	2
461	есть свобода	6	2
462	когда он	3	2
463	ко второй	2	2
464	если он	7	2
465	другого в	2	2
466	со своей	2	2
467	друг к	6	2
468	что дух	2	2
469	и должно	3	2
470	в сфере	2	2
471	его собственной	2	2
472	его во	2	2
473	что природа	2	2
474	который был	4	2
475	в пути	3	2
476	него как	2	2
477	человека но	5	2
478	способен к	4	2
479	духа в	5	2
480	это и	7	2
481	нем есть	5	2
482	под ним	2	2
483	и за	2	2
484	нас не	2	2
485	может ли	2	2
486	о нем	2	2
487	только это	2	2
488	связано с	5	2
489	человек есть	5	2
490	только с	3	2
491	дальше и	2	2
492	и там	10	2
493	в картине	2	2
494	человека есть	6	2
495	я не	4	2
496	и нет	3	2
497	не принадлежит	3	2
498	человека не	6	2
499	истории и	2	2
500	и еще	3	2
501	этот процесс	5	2
502	себя в	6	2
503	но этот	3	2
504	отличается от	2	2
505	есть та	2	2
506	и идеал	2	2
507	человека из	2	2
508	его и	2	2
509	человека к	10	2
510	нет и	6	2
511	есть прежде	4	2
512	к другу	6	2
513	и свобода	9	2
514	к чему	5	2
515	всякий раз	2	2
516	не могу	4	2
517	не для	2	2
518	но когда	3	2
519	лишь один	2	2
520	каждый человек	2	2
