N	2gram	Bakhtin_Pr	SlovoVZh
1	не может	18	16
2	точки зрения	17	14
3	может быть	23	14
4	и его	13	13
5	как бы	27	13
6	и в	83	12
7	таким образом	9	12
8	отношению к	5	11
9	по отношению	6	11
10	и не	41	10
11	так как	12	9
12	прежде всего	20	8
13	сказать что	12	7
14	слова и	5	6
15	все время	2	6
16	при этом	6	6
17	в том	22	6
18	в нем	21	6
19	только в	10	6
20	в процессе	4	6
21	с помощью	4	6
22	в ней	8	6
23	никогда не	10	5
24	как в	10	5
25	что мы	2	5
26	в жизни	14	5
27	в виду	3	5
28	можно сказать	12	5
29	но в	12	5
30	том что	9	5
31	то же	10	5
32	как и	13	5
33	героя и	3	5
34	хотя бы	6	5
35	а не	19	5
36	то что	14	5
37	и др	18	5
38	в самом	7	4
39	в этом	24	4
40	не только	14	4
41	в литературе	8	4
42	на самом	2	4
43	его в	4	4
44	зависимости от	3	4
45	жизни и	13	4
46	мы все	2	4
47	не в	10	4
48	с другой	4	4
49	все же	3	4
50	дело в	3	4
51	к нему	3	4
52	за пределы	7	4
53	и к	13	4
54	так и	9	4
55	и на	27	4
56	уже не	5	4
57	литературы и	4	4
58	отношение к	14	4
59	в них	4	3
60	по себе	3	3
61	и вообще	3	3
62	о том	3	3
63	и для	5	3
64	слово в	5	3
65	да и	3	3
66	не должна	2	3
67	не к	3	3
68	и уже	2	3
69	ни в	4	3
70	все эти	9	3
71	в котором	8	3
72	и наконец	4	3
73	так же	4	3
74	в своей	5	3
75	мы не	7	3
76	конечно не	11	3
77	в себе	10	3
78	еще не	10	3
79	здесь не	5	3
80	все это	11	3
81	только на	3	3
82	когда он	2	3
83	и ее	8	3
84	в некоторых	7	3
85	между тем	2	3
86	и с	10	3
87	но для	2	3
88	в творчестве	8	3
89	не менее	4	3
90	сих пор	8	3
91	с ним	3	3
92	до сих	8	3
93	отношении к	2	3
94	быть и	2	3
95	в пределах	8	3
96	и по	5	3
97	формы и	3	3
98	на границе	4	3
99	тем не	2	3
100	и более	3	3
101	но и	16	3
102	в особенности	2	2
103	конечно в	2	2
104	и то	2	2
105	мы в	2	2
106	в его	15	2
107	которые мы	3	2
108	к его	2	2
109	до конца	3	2
110	и здесь	4	2
111	исповеди и	2	2
112	что в	5	2
113	к ним	5	2
114	в отношении	3	2
115	и притом	2	2
116	выходят за	2	2
117	место в	3	2
118	для других	2	2
119	ничего не	8	2
120	словом и	2	2
121	с его	4	2
122	но конечно	3	2
123	в атмосфере	4	2
124	что и	4	2
125	это не	10	2
126	более того	9	2
127	и все	14	2
128	кроме того	6	2
129	там где	3	2
130	слова но	3	2
131	с точки	13	2
132	от всех	2	2
133	она не	4	2
134	тому же	3	2
135	к слову	3	2
136	в своем	2	2
137	на все	4	2
138	все они	2	2
139	в зависимости	3	2
140	с другими	6	2
141	ко всем	2	2
142	высказывания и	2	2
143	мы имеем	4	2
144	и что	3	2
145	в то	8	2
146	себя и	3	2
147	уже в	3	2
148	в этих	8	2
149	влияние на	14	2
150	еще раз	6	2
151	связь с	4	2
152	и другие	14	2
153	но это	7	2
154	в условиях	7	2
155	он не	5	2
156	в формах	2	2
157	подчеркнуть что	4	2
158	и потому	6	2
159	несколько подробнее	2	2
160	может стать	4	2
161	его как	3	2
162	имеем в	3	2
163	но не	9	2
164	как это	2	2
165	если же	5	2
166	в себя	8	2
167	мы можем	9	2
168	могут быть	5	2
169	в самое	3	2
170	нет ничего	3	2
171	в форме	6	2
172	быть только	2	2
173	и так	4	2
174	и самое	2	2
175	к этому	5	2
176	между ними	14	2
177	этих двух	5	2
178	и слово	2	2
179	но этот	2	2
180	другой стороны	3	2
181	вместе с	5	2
182	на него	2	2
183	и совершенно	3	2
