N	2gram	Savitsky_P	Sovremen
1	не может	4	17
2	точки зрения	3	12
3	может быть	5	12
4	мы не	3	9
5	и в	14	7
6	в этом	10	7
7	и не	12	6
8	с точки	3	5
9	прежде всего	3	5
10	это не	3	4
11	не только	17	4
12	в том	9	4
13	мы должны	4	4
14	как бы	4	4
15	а в	4	4
16	из них	2	4
17	для нас	2	3
18	и мы	2	3
19	и потому	4	3
20	но в	9	3
21	не в	5	3
22	было бы	6	3
23	в области	11	3
24	в себе	3	3
25	одна из	2	3
26	все это	2	3
27	в нем	3	3
28	а не	2	3
29	и к	4	3
30	то же	9	3
31	отнюдь не	2	3
32	не менее	2	2
33	в его	2	2
34	к чему	2	2
35	с этим	2	2
36	и пр	5	2
37	и есть	2	2
38	в виде	2	2
39	еще более	2	2
40	что в	4	2
41	не будем	2	2
42	могут быть	3	2
43	тот же	3	2
44	с одной	3	2
45	говорить о	2	2
46	в которую	2	2
