N	2gram	Vygotskiy_	Sovremen
1	не может	31	17
2	точки зрения	27	12
3	может быть	15	12
4	таким образом	30	11
5	мы не	6	9
6	не можем	2	7
7	и в	33	7
8	в этом	43	7
9	и не	18	6
10	ничего не	6	6
11	как и	13	6
12	в результате	9	6
13	мы можем	15	6
14	что же	2	5
15	с точки	12	5
16	все эти	9	5
17	и наконец	3	5
18	в условиях	3	5
19	прежде всего	5	5
20	системы в	3	4
21	вопрос о	15	4
22	мы видели	10	4
23	зависимости от	3	4
24	это не	8	4
25	не только	28	4
26	в том	44	4
27	в зависимости	2	4
28	мы должны	13	4
29	как бы	11	4
30	их в	3	4
31	так как	20	4
32	если мы	9	4
33	в целом	8	4
34	в развитии	45	4
35	жизни и	2	4
36	вместе с	9	4
37	а в	5	4
38	из них	6	4
39	с помощью	32	4
40	не подлежит	2	3
41	и т.д	6	3
42	к действию	2	3
43	может не	3	3
44	он может	5	3
45	видели что	2	3
46	когда мы	4	3
47	и потому	3	3
48	но в	9	3
49	с самого	8	3
50	при этом	9	3
51	из двух	2	3
52	с необходимостью	5	3
53	но мы	7	3
54	не в	10	3
55	все же	5	3
56	он в	3	3
57	как он	7	3
58	было бы	18	3
59	в области	19	3
60	уже в	4	3
61	в себе	4	3
62	еще не	11	3
63	у нас	4	3
64	и все	2	3
65	все это	2	3
66	в нем	10	3
67	в наших	2	3
68	между собой	17	3
69	а не	14	3
70	в первом	4	3
71	и к	7	3
72	что она	3	3
73	в этой	8	3
74	то же	12	3
75	в одном	3	3
76	отличается от	2	3
77	самого начала	8	3
78	отнюдь не	2	3
79	в конце	3	3
80	его развития	4	3
81	в системе	4	3
82	ясно что	2	3
83	ли мы	2	3
84	может иметь	3	2
85	но все	2	2
86	на его	4	2
87	на этот	9	2
88	и по	5	2
89	развития мы	2	2
90	же самое	7	2
91	всяком случае	2	2
92	что все	9	2
93	значение в	3	2
94	не менее	4	2
95	той же	7	2
96	не могут	7	2
97	для развития	9	2
98	мы видим	6	2
99	в его	15	2
100	он должен	9	2
101	с этим	9	2
102	и что	18	2
103	то и	2	2
104	во всяком	4	2
105	и во	2	2
106	с другом	10	2
107	что такое	6	2
108	приводит к	10	2
109	что при	4	2
110	свою очередь	4	2
111	из этих	2	2
112	в самом	10	2
113	и есть	8	2
114	в виде	3	2
115	еще более	5	2
116	знаем что	2	2
117	что в	33	2
118	в настоящее	2	2
119	совершенно не	5	2
120	в которой	8	2
121	у него	8	2
122	такой же	4	2
123	самом деле	9	2
124	со всеми	2	2
125	в свою	5	2
126	по мнению	2	2
127	в нашем	5	2
128	говорим о	2	2
129	для его	2	2
130	могут быть	7	2
131	только один	4	2
132	в отличие	3	2
133	же мы	2	2
134	отличие от	3	2
135	настоящее время	2	2
136	развития но	8	2
137	тот же	7	2
138	с одной	10	2
139	на этом	8	2
140	как мы	20	2
141	говорить о	3	2
142	не дает	2	2
143	мы знаем	5	2
144	этих двух	4	2
145	на котором	3	2
146	из которых	3	2
147	как известно	7	2
148	и даже	3	2
149	на их	3	2
150	друг с	10	2
151	развития в	14	2
