N	2gram	Tiupa_Vved	Tvorches
1	и в	23	56
2	как бы	8	41
3	в его	9	37
4	в романе	6	34
5	в то	5	30
6	то же	8	25
7	не только	32	24
8	но в	14	24
9	в году	2	24
10	же время	4	24
11	то есть	13	23
12	и его	9	23
13	и не	24	23
14	а в	15	23
15	как и	21	23
16	в этом	27	22
17	в том	21	21
18	что в	6	21
19	том что	16	19
20	он не	6	19
21	может быть	25	19
22	потому что	7	19
23	у него	8	18
24	то что	9	18
25	что он	2	17
26	все это	3	17
27	и на	5	17
28	таким образом	6	17
29	никогда не	6	16
30	прежде всего	11	16
31	как в	8	16
32	при этом	43	16
33	не может	14	16
34	но и	31	16
35	в этой	2	15
36	но это	4	15
37	в мире	9	15
38	и с	2	15
39	это не	7	14
40	и даже	3	14
41	времени в	3	13
42	о том	7	13
43	а не	31	13
44	тем самым	6	12
45	в целом	4	12
46	в котором	11	12
47	все же	10	11
48	в своей	10	11
49	для него	5	11
50	отнюдь не	14	11
51	в конце	3	10
52	не в	12	10
53	так и	14	10
54	уже в	2	10
55	но не	9	10
56	в самом	6	10
57	только в	9	10
58	как будто	6	10
59	в свою	5	9
60	по природе	2	9
61	в нем	9	9
62	один из	3	9
63	и от	3	9
64	человека в	2	9
65	жизни в	5	9
66	наряду с	2	9
67	в своих	5	9
68	даже в	3	8
69	так же	2	8
70	в себе	15	8
71	по сути	5	8
72	в их	2	8
73	не менее	4	8
74	это уже	2	8
75	на его	2	8
76	тогда как	16	8
77	к этому	3	8
78	об этом	5	8
79	в соответствии	8	8
80	еще не	8	8
81	одним из	5	8
82	соответствии с	8	8
83	хотя и	10	8
84	вместе с	2	8
85	самом деле	6	7
86	своего рода	20	7
87	в чем	2	7
88	например в	2	7
89	и он	4	7
90	что она	2	7
91	в этих	5	7
92	в рассказе	15	7
93	уже не	7	7
94	сути дела	4	7
95	и сам	2	7
96	приводит к	2	6
97	ли не	2	6
98	героя в	3	6
99	и все	8	6
100	место в	2	6
101	не столько	5	6
102	в принципе	3	6
103	и ее	2	6
104	одна из	5	6
105	хотя бы	2	6
106	конечном счете	2	6
107	и как	2	6
108	если бы	10	6
109	еще более	2	6
110	в конечном	2	6
111	с ним	3	6
112	бы не	3	5
113	начиная с	3	5
114	ничего не	3	5
115	до конца	5	5
116	в одной	2	5
117	по отношению	11	5
118	и у	2	5
119	как он	2	5
120	в своем	9	5
121	а с	4	5
122	в них	4	5
123	и это	2	5
124	у гоголя	2	5
125	что не	2	5
126	что и	6	5
127	мы не	6	5
128	и по	3	5
129	более не	2	5
130	что они	2	5
131	что это	2	5
132	дело не	2	5
133	на него	3	5
134	между тем	3	5
135	героя и	5	5
136	как у	3	5
137	отношению к	11	5
138	в литературе	2	5
139	что у	4	5
140	с другой	10	5
141	как правило	6	5
142	что я	2	5
143	не было	5	5
144	в таком	2	5
145	перед нами	13	4
146	и потому	2	4
147	и через	2	4
148	роль в	2	4
149	только на	2	4
150	в частности	19	4
151	как это	2	4
152	отличие от	11	4
153	не знает	2	4
154	того что	7	4
155	к нему	2	4
156	так в	5	4
157	из жизни	3	4
158	что на	4	4
159	могут быть	5	4
160	однако в	9	4
161	о жизни	2	4
162	с ними	2	4
163	было в	2	4
164	который в	5	4
165	в основе	6	4
166	как известно	2	4
167	тут же	3	4
168	восходит к	2	4
169	нет ничего	2	4
170	так сказать	2	4
171	особенно в	3	4
172	себя в	4	4
173	у нее	4	4
174	тем что	2	4
175	и наконец	2	4
176	и есть	2	4
177	времени и	7	4
178	ведет к	2	4
179	в отличие	11	4
180	и более	5	4
181	не мог	2	4
182	далеко не	5	4
183	зависит от	3	4
184	не вполне	4	4
185	письма к	2	4
186	в которых	2	4
187	представляет собой	18	4
188	еще в	3	4
189	до предела	2	4
190	к жизни	2	4
191	говорить о	5	4
192	в финале	4	4
193	той же	3	4
194	но он	2	4
195	в ходе	3	3
196	не есть	2	3
197	ее и	2	3
198	во времени	2	3
199	на самом	5	3
200	вплоть до	2	3
201	к себе	2	3
202	в другом	2	3
203	отношение к	5	3
204	едва ли	4	3
205	для себя	2	3
206	к которому	2	3
207	в виду	3	3
208	и тем	3	3
209	со стороны	15	3
210	в области	5	3
211	не по	4	3
212	так например	2	3
213	о котором	5	3
214	в него	2	3
215	мы узнаем	2	3
216	к тому	9	3
217	может служить	4	3
218	свидетельствует о	5	3
219	в ней	5	3
220	одного из	3	3
221	на себя	5	3
222	другой стороны	3	3
223	всяком случае	3	3
224	и др	2	3
225	в первом	3	3
226	эти слова	2	3
