N	3gram	Vygotskiy_	Tvorches
1	в то же	2	25
2	в том что	24	11
3	о том что	4	8
4	в конечном счете	2	6
5	не может быть	6	6
6	по отношению к	9	5
7	в том же	3	5
8	в самом деле	4	5
9	с точки зрения	31	4
10	с самого начала	13	4
11	до сих пор	6	4
12	точно так же	3	3
13	как и в	4	3
14	том что в	3	3
15	едва ли не	3	3
16	с другой стороны	3	3
17	и не может	2	3
18	в отличие от	4	3
19	по самой своей	5	2
20	на самом деле	2	2
21	тем не менее	4	2
22	и в конце	2	2
23	потому что он	4	2
24	не только в	2	2
25	для того чтобы	24	2
26	содержит в себе	4	2
27	можно сказать что	7	2
28	в этой области	2	2
29	та же самая	2	2
30	мы уже говорили	2	2
31	в первую очередь	3	2
32	том числе и	2	2
33	не могут быть	3	2
34	вместе с тем	6	2
35	заключается в том	9	2
36	так же как	13	2
37	в известном смысле	2	2
38	заключает в себе	2	2
39	в данном случае	5	2
40	в том числе	2	2
41	именно в этом	3	2
42	нет и не	3	2
43	в свою очередь	3	2
