N	2gram	Tiupa_Hudo	VelikijI
1	и не	15	20
2	и в	34	16
3	так как	2	9
4	то что	13	9
5	еще не	10	8
6	и потому	3	7
7	на земле	2	7
8	что они	4	7
9	а не	23	7
10	к людям	2	6
11	человека и	4	6
12	в мире	10	5
13	как бы	11	5
14	на себя	3	5
15	но и	13	5
16	все это	2	5
17	хотя и	3	5
18	того что	5	5
19	что все	3	4
20	к личности	2	4
21	и все	10	4
22	как и	16	4
23	в котором	5	4
24	потому что	7	4
25	все что	4	4
26	в нем	5	4
27	в ней	6	4
28	что не	4	4
29	в его	17	4
30	говорить о	4	4
31	в этом	22	4
32	что он	14	4
33	так и	19	4
34	смысла жизни	2	4
35	никогда не	8	3
36	превращается в	6	3
37	в жизни	9	3
38	что в	8	3
39	в том	24	3
40	и для	5	3
41	от этого	2	3
42	не имеет	2	3
43	тому что	8	3
44	но в	6	3
45	к тому	11	3
46	ни в	5	3
47	их в	2	3
48	нет ничего	4	3
49	они в	2	3
50	но это	2	3
51	бы и	2	3
52	должно быть	2	3
53	хотя бы	2	3
54	в своей	15	3
55	во всех	2	3
56	личности и	3	3
57	в конце	5	3
58	за ним	3	3
59	в них	3	3
60	жизни и	10	3
61	в первый	2	3
62	что и	3	3
63	не было	8	3
64	лишь в	5	3
65	и что	3	3
66	не в	16	3
67	все эти	4	3
68	первый раз	2	3
69	в этих	7	3
70	что я	4	3
71	с его	9	3
72	когда в	4	2
73	и то	2	2
74	да и	5	2
75	они и	2	2
76	одна из	4	2
77	но не	7	2
78	нет и	2	2
79	ее и	2	2
80	и это	7	2
81	это не	12	2
82	эти люди	2	2
83	не только	22	2
84	а в	11	2
85	том что	31	2
86	на том	3	2
87	но мы	2	2
88	а между	4	2
89	от него	3	2
90	и тогда	2	2
91	вслед за	3	2
92	уже не	12	2
93	в духе	6	2
94	один из	6	2
95	т д	5	2
96	давно уже	3	2
97	того чтобы	6	2
98	более чем	2	2
99	тем что	6	2
100	мы не	2	2
101	быть личностью	3	2
102	что было	3	2
103	можно было	6	2
104	только в	8	2
105	и сам	3	2
106	в форме	2	2
107	все равно	2	2
108	его и	2	2
109	для нас	4	2
110	в себя	3	2
111	которым можно	2	2
112	прежде всего	12	2
113	и т	15	2
114	вместо того	2	2
115	с ним	6	2
116	между тем	14	2
117	а с	5	2
118	для него	15	2
119	не с	2	2
