N	2gram	Vygotskiy_	VerxiiNi
1	и в	65	26
2	таким образом	21	22
3	с тем	14	18
4	в этом	37	15
5	вместе с	10	15
6	точки зрения	19	13
7	как бы	29	12
8	в том	46	11
9	не только	16	10
10	из этих	6	10
11	и с	4	10
12	может быть	33	10
13	что в	36	9
14	так как	13	9
15	связи с	2	9
16	но и	6	9
17	но не	3	8
18	с другой	8	8
19	в общем	4	8
20	главным образом	6	8
21	и не	20	8
22	как на	9	8
23	но все	2	7
24	к нему	2	7
25	потому что	26	7
26	одной стороны	6	7
27	из них	10	7
28	то что	61	7
29	с одной	7	7
30	но в	5	7
31	том что	28	7
32	а с	4	7
33	все же	10	6
34	к тому	18	6
35	о том	17	6
36	мы должны	3	6
37	того же	4	6
38	в себе	9	6
39	в конце	5	6
40	несмотря на	7	6
41	всяком случае	6	6
42	что и	7	6
43	с точки	11	6
44	все эти	7	6
45	все это	12	6
46	так и	3	6
47	во всяком	6	6
48	никогда не	9	5
49	в мире	3	5
50	и для	4	5
51	не имеет	8	5
52	так же	12	5
53	и к	5	5
54	в силу	2	5
55	друг с	2	5
56	отношение к	2	5
57	того чтобы	21	5
58	в его	11	5
59	для того	18	5
60	с другом	2	5
61	а не	11	5
62	тому же	2	5
63	сих пор	6	5
64	до сих	7	5
65	на этот	2	4
66	что все	10	4
67	далеко не	3	4
68	а в	9	4
69	в котором	7	4
70	в самом	41	4
71	в нем	8	4
72	не может	17	4
73	к своим	2	4
74	в которых	9	4
75	что оно	5	4
76	и вместе	3	4
77	то есть	30	4
78	из которых	6	4
79	целый ряд	6	4
80	в виде	5	4
81	то же	17	4
82	должен был	4	4
83	и что	29	4
84	и по	2	4
85	в этих	3	4
86	только в	9	4
87	что он	23	4
88	и только	8	4
89	он не	11	4
90	ничем не	3	4
91	во время	4	4
92	в течение	5	4
93	в этой	20	4
94	в то	5	4
95	что это	19	3
96	в своем	8	3
97	из всех	3	3
98	с самого	10	3
99	но с	2	3
100	если в	2	3
101	оказывается что	2	3
102	к ним	3	3
103	большей частью	4	3
104	точно так	3	3
105	или иначе	2	3
106	и если	13	3
107	уже не	2	3
108	хотя бы	3	3
109	к этому	5	3
110	в результате	3	3
111	в которой	8	3
112	представляет собой	3	3
113	и даже	4	3
114	и как	10	3
115	что эти	5	3
116	если бы	22	3
117	уже с	2	3
118	и те	2	3
119	же как	3	3
120	при этом	10	3
121	к концу	4	3
122	у них	2	3
123	когда он	8	3
124	в качестве	2	3
125	с этой	5	3
126	и другие	3	3
127	в таком	6	3
128	так что	10	3
129	ясно что	11	3
130	и о	6	3
131	но по	2	3
132	можно сказать	2	3
133	в одном	9	3
134	того что	9	3
135	для него	4	3
136	по своему	6	2
137	мы видели	7	2
138	одно из	4	2
139	сказать что	14	2
140	так например	5	2
141	для этого	9	2
142	этой точки	2	2
143	о котором	5	2
144	в эту	2	2
145	и заставляет	3	2
146	из этого	10	2
147	общего с	2	2
148	и это	13	2
149	не могут	2	2
150	но при	2	2
151	на то	25	2
152	надо было	3	2
153	утверждать что	2	2
154	в самой	9	2
155	для всех	2	2
156	относится к	2	2
157	ли это	3	2
158	и сейчас	2	2
159	он в	3	2
160	тех пор	2	2
161	состоит в	4	2
162	одновременно и	3	2
163	мы имеем	2	2
164	больше не	3	2
165	мы можем	12	2
166	из этой	2	2
167	есть как	2	2
168	связь с	5	2
169	больше чем	5	2
170	между тем	10	2
171	одним из	2	2
172	только что	10	2
173	к его	2	2
174	в свою	6	2
175	при таком	4	2
176	из себя	3	2
177	благодаря этому	2	2
178	не могла	2	2
179	именно в	3	2
180	конечно не	6	2
181	отличается от	2	2
182	тогда когда	2	2
183	именно из	2	2
184	с именем	4	2
185	но если	6	2
186	те же	2	2
187	что мы	6	2
188	в них	4	2
189	только не	3	2
190	и на	7	2
191	и здесь	9	2
192	и действительно	2	2
193	еще не	3	2
194	к которому	3	2
195	все что	2	2
196	жизни и	6	2
197	либо в	6	2
198	что именно	3	2
199	не было	4	2
200	и больше	2	2
201	по своим	2	2
202	самого начала	10	2
203	к которым	7	2
204	так называемой	4	2
205	можно назвать	2	2
206	не в	12	2
207	у всех	4	2
208	из него	4	2
209	только для	3	2
210	и наконец	2	2
211	ничего общего	3	2
212	ее с	5	2
213	на все	2	2
214	и все	14	2
215	но когда	2	2
216	один из	7	2
217	уже давно	3	2
218	в виду	6	2
219	со всеми	2	2
220	том виде	2	2
221	не к	5	2
222	силы и	3	2
223	прежде всего	2	2
224	признать что	2	2
225	тот же	5	2
226	с его	2	2
227	этими двумя	2	2
228	во всех	4	2
229	же самое	14	2
230	вслед за	4	2
231	оно является	2	2
232	тем и	2	2
233	не с	2	2
234	по существу	4	2
