N	2gram	Voloshinov	VrazhdaK
1	не только	7	9
2	в этом	9	8
3	и в	16	8
4	что в	3	7
5	но и	4	7
6	и все	4	7
7	то что	3	7
8	но в	4	6
9	как и	2	6
10	в начале	2	6
11	в нем	4	6
12	и с	8	6
13	и даже	4	6
14	и не	4	5
15	то же	2	5
16	у него	2	5
17	для нас	2	4
18	все это	4	4
19	при этом	6	4
20	о том	2	4
21	как бы	5	4
22	так же	2	4
23	что он	2	4
24	с ним	2	4
25	может быть	17	4
26	в том	3	3
27	в чем	5	3
28	его в	4	3
29	том что	3	3
30	в его	4	3
31	матери и	3	3
32	и о	2	3
33	и его	8	3
34	и как	3	3
35	в этот	2	3
36	он не	2	3
37	к этому	2	3
38	с его	7	3
39	никогда не	2	2
40	с нею	2	2
41	в них	2	2
42	к ним	2	2
43	и т.п	2	2
44	в него	5	2
45	нашего времени	2	2
46	для него	6	2
47	и это	6	2
48	на первый	2	2
49	с точки	6	2
50	мы знаем	3	2
51	а в	3	2
52	в этой	4	2
53	в своей	2	2
54	чувств и	3	2
55	но как	2	2
56	еще не	5	2
57	точки зрения	8	2
58	же как	2	2
59	таким образом	9	2
60	и ее	4	2
61	во время	3	2
62	отношения к	3	2
63	их в	3	2
64	не может	8	2
65	и образы	2	2
66	не менее	2	2
67	но это	2	2
68	к себе	3	2
69	отнюдь не	4	2
70	на основе	2	2
71	вместе с	3	2
72	отношение к	5	2
