N	2gram	Vygotskiy__4	Dialekti
1	не есть	2	40
2	и не	8	30
3	а не	7	18
4	может быть	12	17
5	то что	15	16
6	и в	20	15
7	как бы	7	14
8	не имеет	2	14
9	так как	10	14
10	точки зрения	24	14
11	что это	2	13
12	того что	10	13
13	это не	5	12
14	прежде всего	2	11
15	в том	42	11
16	не может	6	11
17	ясно что	2	11
18	в этом	24	11
19	в основе	17	10
20	потому что	12	10
21	том что	35	10
22	было бы	8	9
23	в виду	3	9
24	и что	8	9
25	то же	16	9
26	с точки	11	9
27	значит что	2	9
28	ни в	3	8
29	не в	4	8
30	это значит	2	8
31	в себе	10	8
32	не только	15	8
33	в чем	3	8
34	и это	2	8
35	что в	19	7
36	должна быть	2	7
37	что оно	4	7
38	не просто	2	7
39	что мы	7	7
40	что он	6	7
41	как и	9	7
42	и его	5	7
43	только в	10	7
44	перед нами	5	6
45	так что	3	6
46	и тем	8	6
47	в результате	8	6
48	сказать что	6	6
49	если бы	5	6
50	что и	9	6
51	как только	2	5
52	так и	5	5
53	в своем	4	5
54	на то	5	5
55	но что	3	5
56	того чтобы	7	5
57	в ней	2	5
58	в нем	2	5
59	другими словами	2	5
60	таким образом	25	5
61	именно в	3	5
62	и на	6	5
63	о том	5	5
64	мы имеем	2	5
65	тогда когда	8	5
66	в смысле	4	5
67	в сущности	4	5
68	если мы	10	5
69	для того	5	5
70	что такое	5	5
71	и для	4	5
72	той же	6	5
73	в каком	2	5
74	что все	3	4
75	и как	9	4
76	в этой	3	4
77	что они	14	4
78	один из	3	4
79	но и	9	4
80	так же	11	4
81	также и	2	4
82	и с	4	4
83	мы должны	11	4
84	с тем	6	4
85	отнюдь не	3	4
86	этом смысле	8	4
87	видим что	2	4
88	мы видим	10	4
89	ничего общего	3	4
90	еще не	2	4
91	бы в	3	4
92	тому как	2	4
93	в силу	6	4
94	в его	11	4
95	подобно тому	2	4
96	что если	2	3
97	в собственном	7	3
98	на этом	3	3
99	тем самым	7	3
100	в свою	2	3
101	и той	4	3
102	совершенно не	3	3
103	в их	12	3
104	все эти	5	3
105	с этим	5	3
106	в истории	10	3
107	что здесь	2	3
108	но в	3	3
109	только не	5	3
110	в один	3	3
111	к этому	4	3
112	мы имели	5	3
113	мы уже	5	3
114	в своей	7	3
115	со стороны	3	3
116	когда он	3	3
117	как в	5	3
118	одной и	5	3
119	в данном	2	3
120	и то	10	3
121	мы можем	5	3
122	в виде	3	3
123	могут быть	7	3
124	едва ли	2	3
125	в области	4	3
126	не менее	3	2
127	не могут	3	2
128	мы будем	2	2
129	по типу	2	2
130	в частности	5	2
131	в отношении	10	2
132	с этой	4	2
133	из этих	2	2
134	точно так	3	2
135	на все	3	2
136	по законам	2	2
137	показывает что	2	2
138	что на	2	2
139	собственном смысле	7	2
140	заключается в	18	2
141	свою очередь	2	2
142	на нем	2	2
143	что с	4	2
144	в нашей	2	2
145	при этом	12	2
146	случае не	2	2
147	в самом	6	2
148	себе и	3	2
149	которые мы	3	2
150	дает в	2	2
151	никогда не	5	2
152	с той	2	2
153	из них	4	2
154	не по	2	2
155	другой стороны	9	2
156	и только	4	2
157	от того	3	2
158	этой точки	4	2
159	должно быть	3	2
160	и когда	3	2
161	но как	2	2
162	во всем	3	2
163	и тех	2	2
164	как это	9	2
165	понятие о	2	2
166	но они	2	2
167	нисколько не	2	2
168	нашего исследования	4	2
169	сравнению с	3	2
170	и во	3	2
171	это утверждение	3	2
172	что уже	2	2
173	все же	5	2
174	со всей	2	2
175	в качестве	21	2
176	одной из	3	2
177	видим в	2	2
178	никак не	2	2
179	этот предмет	4	2
180	в свое	2	2
181	себя в	3	2
182	по сравнению	4	2
183	по смыслу	3	2
184	вместе с	8	2
185	и тогда	2	2
186	во всей	4	2
187	того как	2	2
188	только что	4	2
189	что этот	2	2
190	во всяком	4	2
191	тем что	7	2
192	но для	2	2
193	и при	4	2
194	что эта	3	2
195	в которой	3	2
196	отличие от	2	2
