N	2gram	Savitsky_E_1	DiskursI
1	в качестве	14	34
2	не только	18	28
3	в том	11	23
4	а не	2	22
5	то есть	6	20
6	том что	6	19
7	может быть	6	17
8	представляет собой	3	17
9	и в	37	16
10	как и	7	16
11	в этом	12	15
12	но и	14	14
13	прежде всего	9	11
14	но не	5	11
15	и не	14	11
16	по своей	2	11
17	с другой	7	10
18	как в	3	10
19	далеко не	2	10
20	в частности	5	9
21	одной стороны	8	9
22	не может	9	9
23	с одной	8	9
24	а также	7	8
25	отнюдь не	9	8
26	так и	10	8
27	о том	3	8
28	но в	14	8
29	в его	2	7
30	со стороны	5	7
31	то же	15	7
32	в себе	9	7
33	только в	9	7
34	не в	5	7
35	в своем	14	6
36	и как	2	6
37	к тому	8	5
38	или иной	4	5
39	можно сказать	4	5
40	в силу	2	5
41	как бы	6	5
42	в котором	2	5
43	в своей	8	5
44	то что	6	5
45	во всех	6	5
46	в процессе	4	5
47	а в	2	5
48	в их	11	5
49	и на	6	5
50	в данном	3	5
51	что в	21	4
52	в сторону	2	4
53	не является	3	4
54	в них	3	4
55	во втором	2	4
56	и к	3	4
57	в истории	2	4
58	же время	14	4
59	одной из	5	4
60	по своим	3	4
61	в которых	3	4
62	потому что	3	4
63	между тем	8	4
64	могут быть	2	4
65	того же	3	3
66	столь же	5	3
67	по себе	4	3
68	что и	3	3
69	в ее	8	3
70	и того	2	3
71	свою очередь	2	3
72	по своему	7	3
73	в свою	3	3
74	с этим	2	3
75	в данной	3	3
76	в самом	4	3
77	имеет место	2	3
78	к ним	3	3
79	той или	4	3
80	себе не	3	3
81	хотя бы	15	3
82	из них	3	3
83	как не	2	3
84	таким образом	2	3
85	именно в	4	3
86	заключается в	2	3
87	того что	7	3
88	другой стороны	2	3
89	и даже	6	3
90	в сферу	2	3
91	в своих	2	3
92	сказать что	4	3
93	тем что	3	3
94	точки зрения	23	3
95	к той	2	3
96	в то	16	3
97	также и	7	3
98	и потому	5	3
99	мира в	4	3
100	известной степени	3	2
101	ни столь	2	2
102	никогда не	3	2
103	между собой	2	2
104	в какой	2	2
105	и во	2	2
106	и все	2	2
107	в одном	2	2
108	для понимания	2	2
109	не более	3	2
110	стороны и	6	2
111	в пределах	25	2
112	в значительной	2	2
113	есть в	2	2
114	иначе говоря	2	2
115	хотя и	2	2
116	частности в	2	2
117	точка зрения	2	2
118	говоря уже	2	2
119	и тем	3	2
120	не есть	2	2
121	того или	4	2
122	в культуре	3	2
123	когда он	3	2
124	что же	2	2
125	данном случае	2	2
126	целый ряд	2	2
127	жизни в	3	2
128	как мы	5	2
129	и что	2	2
130	более чем	2	2
131	и по	5	2
132	как их	2	2
133	или в	2	2
134	во всяком	3	2
135	на себя	3	2
136	но как	2	2
137	не говоря	2	2
138	в этой	2	2
139	заметить что	2	2
