N	2gram	Berdyaev_M_2	EvropaiE
1	и в	46	37
2	в отношении	5	32
3	точки зрения	2	23
4	что в	4	21
5	не только	18	18
6	хотя бы	7	15
7	то же	5	15
8	отношении к	3	15
9	в своем	8	14
10	но и	15	14
11	и не	18	14
12	но в	10	14
13	в этом	20	12
14	в том	3	11
15	так и	4	10
16	прежде всего	12	9
17	не может	15	9
18	т е	4	9
19	в себе	10	9
20	только в	3	9
21	так же	6	9
22	западной европы	3	9
23	думать что	4	8
24	к тому	5	8
25	в своей	5	8
26	между тем	2	8
27	как и	13	7
28	того что	6	7
29	также и	4	7
30	так как	8	7
31	том что	4	6
32	может быть	21	6
33	для того	5	6
34	как бы	8	6
35	то что	5	6
36	во всех	2	6
37	того чтобы	4	6
38	и на	3	6
39	же как	3	5
40	не в	9	5
41	от этого	2	5
42	в россии	3	5
43	и потому	7	5
44	вопрос о	6	4
45	или иной	2	4
46	чем в	2	4
47	в самом	5	4
48	то в	2	4
49	в ней	11	4
50	к ней	2	4
51	по себе	2	4
52	не имеет	4	4
53	сказать что	3	4
54	место в	2	3
55	и к	7	3
56	в сфере	2	3
57	но на	2	3
58	можно ли	3	3
59	никогда не	18	3
60	жизни в	3	3
61	в них	3	3
62	и от	3	3
63	в свою	4	3
64	связано с	3	3
65	что и	4	3
66	не будет	3	3
67	ее в	2	3
68	бы и	5	3
69	как в	7	3
70	и для	7	3
71	можно было	2	3
72	потому что	12	3
73	тем что	3	3
74	себе в	2	3
75	россии и	2	3
76	о том	3	3
77	что все	5	2
78	он сам	6	2
79	а не	13	2
80	в этих	2	2
81	еще более	2	2
82	не означает	2	2
83	и во	3	2
84	и все	5	2
85	к нему	2	2
86	есть не	5	2
87	и эта	2	2
88	одна и	3	2
89	и можно	3	2
90	есть ли	2	2
91	есть в	3	2
92	во власти	6	2
93	что это	6	2
94	и если	2	2
95	она не	8	2
96	не к	2	2
97	по преимуществу	5	2
98	он не	10	2
99	в его	5	2
100	не есть	13	2
101	в мире	7	2
102	жизни и	6	2
103	вместе с	2	2
104	что же	2	2
105	а в	2	2
106	если бы	3	2
107	всего человечества	2	2
108	и других	2	2
109	но с	2	2
110	и что	2	2
111	его собственная	2	2
112	более чем	2	2
113	этот процесс	2	2
114	мы видим	2	2
115	в своих	3	2
116	и та	2	2
117	и с	3	2
118	хотя и	2	2
119	в этой	7	2
120	по своей	3	2
121	как будто	2	2
122	его на	4	2
123	и поэтому	2	2
124	бы в	2	2
125	тогда когда	2	2
