N	2gram	Vinokur_Ku_2	EvropaiE
1	и в	23	37
2	в отношении	2	32
3	в пределах	4	25
4	точки зрения	14	23
5	что в	10	21
6	не только	20	18
7	с точки	8	17
8	в то	4	16
9	хотя бы	9	15
10	то же	6	15
11	в своем	2	14
12	в качестве	8	14
13	же время	3	14
14	но и	7	14
15	и не	16	14
16	но в	11	14
17	в этом	18	12
18	в их	2	11
19	в том	19	11
20	в области	11	11
21	так и	4	10
22	отнюдь не	4	9
23	прежде всего	8	9
24	не может	9	9
25	т е	22	9
26	только в	5	9
27	так же	4	9
28	к тому	4	8
29	было бы	15	8
30	в своей	2	8
31	с одной	2	8
32	между тем	6	8
33	как и	2	7
34	между прочим	2	7
35	того что	3	7
36	а также	3	7
37	с другой	8	7
38	также и	5	7
39	так как	15	7
40	с этой	2	6
41	вовсе не	9	6
42	том что	11	6
43	может быть	15	6
44	для того	9	6
45	на то	4	6
46	как бы	4	6
47	то что	9	6
48	того чтобы	11	6
49	и даже	2	6
50	и на	6	6
51	же как	2	5
52	в частности	2	5
53	не в	8	5
54	но не	6	5
55	со стороны	4	5
56	как мы	3	5
57	в той	2	5
58	тем самым	2	5
59	и по	3	5
60	от этого	2	5
61	этой точки	2	5
62	и потому	2	5
63	но даже	2	4
64	именно в	3	4
65	вопрос о	9	4
66	или иного	2	4
67	можно сказать	4	4
68	чем в	3	4
69	иными словами	8	4
70	само по	5	4
71	несмотря на	5	4
72	в самом	12	4
73	в ней	3	4
74	в процессе	3	4
75	по себе	10	4
76	для нас	4	4
77	не на	2	4
78	не имеет	4	4
79	сказать что	4	4
80	в каком	4	4
81	того или	2	4
82	как это	5	4
83	в сфере	3	3
84	этом отношении	3	3
85	с тем	2	3
86	можно ли	4	3
87	никогда не	2	3
88	в них	4	3
89	и от	2	3
90	этом смысле	5	3
91	это так	3	3
92	мы видели	2	3
93	ли это	2	3
94	в свою	2	3
95	очевидно что	2	3
96	того же	3	3
97	не более	2	3
98	всяком случае	5	3
99	себе не	2	3
100	и тем	5	3
101	что и	3	3
102	бы и	4	3
103	как в	3	3
104	является ли	2	3
105	и для	2	3
106	можно было	9	3
107	в которых	2	3
108	в результате	4	3
109	потому что	25	3
110	во всяком	5	3
111	тем что	3	3
112	ни на	2	3
113	в данном	4	3
114	всего лишь	3	3
115	там где	5	3
116	большинстве случаев	2	3
117	что все	5	2
118	не могут	5	2
119	и более	2	2
120	а не	10	2
121	по сравнению	2	2
122	с этим	3	2
123	и все	2	2
124	но также	4	2
125	к нему	2	2
126	главным образом	3	2
127	утверждать что	2	2
128	что на	4	2
129	же в	3	2
130	в силу	7	2
131	есть в	3	2
132	что если	2	2
133	свою очередь	2	2
134	должна быть	5	2
135	что это	7	2
136	не говоря	2	2
137	и если	2	2
138	она не	2	2
139	следовало бы	2	2
140	меньшей степени	3	2
141	по преимуществу	2	2
142	он не	3	2
143	в его	5	2
144	говоря уже	2	2
145	как не	3	2
146	вместе с	5	2
147	данном случае	2	2
148	всего в	3	2
149	целый ряд	5	2
150	что же	5	2
151	а в	3	2
152	таким образом	5	2
153	если бы	12	2
154	а именно	2	2
155	и сейчас	2	2
156	заключается в	2	2
157	и что	8	2
158	на этот	2	2
159	другой стороны	7	2
160	или в	4	2
161	меньше чем	2	2
162	в своих	2	2
163	этот вопрос	6	2
164	и с	7	2
165	хотя и	4	2
166	тем меньше	2	2
167	могут быть	4	2
168	и еще	2	2
169	в этой	6	2
170	и то	5	2
171	как будто	2	2
172	мы должны	2	2
173	то не	2	2
