N	2gram	Vinokur_St_3	FransuaR
1	и в	25	41
2	то есть	2	20
3	таким образом	10	19
4	в этом	24	15
5	как и	4	14
6	в этой	14	13
7	то же	5	13
8	все эти	3	13
9	в его	12	12
10	прежде всего	10	11
11	в том	20	11
12	как мы	2	11
13	так и	5	10
14	все это	8	10
15	в то	7	10
16	в качестве	4	9
17	и его	3	9
18	не в	6	9
19	же время	3	9
20	но и	9	9
21	что в	19	9
22	в конце	6	8
23	то что	12	8
24	но в	5	8
25	в них	5	7
26	вовсе не	2	7
27	как бы	6	7
28	и не	10	7
29	он хочет	2	6
30	у него	9	6
31	все они	3	6
32	это не	7	6
33	ни в	5	6
34	мы видим	4	6
35	есть в	2	6
36	для него	3	6
37	только в	6	6
38	о том	8	6
39	уже в	3	5
40	к этому	3	5
41	не только	12	5
42	и к	4	5
43	на этом	3	5
44	в ней	4	5
45	вместе с	2	5
46	всего в	4	5
47	как в	6	5
48	до нас	2	5
49	в году	5	5
50	и у	2	5
51	а в	6	5
52	к нему	4	5
53	и для	4	5
54	точки зрения	7	5
55	и это	5	5
56	потому что	5	5
57	в плане	2	5
58	место в	6	4
59	что это	16	4
60	но он	3	4
61	и здесь	3	4
62	том что	15	4
63	но все	2	4
64	одна из	2	4
65	было бы	7	4
66	в сущности	2	4
67	может быть	19	4
68	он не	5	4
69	в виду	2	4
70	как я	2	4
71	и наконец	3	4
72	и на	6	4
73	и с	4	4
74	конце концов	3	4
75	ничего не	4	4
76	сам он	2	3
77	в отношении	2	3
78	что у	2	3
79	того же	2	3
80	во время	3	3
81	он может	2	3
82	это в	4	3
83	его к	2	3
84	он был	3	3
85	но это	4	3
86	такой же	2	3
87	по этому	3	3
88	в своей	4	3
89	в свою	2	3
90	кроме того	3	3
91	в это	2	3
92	но есть	2	3
93	несмотря на	3	3
94	например в	4	3
95	в ряде	2	3
96	что он	19	3
97	с ее	2	3
98	во всех	2	3
99	в форме	2	3
100	в их	3	3
101	не может	7	3
102	не было	4	3
103	с точки	4	3
104	не имеет	2	3
105	и по	2	3
106	той же	2	3
107	тем что	19	3
108	не на	2	3
109	как о	2	3
110	так сказать	2	3
111	так как	3	3
112	что все	3	2
113	с его	3	2
114	все время	2	2
115	находит свое	3	2
116	и др	4	2
117	никогда не	2	2
118	в этих	11	2
119	здесь только	2	2
120	и во	2	2
121	в одной	2	2
122	с этим	7	2
123	и ее	2	2
124	к тому	2	2
125	связано с	5	2
126	движения в	2	2
127	нас не	2	2
128	своего времени	2	2
129	точка зрения	4	2
130	до конца	3	2
131	отношение к	4	2
132	еще не	2	2
133	того что	5	2
134	и может	2	2
135	своего рода	3	2
136	одного из	2	2
137	этот образ	2	2
138	которые были	2	2
139	xvii века	2	2
140	не совсем	2	2
141	одной из	2	2
142	без труда	2	2
143	нужно сказать	2	2
144	а также	4	2
145	дело не	2	2
146	которое он	2	2
147	должен быть	2	2
148	здесь нет	2	2
149	и всегда	2	2
150	в связи	3	2
151	в особенности	4	2
152	этом отношении	4	2
153	в течение	4	2
154	и других	2	2
155	его как	3	2
156	не просто	2	2
157	не мог	2	2
158	а не	5	2
159	с самого	2	2
160	говорит что	5	2
161	из которых	4	2
162	уже не	3	2
163	мы не	2	2
164	или в	2	2
165	в результате	2	2
166	во всяком	4	2
167	в словах	3	2
168	имеем в	2	2
169	в которых	2	2
170	связан с	3	2
171	в чем	4	2
172	в каждой	2	2
173	в которой	4	2
174	в области	6	2
175	мы имеем	5	2
176	это было	8	2
