N	2gram	Vygotskiy__1	FransuaR
1	и в	31	41
2	то есть	26	20
3	таким образом	20	19
4	в этом	12	15
5	и все	5	14
6	как и	16	14
7	в этой	3	13
8	то же	5	13
9	в его	6	12
10	прежде всего	4	11
11	в том	30	11
12	как мы	2	11
13	в себе	4	11
14	так и	3	10
15	все это	8	10
16	в то	5	10
17	в качестве	2	9
18	и его	7	9
19	не в	11	9
20	но и	2	9
21	в своем	3	9
22	что в	23	9
23	в конце	3	8
24	и от	2	8
25	по существу	4	8
26	то что	32	8
27	но в	3	8
28	в них	2	7
29	вовсе не	6	7
30	как бы	5	7
31	в нем	2	7
32	и не	16	7
33	у него	4	6
34	ни в	9	6
35	мы видим	5	6
36	есть в	7	6
37	только в	14	6
38	о том	7	6
39	уже в	3	5
40	к этому	4	5
41	не только	13	5
42	и к	3	5
43	вместе с	8	5
44	что и	13	5
45	мы видели	2	5
46	как в	9	5
47	и у	4	5
48	а в	6	5
49	к нему	2	5
50	и для	5	5
51	так же	12	5
52	точки зрения	15	5
53	и это	3	5
54	потому что	10	5
55	что это	6	4
56	хотя и	3	4
57	на место	2	4
58	и здесь	2	4
59	том что	16	4
60	одна из	4	4
61	все что	3	4
62	было бы	6	4
63	в сущности	10	4
64	может быть	22	4
65	он не	3	4
66	в виду	4	4
67	к жизни	2	4
68	целый ряд	6	4
69	та же	3	4
70	и с	2	4
71	конце концов	3	4
72	одном из	2	4
73	ничего не	2	4
74	и другие	4	3
75	и есть	5	3
76	что у	3	3
77	того же	2	3
78	в одном	2	3
79	и потому	2	3
80	это в	2	3
81	очень часто	4	3
82	но это	3	3
83	такой же	2	3
84	по этому	2	3
85	совсем не	3	3
86	в своей	3	3
87	оказывается что	5	3
88	при этом	19	3
89	из них	2	3
90	несмотря на	5	3
91	например в	3	3
92	все то	3	3
93	и их	2	3
94	в область	2	3
95	что он	7	3
96	жизни и	3	3
97	не может	17	3
98	не было	3	3
99	мы найдем	2	3
100	тем самым	2	3
101	с точки	2	3
102	и по	3	3
103	той же	3	3
104	нас в	2	3
105	его в	2	3
106	так как	18	3
107	что все	3	2
108	все время	4	2
109	никогда не	8	2
110	в этих	4	2
111	и так	4	2
112	и во	2	2
113	в одной	3	2
114	с этим	3	2
115	на самом	2	2
116	том и	2	2
117	есть не	2	2
118	к тому	4	2
119	и как	2	2
120	из всех	2	2
121	более или	2	2
122	точка зрения	4	2
123	в себя	2	2
124	до конца	6	2
125	отношение к	2	2
126	тот же	2	2
127	того что	10	2
128	и может	2	2
129	со всеми	4	2
130	в состоянии	3	2
131	не есть	3	2
132	не знаем	2	2
133	в процессе	5	2
134	или менее	2	2
135	в связи	2	2
136	нигде не	2	2
137	этом отношении	2	2
138	и других	3	2
139	и вот	3	2
140	только на	3	2
141	для всех	4	2
142	а не	13	2
143	говорит что	5	2
144	а только	2	2
145	из которых	3	2
146	уже не	2	2
147	роль в	3	2
148	мы не	12	2
149	и самым	2	2
150	и то	2	2
151	в результате	4	2
152	их в	2	2
153	во всяком	8	2
154	что есть	2	2
155	в которых	3	2
156	ту же	2	2
157	может стать	3	2
158	далеко не	2	2
159	как он	2	2
160	бы в	2	2
161	в чем	2	2
162	в которой	4	2
163	с ним	2	2
164	в области	11	2
165	мы имеем	4	2
166	оно было	2	2
