N	2gram	Trubetskoy_1	Freidism
1	таким образом	11	24
2	и не	19	23
3	не может	22	20
4	точки зрения	11	19
5	прежде всего	8	18
6	в этом	17	15
7	в его	4	15
8	мы можем	2	13
9	может быть	9	13
10	как и	4	11
11	как бы	4	11
12	то что	13	11
13	все эти	2	11
14	с точки	9	11
15	и потому	3	10
16	самом деле	7	10
17	его в	4	10
18	с ним	2	10
19	но в	2	10
20	и в	14	9
21	во всех	5	9
22	по отношению	2	9
23	все что	4	8
24	что он	6	8
25	еще не	3	8
26	в своей	5	8
27	он не	5	8
28	не только	9	8
29	все это	6	8
30	то же	11	8
31	только в	5	8
32	так как	4	8
33	ни в	2	7
34	к нему	2	7
35	во всяком	9	7
36	в самом	3	7
37	что же	4	7
38	– не	2	7
39	и наконец	2	7
40	мы уже	2	7
41	всяком случае	6	7
42	никогда не	5	6
43	точку зрения	4	6
44	для него	6	6
45	того что	3	6
46	в ней	2	6
47	совершенно не	2	6
48	хотя бы	5	6
49	и с	7	6
50	и к	6	5
51	он сам	3	5
52	знаем что	3	5
53	но мы	3	5
54	не в	4	5
55	в этой	4	5
56	для этого	3	5
57	в то	10	5
58	в большинстве	3	5
59	что такое	2	5
60	что в	4	5
61	но и	10	5
62	на самом	6	5
63	для того	6	5
64	а в	5	5
65	и на	5	5
66	с этим	2	5
67	мы должны	7	5
68	большинстве случаев	2	5
69	но не	4	4
70	в котором	2	4
71	в этих	2	4
72	то ни	4	4
73	из этих	3	4
74	к тому	7	4
75	сводится к	3	4
76	всех этих	3	4
77	же время	10	4
78	при этом	5	4
79	конечно не	5	4
80	и о	2	4
81	от того	4	4
82	в нем	5	4
83	все же	4	4
84	данном случае	3	4
85	на основании	2	4
86	это только	2	4
87	не было	3	4
88	уже не	2	4
89	того чтобы	8	4
90	и для	6	4
91	в таком	2	4
92	в данном	7	4
93	этот вопрос	2	4
94	потому что	5	4
95	во время	2	4
96	себя и	5	4
97	говорить о	3	4
98	не могут	4	3
99	нисколько не	2	3
100	главным образом	3	3
101	если бы	6	3
102	и есть	2	3
103	тому что	2	3
104	и от	2	3
105	на себя	2	3
106	к себе	2	3
107	что все	3	3
108	в себе	9	3
109	и как	3	3
110	но это	2	3
111	она не	2	3
112	было бы	5	3
113	и тот	2	3
114	что может	3	3
115	ее в	2	3
116	себя в	4	3
117	бы то	4	3
118	жизни и	4	3
119	вместе с	4	3
120	со стороны	4	3
121	приводит к	4	3
122	тому чтобы	4	3
123	всем этим	2	3
124	и те	2	3
125	и вот	2	3
126	и что	2	3
127	и по	3	3
128	у него	2	3
129	одна из	3	3
130	в сознании	3	3
131	это учение	2	3
132	всю эту	2	2
133	есть и	2	2
134	этого не	2	2
135	зависит от	2	2
136	что это	3	2
137	для всех	6	2
138	быть и	2	2
139	его и	2	2
140	между собой	5	2
141	и ни	3	2
142	что бы	3	2
143	для себя	2	2
144	в конце	3	2
145	стремление к	7	2
146	не можем	2	2
147	для нас	2	2
148	да и	3	2
149	том что	9	2
150	самого себя	7	2
151	всех людей	2	2
152	на этой	2	2
153	а не	2	2
154	что с	2	2
155	из них	3	2
156	которой он	4	2
157	мы говорили	3	2
158	сил и	3	2
159	но для	2	2
160	но если	3	2
161	конце концов	3	2
162	в своем	6	2
163	себе и	4	2
164	на почве	2	2
165	для нее	2	2
166	только для	2	2
167	сих пор	5	2
168	все они	3	2
169	в их	4	2
170	только на	2	2
171	отличается от	2	2
172	даже если	2	2
173	отношения к	2	2
174	в совершенно	4	2
175	а с	2	2
176	что оно	3	2
177	а потому	5	2
178	и даже	2	2
179	так же	2	2
180	как на	8	2
181	на которой	2	2
182	в таких	2	2
183	и то	4	2
184	их в	2	2
185	в своих	6	2
186	что и	3	2
187	и при	6	2
188	в другом	3	2
189	в заблуждение	2	2
190	до сих	5	2
191	только с	2	2
192	в области	2	2
