N	2gram	Medvedev_U_1	Hudozhes
1	том что	2	16
2	и в	14	14
3	а не	10	12
4	в том	2	12
5	не только	10	12
6	прежде всего	8	11
7	в этом	7	11
8	в себе	2	11
9	для него	3	10
10	в своей	3	10
11	что он	2	9
12	как и	3	9
13	то же	5	9
14	то что	7	8
15	же время	3	8
16	между тем	2	8
17	в этой	4	8
18	в то	3	8
19	в его	2	8
20	ничего не	2	8
21	это не	3	7
22	не в	2	7
23	не может	7	7
24	не случайно	2	7
25	было бы	3	6
26	с его	2	5
27	в частности	3	5
28	может быть	6	5
29	только в	2	5
30	но и	4	5
31	самом деле	2	5
32	но в	3	5
33	в самом	2	4
34	что она	2	4
35	как раз	2	4
36	в конце	2	4
37	и с	2	4
38	но не	2	3
39	если бы	2	3
40	превращается в	2	3
41	все же	3	3
42	и для	2	3
43	этом отношении	2	3
44	тем что	2	3
45	представляется нам	2	2
46	конечном счете	4	2
47	по нашему	3	2
48	не столько	2	2
49	по себе	2	2
50	в конечном	4	2
51	в противовес	2	2
52	а его	2	2
53	сих пор	2	2
54	в их	4	2
55	все это	5	2
56	и не	8	2
57	в системе	2	2
58	не о	3	2
59	не следует	3	2
60	в художественном	5	2
61	мы не	2	2
62	до сих	2	2
