N	2gram	Bakhtin_Fr_1	Hudozhes
1	и в	65	28
2	том что	6	19
3	в ее	3	18
4	и не	22	18
5	в том	16	15
6	не в	4	13
7	в этом	15	13
8	о том	2	12
9	как и	5	11
10	при этом	6	11
11	в его	9	11
12	не только	10	11
13	уже не	3	10
14	но и	10	9
15	в себе	3	9
16	в жизни	4	8
17	что он	3	8
18	может быть	6	8
19	так и	10	8
20	между тем	5	8
21	жизни в	5	7
22	и все	5	7
23	к тому	2	7
24	в частности	5	7
25	с ним	3	7
26	это не	3	6
27	можно сказать	2	6
28	то что	3	6
29	жизни и	7	6
30	в своей	5	6
31	и с	3	6
32	с его	5	5
33	и другие	8	5
34	в своем	8	5
35	как бы	22	5
36	как в	5	5
37	да и	2	5
38	в этой	4	5
39	что в	3	5
40	в самом	4	5
41	наряду с	2	5
42	никогда не	6	5
43	только на	2	5
44	и его	10	5
45	жизни как	3	5
46	рядом с	5	5
47	одно из	6	5
48	для него	5	5
49	ничего не	3	5
50	превращается в	5	4
51	но не	2	4
52	он не	2	4
53	пародия на	3	4
54	как раз	3	4
55	не может	3	4
56	только в	7	4
57	в других	3	4
58	в них	5	3
59	в состоянии	3	3
60	с другой	3	3
61	в одном	5	3
62	к себе	2	3
63	но при	2	3
64	прежде всего	11	3
65	в нем	13	3
66	для нас	4	3
67	самом деле	3	3
68	еще не	6	3
69	одной стороны	2	3
70	в это	2	3
71	несмотря на	2	3
72	в ней	6	3
73	мы уже	12	3
74	в этих	2	3
75	на него	2	3
76	все это	9	3
77	на фоне	3	3
78	с одной	2	3
79	и он	2	3
80	по его	3	3
81	или в	2	3
82	и на	11	3
83	и это	2	3
84	к нему	3	3
85	в основе	8	2
86	и от	2	2
87	из этих	2	2
88	в духе	8	2
89	вовсе не	18	2
90	или иной	5	2
91	знает и	2	2
92	как мы	6	2
93	от своего	2	2
94	они были	6	2
95	человеческих отношений	2	2
96	это уже	4	2
97	что не	2	2
98	и к	4	2
99	в ряду	3	2
100	о нем	3	2
101	до сих	4	2
102	не является	3	2
103	это было	2	2
104	называет его	2	2
105	все же	6	2
106	отношение к	4	2
107	во второй	2	2
108	из них	4	2
109	ни с	2	2
110	сих пор	4	2
111	который был	2	2
112	мысли и	4	2
113	приводит к	2	2
114	еще и	5	2
115	и у	6	2
116	и эта	3	2
117	между ними	4	2
118	и для	2	2
119	с точки	3	2
120	в чужой	2	2
121	роль в	2	2
122	сказать что	6	2
123	потому что	5	2
124	различия между	2	2
125	точки зрения	7	2
126	его в	7	2
127	нет ничего	3	2
128	но в	14	2
