N	2gram	Vinokur_Ku_3	Istorich
1	и в	23	25
2	что он	6	22
3	вместе с	2	22
4	и т	54	20
5	т д	8	18
6	может быть	14	17
7	т е	32	16
8	мы имеем	2	14
9	не только	17	13
10	но и	3	13
11	в его	11	12
12	и не	10	11
13	уже не	8	11
14	так как	9	11
15	все же	5	10
16	в этом	16	10
17	тем что	5	10
18	с другой	7	9
19	его в	2	9
20	таким образом	9	9
21	с тем	6	8
22	связи с	6	8
23	что в	13	8
24	том что	11	8
25	еще не	9	8
26	на него	3	8
27	другой стороны	3	8
28	все эти	7	8
29	и что	7	8
30	в частности	2	7
31	в качестве	2	7
32	мы видели	3	7
33	как и	5	7
34	но это	5	7
35	то что	4	7
36	этом случае	4	7
37	одной стороны	4	7
38	с одной	4	7
39	потому что	12	7
40	и здесь	2	7
41	только в	6	7
42	о том	6	7
43	в этих	2	6
44	это не	3	6
45	прежде всего	9	6
46	что и	6	6
47	как в	4	6
48	не может	6	6
49	не в	5	6
50	могут быть	6	6
51	в том	22	6
52	там где	3	6
53	что это	3	5
54	ясно что	4	5
55	как мы	5	5
56	для нас	4	5
57	но все	2	5
58	но не	3	5
59	в ней	3	5
60	не будем	5	5
61	так же	2	5
62	и действительно	3	5
63	мы не	3	5
64	не менее	12	4
65	не как	2	4
66	что все	2	4
67	и тем	6	4
68	с другими	2	4
69	тем не	9	4
70	в ее	4	4
71	в дальнейшем	2	4
72	в пределах	2	4
73	в некоторых	2	4
74	а именно	3	4
75	все это	2	4
76	в связи	5	4
77	то же	6	4
78	совершенно ясно	2	4
79	он не	3	4
80	мы должны	3	4
81	того как	7	4
82	и как	2	3
83	в целом	4	3
84	после того	6	3
85	в то	3	3
86	также что	2	3
87	того чтобы	11	3
88	и пр	3	3
89	на том	2	3
90	на себя	2	3
91	но мы	2	3
92	то это	3	3
93	примеров можно	2	3
94	в свете	2	3
95	на этом	2	3
96	только после	3	3
97	в особенности	2	3
98	для того	12	3
99	а в	5	3
100	в которых	3	3
101	в данном	7	3
102	и с	3	3
103	они не	3	3
104	в таких	2	3
105	е в	2	3
106	уже в	3	2
107	уже выше	5	2
108	здесь можно	5	2
109	это уже	3	2
110	формы и	3	2
111	только тогда	4	2
112	понял что	2	2
113	тогда когда	4	2
114	вовсе не	5	2
115	вопрос о	11	2
116	по себе	6	2
117	в различных	2	2
118	можно сказать	2	2
119	с этой	3	2
120	по существу	3	2
121	и при	2	2
122	такой же	2	2
123	очевидно что	3	2
124	того же	4	2
125	до сих	8	2
126	она не	3	2
127	е на	2	2
128	если бы	8	2
129	но для	3	2
130	как бы	5	2
131	один из	4	2
132	сих пор	8	2
133	в своей	4	2
134	отношению к	2	2
135	когда он	2	2
136	том чтобы	4	2
137	время в	3	2
138	данном случае	4	2
139	совершенно не	5	2
140	по отношению	3	2
141	язык и	2	2
142	здесь как	2	2
143	самом деле	14	2
144	именно на	2	2
145	а не	11	2
146	того что	11	2
147	то здесь	2	2
148	так в	2	2
149	то в	3	2
150	сказать что	7	2
151	точки зрения	23	2
152	к его	2	2
153	что мы	2	2
154	в свое	2	2
155	тех же	4	2
156	не потому	3	2
157	ничего не	6	2
158	о чем	2	2
