N	2gram	Vygotskiy__4	Istorich
1	и в	33	25
2	что он	20	22
3	вместе с	8	22
4	и т	6	20
5	т д	2	18
6	может быть	22	17
7	мы имеем	2	14
8	не только	7	13
9	но и	3	13
10	в его	10	12
11	и не	13	11
12	так как	12	11
13	все же	5	10
14	в этом	28	10
15	тем что	3	10
16	с другой	2	9
17	его в	3	9
18	и его	5	9
19	таким образом	13	9
20	в виде	3	9
21	с тем	4	8
22	связи с	2	8
23	что в	21	8
24	мы знаем	2	8
25	том что	22	8
26	мы видим	6	8
27	на него	4	8
28	связь с	5	8
29	другой стороны	2	8
30	все эти	6	8
31	и что	25	8
32	и на	5	8
33	в частности	4	7
34	во время	6	7
35	как и	5	7
36	то что	44	7
37	одной стороны	3	7
38	в нем	7	7
39	при помощи	4	7
40	с одной	3	7
41	потому что	24	7
42	и здесь	3	7
43	представляет собой	2	7
44	только в	4	7
45	о том	20	7
46	знаем что	4	6
47	это не	6	6
48	прежде всего	2	6
49	в нее	2	6
50	что и	3	6
51	себя в	4	6
52	как в	3	6
53	не может	10	6
54	и он	3	6
55	не в	2	6
56	в том	21	6
57	что это	13	5
58	ясно что	5	5
59	с этим	5	5
60	видим что	2	5
61	как мы	4	5
62	для нас	7	5
63	но все	2	5
64	здесь мы	3	5
65	но не	3	5
66	мы увидим	2	5
67	например в	3	5
68	в ней	6	5
69	так же	13	5
70	мы не	5	5
71	что у	4	4
72	что все	11	4
73	в ее	2	4
74	мы уже	5	4
75	он видит	3	4
76	в пределах	3	4
77	же как	3	4
78	все это	13	4
79	то же	9	4
80	совершенно ясно	8	4
81	от этого	3	4
82	он не	11	4
83	мы должны	6	4
84	и это	5	4
85	в которой	4	4
86	с ним	5	4
87	никогда не	5	3
88	и как	5	3
89	над ним	2	3
90	и все	12	3
91	в целом	5	3
92	ее и	2	3
93	что его	3	3
94	в этой	9	3
95	в то	3	3
96	того чтобы	22	3
97	и из	3	3
98	о нем	4	3
99	но мы	2	3
100	то это	3	3
101	что при	2	3
102	на этом	3	3
103	только после	5	3
104	и она	2	3
105	для того	23	3
106	его не	2	3
107	а в	4	3
108	в которых	3	3
109	их в	3	3
110	и с	2	3
111	никто не	4	3
112	видит что	4	3
113	в русской	2	3
114	героя и	2	3
115	перед нами	6	2
116	уже в	2	2
117	ли он	2	2
118	у него	6	2
119	бы мы	3	2
120	он может	2	2
121	его и	2	2
122	из нее	3	2
123	и затем	3	2
124	к этому	4	2
125	вовсе не	5	2
126	а как	2	2
127	вопрос о	2	2
128	по себе	9	2
129	на то	10	2
130	можно сказать	2	2
131	так что	7	2
132	об этом	4	2
133	о которых	2	2
134	с этой	4	2
135	мы легко	3	2
136	по существу	2	2
137	мы узнаем	4	2
138	такой же	2	2
139	по которым	2	2
140	одна из	4	2
141	а на	2	2
142	после этого	6	2
143	до сих	3	2
144	она не	3	2
145	в это	2	2
146	жизни и	4	2
147	и мы	15	2
148	друг с	4	2
149	если бы	10	2
150	из которых	3	2
151	должно было	2	2
152	как бы	25	2
153	и потому	2	2
154	это время	2	2
155	даже в	2	2
156	один из	2	2
157	сих пор	3	2
158	в своей	4	2
159	когда он	7	2
160	во всех	2	2
161	том чтобы	4	2
162	ее в	4	2
163	со стороны	2	2
164	говорит о	4	2
165	так например	4	2
166	совершенно не	4	2
167	до этого	2	2
168	и для	3	2
169	и других	4	2
170	самом деле	12	2
171	оказывается что	2	2
172	а не	6	2
173	того что	4	2
174	чтобы он	2	2
175	что этот	3	2
176	можно найти	2	2
177	сказать что	13	2
178	образом в	2	2
179	за ней	2	2
180	но он	6	2
181	точки зрения	6	2
182	во всем	2	2
183	что мы	6	2
184	из них	4	2
185	с другом	4	2
186	просто на	2	2
187	на нее	2	2
188	не потому	2	2
189	ничего не	2	2
190	это было	4	2
191	том как	3	2
192	мы можем	5	2
