N	2gram	Bakhtin_Pr_5	Komedia
1	и в	35	22
2	том что	3	12
3	в том	5	11
4	но и	14	11
5	не только	10	10
6	из них	3	10
7	в то	11	10
8	как и	18	9
9	может быть	14	9
10	в одном	6	8
11	таким образом	7	8
12	и не	27	8
13	и его	14	8
14	о том	2	8
15	что в	6	6
16	в отношении	9	6
17	в конце	5	6
18	что он	24	6
19	к тому	6	6
20	ни в	2	6
21	тому же	3	6
22	и по	2	6
23	то же	15	6
24	не в	10	6
25	а в	7	6
26	в которой	2	6
27	уже в	3	5
28	с другой	4	5
29	во время	5	5
30	прежде всего	12	5
31	при этом	2	5
32	со своим	2	5
33	в его	21	5
34	еще в	4	5
35	на его	4	5
36	так и	8	5
37	как в	5	5
38	все это	14	5
39	другой стороны	3	5
40	iv в	2	5
41	и даже	5	5
42	потому что	8	5
43	между тем	4	5
44	как мы	8	4
45	в другом	12	4
46	на протяжении	5	4
47	что они	6	4
48	же время	10	4
49	в котором	3	4
50	в нем	16	4
51	что и	3	4
52	на него	5	4
53	так в	2	4
54	тем что	4	4
55	и вот	4	4
56	время как	2	4
57	точки зрения	7	4
58	из его	2	4
59	конце концов	3	4
60	так как	4	4
61	но в	19	4
62	мы можем	2	4
63	не менее	2	3
64	однако в	2	3
65	в них	4	3
66	вопрос о	2	3
67	на всю	2	3
68	и как	2	3
69	по своему	4	3
70	здесь в	2	3
71	тот же	4	3
72	и сам	7	3
73	одной из	2	3
74	в начале	3	3
75	и у	4	3
76	у него	4	3
77	да и	5	3
78	хотя и	2	3
79	он не	13	3
80	даже в	5	3
81	все же	8	3
82	отношению к	7	3
83	в целом	3	3
84	отношение к	6	3
85	так же	7	3
86	по отношению	6	3
87	за исключением	2	3
88	не мог	3	3
89	как раз	4	3
90	каждый из	2	3
91	и на	6	3
92	в этом	14	3
93	и с	12	3
94	в виде	7	3
95	только в	6	3
96	и все	15	3
97	его в	4	3
98	в чем	4	3
99	ничего не	3	3
100	времени и	2	2
101	ни было	3	2
102	за пределы	3	2
103	и без	4	2
104	то ни	3	2
105	столь же	2	2
106	и во	3	2
107	и мир	2	2
108	именно потому	2	2
109	вовсе не	7	2
110	точек зрения	2	2
111	мы знаем	2	2
112	протяжении всего	4	2
113	раз в	2	2
114	мы видели	2	2
115	слова о	4	2
116	должна была	2	2
117	такой же	3	2
118	на этом	2	2
119	собой и	3	2
120	но не	6	2
121	совсем не	3	2
122	до конца	4	2
123	еще не	7	2
124	было бы	3	2
125	мог бы	2	2
126	в самом	6	2
127	всяком случае	4	2
128	в эти	2	2
129	для себя	7	2
130	с ее	3	2
131	то что	10	2
132	бы то	3	2
133	вместе с	2	2
134	всего этого	3	2
135	только что	3	2
136	для этого	2	2
137	в сущности	14	2
138	не может	18	2
139	что у	6	2
140	в форме	3	2
141	к нему	13	2
142	или в	2	2
143	где он	4	2
144	но это	6	2
145	во всяком	4	2
146	несколько раз	2	2
147	к ней	2	2
148	но он	4	2
149	в себе	5	2
150	по своей	2	2
151	как будто	4	2
152	будто бы	2	2
153	отличие от	2	2
154	ли это	2	2
