N	2gram	Vinokur_Vv_1	Komedia
1	и в	27	22
2	т е	38	13
3	том что	26	12
4	в г	5	11
5	в том	31	11
6	но и	5	11
7	не только	21	10
8	из них	3	10
9	в то	5	10
10	как и	5	9
11	и т	43	9
12	может быть	24	9
13	в одном	4	8
14	таким образом	19	8
15	и не	13	8
16	и его	5	8
17	о том	15	8
18	в этой	3	7
19	и других	3	7
20	что в	11	6
21	в отношении	2	6
22	в конце	3	6
23	что он	4	6
24	к тому	4	6
25	такого рода	2	6
26	то же	8	6
27	не в	8	6
28	а в	5	6
29	уже в	5	5
30	с другой	8	5
31	прежде всего	8	5
32	о которых	2	5
33	при этом	3	5
34	в его	10	5
35	один из	6	5
36	в истории	9	5
37	до нас	3	5
38	все это	6	5
39	другой стороны	5	5
40	iv в	2	5
41	и даже	5	5
42	потому что	14	5
43	т п	5	5
44	между тем	8	5
45	именно в	8	4
46	в их	11	4
47	к этому	3	4
48	ясно что	9	4
49	несмотря на	2	4
50	как мы	9	4
51	в в	3	4
52	в другом	3	4
53	на протяжении	2	4
54	в качестве	7	4
55	же время	5	4
56	а также	3	4
57	в котором	4	4
58	в нем	13	4
59	что и	3	4
60	т д	37	4
61	тем что	6	4
62	и вот	3	4
63	в результате	3	4
64	точки зрения	7	4
65	из его	2	4
66	конце концов	2	4
67	так как	13	4
68	но в	10	4
69	мы можем	2	4
70	же как	3	3
71	казалось бы	2	3
72	не менее	8	3
73	все более	3	3
74	однако в	3	3
75	в них	4	3
76	вопрос о	8	3
77	в тех	2	3
78	у нас	2	3
79	и как	9	3
80	по своему	5	3
81	после того	2	3
82	одной стороны	4	3
83	и сам	2	3
84	во второй	3	3
85	одной из	3	3
86	в начале	3	3
87	из числа	2	3
88	в частности	3	3
89	да и	4	3
90	хотя и	3	3
91	по содержанию	2	3
92	речь идет	2	3
93	все же	8	3
94	отношению к	4	3
95	в целом	5	3
96	отношение к	3	3
97	на основании	5	3
98	так же	3	3
99	по отношению	4	3
100	того как	3	3
101	этом отношении	3	3
102	с одной	4	3
103	в течение	5	3
104	н э	6	3
105	не мог	2	3
106	мы не	2	3
107	как раз	4	3
108	каждый из	2	3
109	и на	3	3
110	в более	2	3
111	в этом	34	3
112	и с	2	3
113	в виде	4	3
114	могут быть	4	3
115	и ее	4	3
116	только в	13	3
117	его в	6	3
118	в чем	4	3
119	как это	5	3
120	ничего не	2	3
121	в известном	3	2
122	времени и	4	2
123	до н	6	2
124	еще и	3	2
125	независимо от	3	2
126	меньшей мере	2	2
127	и без	2	2
128	нельзя не	4	2
129	греции и	3	2
130	это однако	2	2
131	вовсе не	6	2
132	тем не	8	2
133	мы видели	2	2
134	должна была	2	2
135	одна из	2	2
136	на этом	3	2
137	но не	7	2
138	совсем не	3	2
139	именно на	2	2
140	того же	3	2
141	это еще	2	2
142	до конца	3	2
143	до сих	5	2
144	еще не	4	2
145	было бы	5	2
146	мог бы	2	2
147	в самом	12	2
148	всяком случае	3	2
149	в число	2	2
150	говоря уже	2	2
151	и тем	5	2
152	то что	17	2
153	не к	2	2
154	наряду с	2	2
155	вместе с	6	2
156	не говоря	2	2
157	в до	2	2
158	со стороны	12	2
159	по меньшей	2	2
160	только что	4	2
161	второй половине	2	2
162	для этого	3	2
163	в сущности	3	2
164	не может	13	2
165	в форме	2	2
166	в и	4	2
167	из которых	2	2
168	в принципе	2	2
169	к нему	2	2
170	в силу	3	2
171	не следует	2	2
172	во всяком	3	2
173	чем же	3	2
174	в своих	2	2
175	в себе	4	2
176	как будто	3	2
177	же самое	2	2
178	будто бы	2	2
179	об отношении	2	2
180	отличие от	3	2
181	из наиболее	4	2
182	в области	4	2
183	е в	4	2
184	сих пор	5	2
