N	2gram	Bakhtin_sl_1	Komedia
1	и в	41	26
2	и не	16	14
3	к тому	3	12
4	так и	11	12
5	и его	14	12
6	в том	3	11
7	может быть	14	11
8	но и	16	10
9	на протяжении	2	10
10	в этом	12	10
11	столь же	2	9
12	том что	2	9
13	было бы	3	8
14	и на	14	7
15	из них	3	7
16	не только	16	7
17	в своем	3	6
18	еще не	4	6
19	в нем	30	6
20	потому что	2	6
21	и здесь	3	6
22	в то	14	6
23	о том	3	6
24	таким образом	9	6
25	с его	4	5
26	в которой	4	5
27	к этому	2	5
28	в качестве	3	5
29	один из	4	5
30	в истории	3	5
31	с этим	3	5
32	для того	2	5
33	так что	2	5
34	и с	4	5
35	в частности	2	4
36	у него	3	4
37	в этих	2	4
38	тому что	2	4
39	в них	6	4
40	и от	4	4
41	прежде всего	8	4
42	из этих	3	4
43	как мы	8	4
44	как и	4	4
45	в целом	2	4
46	одной из	3	4
47	хотя и	2	4
48	в его	13	4
49	все же	7	4
50	в самом	5	4
51	в последние	2	4
52	и для	4	4
53	можно было	2	4
54	точки зрения	16	4
55	только в	6	4
56	так как	3	4
57	его в	3	4
58	между тем	2	4
59	с этой	3	3
60	в каждом	4	3
61	то время	2	3
62	мы найдем	3	3
63	связи с	2	3
64	но не	2	3
65	того же	6	3
66	во всех	17	3
67	же время	12	3
68	здесь в	4	3
69	для нас	2	3
70	и сам	3	3
71	например в	2	3
72	интерес к	2	3
73	в ней	4	3
74	в котором	2	3
75	себя в	9	3
76	друг другу	2	3
77	в своей	7	3
78	в их	4	3
79	все это	5	3
80	при всем	3	3
81	той же	2	3
82	то же	14	3
83	не было	3	3
84	как в	8	3
85	к нему	5	3
86	друг друга	3	3
87	а в	6	3
88	или в	8	3
89	не может	14	3
90	но в	8	3
91	в речах	2	2
92	все время	3	2
93	ни было	2	2
94	в другой	2	2
95	с другой	5	2
96	это не	6	2
97	в одном	2	2
98	в духе	2	2
99	вовсе не	7	2
100	и к	5	2
101	с которым	2	2
102	в ее	2	2
103	есть для	2	2
104	не в	7	2
105	до сих	2	2
106	в построении	2	2
107	одна из	2	2
108	на этом	2	2
109	по своему	2	2
110	а на	2	2
111	связанных с	4	2
112	одной стороны	4	2
113	одним из	4	2
114	наконец в	2	2
115	он не	3	2
116	друг с	2	2
117	как бы	12	2
118	которые в	3	2
119	всяком случае	5	2
120	время как	2	2
121	даже в	2	2
122	не является	2	2
123	хотя бы	3	2
124	и т	28	2
125	отношение к	7	2
126	сих пор	2	2
127	так в	2	2
128	т п	23	2
129	с одной	4	2
130	еще более	5	2
131	в той	10	2
132	и у	2	2
133	бы и	3	2
134	в других	3	2
135	рядом с	4	2
136	такая же	2	2
137	роль в	2	2
138	мы не	2	2
139	с ними	3	2
140	во всяком	7	2
141	от этого	2	2
142	и во	3	2
143	и ее	3	2
144	с другом	2	2
145	и все	4	2
146	в первом	3	2
147	из этого	3	2
148	с которыми	2	2
