N	2gram	Tiupa_Anal_1	Komedia
1	и в	18	22
2	и не	21	21
3	том что	12	13
4	в том	27	12
5	таким образом	3	12
6	со стороны	2	11
7	так как	2	11
8	ни в	4	10
9	потому что	2	10
10	в самом	6	9
11	вместе с	4	9
12	если бы	3	8
13	что он	3	8
14	в его	13	8
15	что и	3	8
16	в этом	13	8
17	о том	5	8
18	при этом	12	7
19	то же	9	7
20	едва ли	2	7
21	а в	9	7
22	тому же	4	6
23	того же	4	6
24	еще не	3	6
25	для того	4	6
26	к тому	7	6
27	может быть	29	6
28	самом деле	2	6
29	того чтобы	3	6
30	и его	5	6
31	в то	9	6
32	что в	5	5
33	же время	6	5
34	прежде всего	6	5
35	и сам	2	5
36	не только	15	5
37	в своей	6	5
38	отношение к	2	5
39	из них	2	5
40	по отношению	6	5
41	он не	3	5
42	более чем	4	5
43	к нему	3	5
44	с ним	4	5
45	но в	8	5
46	отнюдь не	15	4
47	однако в	3	4
48	между собой	2	4
49	с другой	4	4
50	вовсе не	2	4
51	нет и	2	4
52	все же	4	4
53	не в	14	4
54	несмотря на	2	4
55	тем более	2	4
56	и т	3	4
57	то что	6	4
58	но и	17	4
59	т п	3	4
60	а не	17	4
61	точки зрения	6	4
62	на себя	2	4
63	в себе	11	4
64	так и	4	4
65	не является	2	4
66	хотя бы	3	4
67	и с	2	4
68	с его	3	3
69	в частности	19	3
70	никогда не	2	3
71	то ни	3	3
72	следует что	2	3
73	в какой	2	3
74	себе в	2	3
75	одного из	2	3
76	в нем	3	3
77	далеко не	6	3
78	и к	3	3
79	как и	13	3
80	в начале	2	3
81	в этой	5	3
82	который в	2	3
83	одной стороны	3	3
84	было бы	2	3
85	как бы	5	3
86	один из	2	3
87	отношению к	5	3
88	в целом	5	3
89	дело с	4	3
90	не может	22	3
91	с одной	3	3
92	в двух	2	3
93	из того	4	3
94	что не	3	3
95	с точки	4	3
96	столь же	4	3
97	в т	2	3
98	не о	2	3
99	представляет собой	16	3
100	же самое	2	3
101	как он	3	3
102	в которой	2	3
103	в основе	6	2
104	на вопрос	4	2
105	только для	2	2
106	ни было	4	2
107	состоит в	11	2
108	себя и	4	2
109	конечном счете	4	2
110	в качестве	31	2
111	не будет	3	2
112	это не	6	2
113	и все	3	2
114	не могут	3	2
115	а как	2	2
116	отличие от	6	2
117	в силу	3	2
118	х годов	2	2
119	в присутствии	2	2
120	бы то	3	2
121	перед лицом	6	2
122	в пределах	2	2
123	на его	2	2
124	в сущности	6	2
125	за пределы	2	2
126	при всей	2	2
127	и о	2	2
128	одним из	3	2
129	в конечном	4	2
130	в свое	2	2
131	а также	3	2
132	за пределами	2	2
133	в котором	3	2
134	должен быть	6	2
135	представляют собой	2	2
136	не с	4	2
137	дело не	3	2
138	в их	5	2
139	как мы	2	2
140	другой стороны	2	2
141	бы не	2	2
142	отношения к	2	2
143	этом отношении	2	2
144	в мире	8	2
145	из которых	4	2
146	роль в	2	2
147	с другими	4	2
148	в таком	3	2
149	и на	5	2
150	между тем	5	2
151	нуждается в	8	2
152	в другом	4	2
153	исходя из	4	2
154	текста не	2	2
155	что мы	3	2
156	нет ничего	2	2
157	здесь не	2	2
158	всего лишь	4	2
159	в области	4	2
