N	2gram	Vygotskiy__6	Marksizm
1	точки зрения	13	34
2	может быть	13	26
3	и не	11	26
4	не может	19	24
5	с точки	10	20
6	и в	28	19
7	и его	3	19
8	таким образом	18	17
9	в этом	27	16
10	как бы	11	15
11	языка в	2	14
12	в процессе	9	14
13	прежде всего	2	13
14	языка и	5	13
15	как мы	10	13
16	как и	6	12
17	так и	6	11
18	если мы	2	11
19	связи с	3	11
20	в самом	8	10
21	в нем	7	10
22	самом деле	2	10
23	для него	6	9
24	только в	18	9
25	при этом	3	8
26	но и	10	8
27	друг друга	4	8
28	до сих	3	8
29	не только	16	8
30	все же	2	8
31	то что	28	8
32	сих пор	3	8
33	в каждом	3	7
34	в связи	2	7
35	все эти	2	7
36	так же	15	7
37	но в	5	7
38	во всех	4	7
39	то же	7	7
40	а не	3	7
41	с помощью	13	6
42	в том	28	6
43	является не	2	6
44	в пределах	5	6
45	другой стороны	2	6
46	и здесь	3	6
47	того же	7	6
48	в его	3	6
49	и того	4	6
50	мы не	6	6
51	с другой	2	5
52	одного и	4	5
53	в конце	2	5
54	именно в	4	5
55	мы знаем	4	5
56	не в	4	5
57	совершается в	3	5
58	до конца	3	5
59	те же	3	5
60	и все	5	5
61	необходимо чтобы	2	5
62	связи между	6	5
63	того чтобы	10	5
64	этот вопрос	3	5
65	ясно что	4	5
66	самого начала	7	4
67	что в	17	4
68	не менее	2	4
69	в отношении	10	4
70	вопрос о	5	4
71	с самого	7	4
72	от того	10	4
73	форм и	2	4
74	к одному	2	4
75	а в	2	4
76	и на	5	4
77	сказать что	13	4
78	и между	2	4
79	с этим	4	4
80	по себе	3	4
81	еще не	8	4
82	было бы	9	4
83	как в	3	4
84	мысли и	2	4
85	только на	2	4
86	для того	8	4
87	между ними	7	4
88	переход от	4	4
89	в данном	2	4
90	отношении к	3	4
91	этом отношении	3	3
92	и от	2	3
93	можно сказать	6	3
94	и как	6	3
95	в котором	2	3
96	из них	2	3
97	все это	2	3
98	по отношению	10	3
99	того что	24	3
100	к другой	6	3
101	не имеет	6	3
102	с другими	2	3
103	нуждается в	3	3
104	для каждого	2	3
105	в то	6	3
106	же самое	6	3
107	его в	6	3
108	в высшей	2	3
109	он может	2	3
110	первом случае	3	3
111	к другому	4	3
112	не могут	5	3
113	различие между	2	3
114	и к	6	3
115	этом случае	2	3
116	том что	19	3
117	более того	2	3
118	мы должны	3	3
119	в сущности	7	3
120	он не	7	3
121	в первом	4	3
122	в своей	2	3
123	целый ряд	4	3
124	это и	3	3
125	и следовательно	4	3
126	на этот	4	3
127	речи в	2	3
128	речи и	5	3
129	между двумя	2	3
130	в которой	7	3
131	в области	6	3
132	зависит от	3	2
133	же как	6	2
134	независимо от	3	2
135	в частности	4	2
136	никогда не	8	2
137	тому что	11	2
138	в своем	7	2
139	точку зрения	2	2
140	для решения	3	2
141	что все	5	2
142	одной и	3	2
143	для одного	3	2
144	мог бы	3	2
145	и той	3	2
146	одним из	2	2
147	совпадает с	4	2
148	для всех	2	2
149	но если	4	2
150	и является	2	2
151	себе и	2	2
152	и др	2	2
153	в нашем	4	2
154	на этой	5	2
155	где они	2	2
156	и только	3	2
157	имеет место	2	2
158	и других	7	2
159	во втором	3	2
160	между этими	4	2
161	можно было	7	2
162	в своих	3	2
163	с этой	2	2
164	в одной	4	2
165	из этих	3	2
166	к его	2	2
167	этом вопросе	2	2
168	этом смысле	2	2
169	так как	10	2
170	бы в	3	2
171	мысли в	4	2
172	в сознании	4	2
173	от этого	3	2
174	в основе	3	2
175	и более	2	2
176	по мере	3	2
177	если бы	7	2
178	между собой	9	2
179	если он	2	2
180	что он	18	2
181	в себе	4	2
182	для нашей	2	2
183	у нас	2	2
184	то в	5	2
185	зависимости от	5	2
186	от него	2	2
187	в качестве	4	2
188	она не	2	2
189	мы уже	2	2
190	к тому	10	2
191	может существовать	2	2
192	этого слова	2	2
193	не могло	2	2
194	что и	4	2
195	отношению к	10	2
196	языке и	2	2
197	как раз	6	2
198	для данного	3	2
199	речи как	2	2
200	что такое	3	2
201	той же	4	2
202	мы можем	9	2
203	тем что	8	2
204	могут быть	5	2
205	в другом	2	2
206	и вообще	2	2
207	ту же	3	2
208	не знает	3	2
209	и т.д	3	2
210	как оно	3	2
211	из этого	2	2
212	там где	7	2
213	в чем	6	2
214	как с	2	2
