N	2gram	Vygotskiy__3	Myshleni
1	в том	25	28
2	и в	38	28
3	то что	35	28
4	в этом	13	27
5	того что	4	24
6	потому что	14	22
7	не может	7	19
8	том что	14	19
9	таким образом	12	18
10	что он	11	18
11	только в	4	18
12	что в	20	17
13	в силу	2	17
14	не только	12	16
15	так же	2	15
16	может быть	19	13
17	сказать что	4	13
18	точки зрения	16	13
19	мы могли	4	12
20	тому что	6	11
21	и не	10	11
22	как бы	14	11
23	к тому	6	10
24	как мы	7	10
25	но и	5	10
26	развития и	2	10
27	так как	6	10
28	того чтобы	9	10
29	с точки	9	10
30	могли бы	5	9
31	между собой	2	9
32	было бы	12	9
33	мы можем	7	9
34	никогда не	4	8
35	в самом	25	8
36	мы видели	6	8
37	для того	8	8
38	тем что	3	8
39	самого начала	6	7
40	того же	3	7
41	показывает что	2	7
42	с самого	6	7
43	если бы	14	7
44	в нем	4	7
45	в сущности	10	7
46	в своем	5	7
47	заключается в	7	7
48	что оно	2	7
49	мы видим	12	7
50	он не	6	7
51	вместе с	5	7
52	то же	10	7
53	там где	6	7
54	в которой	5	7
55	и к	3	6
56	так что	8	6
57	и как	8	6
58	и что	18	6
59	для него	2	6
60	не имеет	6	6
61	в то	3	6
62	же самое	10	6
63	когда мы	2	6
64	его в	3	6
65	как и	8	6
66	то время	2	6
67	как раз	8	6
68	мы не	5	6
69	не могут	2	5
70	иначе как	2	5
71	и тем	3	5
72	время как	4	5
73	и на	6	5
74	и все	10	5
75	но в	3	5
76	что все	3	5
77	с тем	8	5
78	показать что	7	5
79	того как	3	5
80	в этой	13	5
81	не могли	4	5
82	я не	5	4
83	на то	16	4
84	не в	12	4
85	на этом	5	4
86	но что	2	4
87	например в	2	4
88	совпадает с	2	4
89	но если	4	4
90	не иначе	2	4
91	целый ряд	2	4
92	с этим	8	4
93	сущности говоря	7	4
94	они не	2	4
95	который мы	3	4
96	в одной	2	4
97	и следовательно	2	4
98	ясно что	6	4
99	в качестве	2	4
100	что и	4	4
101	во всех	4	4
102	в той	5	4
103	той же	2	4
104	и то	8	4
105	в себе	4	4
106	оба эти	3	3
107	из этих	3	3
108	все время	30	3
109	как это	6	3
110	очевидно что	2	3
111	слов и	2	3
112	всякий раз	3	3
113	это есть	2	3
114	есть в	2	3
115	что с	4	3
116	до конца	2	3
117	при этом	4	3
118	же точно	2	3
119	и той	2	3
120	но мы	2	3
121	в целом	4	3
122	как на	3	3
123	и только	3	3
124	сослаться на	2	3
125	и по	2	3
126	действия и	2	3
127	в своих	4	3
128	больше чем	4	3
129	в основе	3	3
130	и здесь	6	3
131	но как	2	3
132	на примере	2	3
133	только то	2	3
134	бы в	3	3
135	в плане	3	3
136	видели что	2	3
137	должен был	2	3
138	в них	3	3
139	мы нашли	2	3
140	лежит в	2	3
141	остановиться на	2	3
142	каждой новой	2	3
143	раз в	4	3
144	до сих	6	3
145	иначе говоря	5	3
146	один из	6	3
147	в его	5	3
148	сих пор	5	3
149	как в	4	3
150	одной и	2	3
151	а не	7	3
152	и его	6	3
153	представляет собой	2	3
154	представляют собой	2	3
155	отношения к	2	3
156	как только	3	2
157	казалось бы	5	2
158	и другие	2	2
159	все более	2	2
160	в этих	2	2
161	друг другу	2	2
162	для этого	2	2
163	с другой	7	2
164	с этой	2	2
165	в конце	2	2
166	была бы	2	2
167	что именно	2	2
168	для нас	8	2
169	но это	3	2
170	и более	2	2
171	самом деле	21	2
172	и другое	4	2
173	несмотря на	5	2
174	имеет место	2	2
175	что всякое	2	2
176	в котором	6	2
177	из них	6	2
178	если мы	6	2
179	все это	3	2
180	другой стороны	5	2
181	образом мы	4	2
182	которых мы	6	2
183	все эти	4	2
184	но только	8	2
185	и наконец	2	2
186	в которых	6	2
187	но он	2	2
188	к его	2	2
189	до крайности	4	2
190	что у	7	2
191	бы совершенно	6	2
192	том смысле	2	2
193	с ним	2	2
194	том как	2	2
195	если он	4	2
196	состоит в	3	2
197	у него	4	2
198	для всех	2	2
199	он может	2	2
200	были бы	3	2
201	в такой	3	2
202	в одном	8	2
203	увидим ниже	2	2
204	у нас	2	2
205	по существу	2	2
206	мысль что	4	2
207	по своему	4	2
208	что чем	2	2
209	животных и	2	2
210	она не	6	2
211	мы уже	7	2
212	видим в	2	2
213	по самому	2	2
214	в своей	5	2
215	из этого	8	2
216	что если	4	2
217	и между	4	2
218	этого слова	2	2
219	не совпадает	2	2
220	все же	8	2
221	когда он	4	2
222	ее в	4	2
223	так точно	2	2
224	внимание на	2	2
225	нами в	2	2
226	а в	7	2
227	уже из	6	2
228	только что	2	2
229	у них	2	2
230	в данном	2	2
231	из области	3	2
232	в другом	5	2
233	что они	4	2
234	что эта	4	2
235	которое мы	3	2
236	в совершенно	2	2
