N	2gram	Potebnia_M_3	Narrotol
1	не только	21	26
2	а не	15	17
3	но и	19	15
4	тогда как	2	15
5	в том	32	14
6	при этом	3	14
7	и не	15	14
8	том что	18	13
9	и в	30	13
10	в этом	10	13
11	только в	21	11
12	может быть	28	10
13	к тому	7	9
14	так и	11	9
15	а в	12	9
16	то есть	34	9
17	то что	18	8
18	в себе	16	8
19	не может	6	8
20	не в	15	8
21	в своем	5	6
22	прежде всего	3	6
23	можно сказать	3	6
24	вслед за	3	6
25	того что	18	6
26	в его	4	6
27	со стороны	3	6
28	все же	2	6
29	у него	2	6
30	как бы	3	6
31	место в	3	5
32	точки зрения	2	5
33	не столько	2	5
34	тем не	3	5
35	что он	6	5
36	одной стороны	3	5
37	он не	4	5
38	в котором	4	5
39	и тем	5	5
40	в нем	9	5
41	отношению к	5	5
42	на него	3	5
43	как в	10	5
44	в форме	2	5
45	по отношению	5	5
46	таким образом	14	5
47	с одной	7	5
48	тем самым	7	5
49	с другой	7	5
50	в то	10	5
51	далеко не	4	5
52	о том	2	5
53	ответ на	3	5
54	перед нами	2	4
55	что это	4	4
56	не менее	5	4
57	если бы	12	4
58	об этом	2	4
59	же в	2	4
60	как и	10	4
61	все что	4	4
62	что в	17	4
63	для него	9	4
64	не к	4	4
65	жизни и	2	4
66	в своей	2	4
67	в ее	2	4
68	то же	23	4
69	в какой	2	4
70	уже не	6	4
71	в силу	3	4
72	в этой	2	4
73	и все	3	4
74	с ним	6	4
75	а как	2	3
76	тому что	3	3
77	представить себе	3	3
78	большей части	2	3
79	а к	3	3
80	в слове	32	3
81	что я	5	3
82	что они	2	3
83	но не	7	3
84	же время	5	3
85	к ней	5	3
86	для себя	3	3
87	один из	4	3
88	в целом	3	3
89	то и	6	3
90	самом деле	2	3
91	того чтобы	3	3
92	и даже	2	3
93	и по	4	3
94	и его	4	3
95	в таком	3	3
96	с этой	2	3
97	этом отношении	2	3
98	не следует	5	3
99	никак не	3	3
100	сказать что	5	3
101	между тем	9	3
102	так сказать	2	3
103	зависит от	6	2
104	в душе	10	2
105	только не	2	2
106	одно из	5	2
107	столь же	4	2
108	из этих	9	2
109	точно так	12	2
110	с нею	2	2
111	вовсе не	7	2
112	в свою	3	2
113	на то	2	2
114	именно то	2	2
115	к своему	2	2
116	для нас	20	2
117	только по	5	2
118	и т	5	2
119	в начале	3	2
120	тем более	4	2
121	по своему	2	2
122	как о	2	2
123	что с	2	2
124	еще не	5	2
125	было бы	9	2
126	по поводу	4	2
127	мысль о	5	2
128	ему в	2	2
129	со своей	2	2
130	в самом	8	2
131	несмотря на	2	2
132	что она	3	2
133	о любви	2	2
134	у меня	2	2
135	на стороне	2	2
136	оно не	4	2
137	не все	4	2
138	с таким	2	2
139	что и	13	2
140	его жизни	2	2
141	не будет	3	2
142	от всего	3	2
143	только на	3	2
144	собственно говоря	2	2
145	в других	2	2
146	а с	2	2
147	если не	4	2
148	именно в	3	2
149	те же	6	2
150	быть может	3	2
151	и что	10	2
152	только что	8	2
153	не имеет	6	2
154	так же	3	2
155	как на	5	2
156	той же	2	2
157	мы не	9	2
158	в чем	3	2
159	тому как	5	2
160	но это	6	2
161	в ней	8	2
162	в виде	2	2
163	которое не	2	2
164	подобно тому	2	2
165	т п	2	2
166	говорить о	3	2
167	во время	2	2
168	бы в	2	2
169	в каждой	4	2
170	потому что	46	2
171	которая не	2	2
172	в области	2	2
173	в сознании	15	2
174	том как	3	2
