N	2gram	Nazirov_Tv_2	OGranits
1	и в	20	13
2	и его	9	12
3	прежде всего	8	9
4	не может	7	8
5	и не	9	8
6	может быть	8	8
7	в его	10	7
8	таким образом	10	6
9	не только	13	6
10	то что	3	6
11	только в	2	6
12	как бы	11	6
13	все же	5	5
14	но ведь	2	5
15	и наконец	2	5
16	в процессе	2	5
17	то же	7	4
18	не является	3	4
19	в своей	6	4
20	все это	6	4
21	мы не	4	4
22	но в	4	4
23	отношению к	3	3
24	что в	7	3
25	никогда не	11	3
26	но и	8	3
27	так и	6	3
28	в их	3	3
29	по отношению	3	3
30	в одном	2	3
31	точку зрения	2	3
32	превращается в	3	3
33	самом деле	2	3
34	в ее	2	3
35	как и	6	3
36	не в	4	3
37	в которой	2	3
38	не столько	2	3
39	в себе	3	3
40	в искусстве	2	3
41	говорить о	2	3
42	так как	3	3
43	не менее	2	2
44	и др	3	2
45	уже в	2	2
46	с этой	3	2
47	в нем	3	2
48	и отчасти	3	2
49	в целом	6	2
50	своего рода	3	2
51	а не	6	2
52	в этот	2	2
53	другой стороны	2	2
54	с другой	2	2
55	а в	4	2
56	все эти	4	2
57	вовсе не	2	2
58	к анализу	2	2
59	роль в	2	2
60	как в	4	2
61	если бы	4	2
62	в чем	4	2
63	в том	8	2
64	в которую	2	2
65	так же	5	2
66	том что	4	2
67	мы видим	4	2
68	с ними	2	2
69	в своих	3	2
70	что они	4	2
71	в этом	8	2
72	тем что	3	2
73	между тем	3	2
74	могут быть	2	2
75	при этом	8	2
76	и ее	2	2
77	соответствии с	4	2
78	для него	3	2
79	более того	2	2
80	нет ничего	3	2
81	в самом	3	2
82	героя и	2	2
