N	2gram	Medvedev_F_3	Problema
1	то что	8	38
2	и не	30	37
3	вовсе не	28	37
4	и в	27	35
5	не есть	4	33
6	сказать что	3	24
7	не только	9	24
8	том что	4	19
9	о том	4	18
10	может быть	25	18
11	у нас	3	18
12	в этом	18	17
13	но и	10	16
14	знака и	2	15
15	в языке	2	15
16	только в	8	14
17	не менее	7	13
18	и что	3	13
19	потому что	7	13
20	во всяком	6	13
21	не может	24	13
22	тем не	2	12
23	в том	7	12
24	того что	3	12
25	хотя бы	6	12
26	что в	8	11
27	прежде всего	4	11
28	и даже	2	11
29	никак не	3	11
30	в таком	2	11
31	всяком случае	6	10
32	и с	3	10
33	говорить о	2	10
34	еще не	6	10
35	да и	4	10
36	а не	17	10
37	в данном	6	10
38	ничего не	2	10
39	если мы	7	9
40	для нас	3	9
41	в этой	2	9
42	что же	5	9
43	только на	4	9
44	уже не	3	8
45	было бы	6	8
46	в виду	3	8
47	ясно что	3	8
48	по себе	4	8
49	как раз	8	8
50	все же	6	8
51	в конце	3	7
52	совсем не	5	7
53	смысле слова	2	7
54	не является	5	7
55	все эти	6	7
56	в его	7	7
57	конце концов	2	7
58	так и	21	7
59	бы и	3	7
60	так как	9	7
61	мы не	4	7
62	с другой	6	6
63	можно сказать	3	6
64	ни в	8	6
65	но это	2	6
66	мы и	3	6
67	не о	3	6
68	был бы	2	6
69	и т	11	6
70	т д	6	6
71	в то	7	6
72	же самое	3	6
73	и для	6	6
74	мы можем	4	6
75	но в	6	6
76	в области	2	6
77	или иной	2	5
78	в самом	11	5
79	отнюдь не	8	5
80	данном случае	4	5
81	в связи	4	5
82	содержания и	4	5
83	так же	9	5
84	и на	3	5
85	и более	3	5
86	между собой	4	5
87	и все	8	5
88	раз и	3	5
89	этом смысле	2	5
90	как и	14	5
91	связи с	5	5
92	но уже	2	5
93	то же	15	5
94	как мы	8	5
95	другой стороны	5	5
96	в себе	3	5
97	и это	2	5
98	без всякой	2	5
99	не могут	10	4
100	в этих	3	4
101	в своем	2	4
102	в отношении	2	4
103	как таковой	3	4
104	и как	4	4
105	не можем	2	4
106	это значит	2	4
107	в общем	2	4
108	и следовательно	3	4
109	как бы	8	4
110	и тем	3	4
111	что она	2	4
112	все это	7	4
113	и только	2	4
114	таким образом	18	4
115	ведь если	2	4
116	вообще не	2	4
117	в результате	5	4
118	их в	3	4
119	но если	2	4
120	тем что	5	4
121	всех этих	2	4
122	если бы	12	4
123	что он	6	4
124	стороны и	2	4
125	но не	5	4
126	и самый	2	4
127	на самом	14	4
128	самом деле	16	4
129	в каком	2	4
130	слова и	4	4
131	уже в	4	3
132	тому что	3	3
133	говорить об	2	3
134	и от	11	3
135	из этих	2	3
136	язык как	2	3
137	к тому	4	3
138	но эта	2	3
139	что они	5	3
140	мы еще	2	3
141	мы уже	3	3
142	и является	4	3
143	только один	2	3
144	в целом	4	3
145	только то	3	3
146	и их	5	3
147	для этого	2	3
148	то ни	4	3
149	при этом	8	3
150	лишь в	9	3
151	в своих	6	3
152	в основе	3	3
153	в истории	5	3
154	мы должны	2	3
155	но ведь	4	3
156	его в	7	3
157	бы в	6	3
158	с тем	7	3
159	только не	2	3
160	для них	7	3
161	перестает быть	2	3
162	тогда когда	4	3
163	людей между	2	3
164	это и	2	3
165	одна из	2	3
166	она не	4	3
167	не являются	2	3
168	нет и	3	3
169	если же	5	3
170	оно не	3	3
171	и речи	2	3
172	слова как	2	3
173	бы не	2	3
174	можно говорить	4	3
175	или точнее	2	3
176	для того	4	3
177	и притом	2	3
178	то или	2	3
179	в слове	4	3
180	тому как	5	3
181	быть только	2	3
182	предмета и	2	3
183	обойтись без	2	3
184	это только	2	3
185	как о	2	3
186	он является	2	2
187	смысла и	4	2
188	эти элементы	2	2
189	или иное	2	2
190	она должна	2	2
191	одним и	2	2
192	войти в	5	2
193	в той	3	2
194	его от	2	2
195	не в	12	2
196	является не	2	2
197	независимо от	5	2
198	ведь мы	2	2
199	в действительности	9	2
200	совпадает с	2	2
201	в него	3	2
202	в зависимости	5	2
203	и др	2	2
204	нам кажется	2	2
205	бы то	4	2
206	сводится к	5	2
207	ни с	2	2
208	допустим что	2	2
209	отличается от	2	2
210	можно только	2	2
211	даже в	2	2
212	эта связь	2	2
213	может иметь	2	2
214	в ней	5	2
215	же и	4	2
216	точки зрения	16	2
217	конструктивных элементов	2	2
218	слово в	2	2
219	и действительно	2	2
220	сознания и	2	2
221	оказалось бы	2	2
222	в них	3	2
223	сами по	2	2
224	и всякое	2	2
225	в такой	2	2
226	но при	2	2
227	в условиях	3	2
228	учение о	2	2
229	языка как	2	2
230	зависимости от	5	2
231	возможно только	2	2
232	что каждый	2	2
233	в корне	4	2
234	конечно не	4	2
235	является для	3	2
236	мы ни	2	2
237	не значит	2	2
238	о нем	3	2
239	еще в	3	2
240	каждый элемент	4	2
241	что и	2	2
242	во всех	3	2
243	вместе с	6	2
244	между которыми	5	2
245	совершенно не	7	2
246	входит в	8	2
247	одной и	2	2
248	чтобы не	2	2
249	того чтобы	5	2
250	той же	3	2
251	роль в	4	2
252	является в	2	2
253	правда в	2	2
254	подобно тому	4	2
255	и ее	6	2
256	от его	3	2
257	из этого	4	2
258	здесь не	2	2
