N	3gram	Vygotskiy__2	Problema
1	о том что	4	14
2	тем не менее	4	12
3	во всяком случае	2	10
4	в конце концов	3	7
5	и то что	2	7
6	и т д	2	6
7	в данном случае	4	5
8	то же самое	6	5
9	того или иного	2	5
10	с другой стороны	2	5
11	на то что	6	4
12	это то что	2	4
13	только в том	4	4
14	до сих пор	5	4
15	в то же	2	4
16	в том что	17	4
17	ни в каком	2	4
18	точно так же	3	3
19	не может быть	8	3
20	в этой области	2	3
21	это значит что	2	3
22	для того чтобы	13	2
23	том что в	2	2
24	в самом деле	11	2
25	бы то ни	2	2
26	как только мы	2	2
27	можно было бы	4	2
28	сами по себе	3	2
29	то что она	3	2
30	само по себе	3	2
31	подобно тому как	2	2
32	и той же	4	2
33	в том случае	4	2
34	на самом деле	5	2
35	одной и той	4	2
36	заключается в том	10	2
