N	2gram	Voloshinov_1	Psycholo
1	то что	3	32
2	и в	16	31
3	в том	3	30
4	что в	3	23
5	может быть	17	22
6	таким образом	9	20
7	при этом	6	19
8	так как	4	18
9	не может	8	17
10	как и	2	16
11	том что	3	16
12	и не	4	16
13	точки зрения	8	15
14	только в	4	14
15	не только	7	13
16	что и	2	13
17	так же	2	12
18	если мы	2	12
19	мы не	2	12
20	в этом	9	12
21	в самом	2	11
22	могут быть	3	11
23	в области	3	11
24	ни в	5	9
25	самом деле	6	9
26	никогда не	2	8
27	вместе с	3	8
28	все это	4	8
29	во всяком	3	8
30	что мы	2	8
31	что он	2	7
32	есть в	2	7
33	и его	8	7
34	сказать что	7	7
35	о том	2	7
36	что это	2	6
37	этой теории	2	6
38	художественного творчества	4	6
39	было бы	2	6
40	из этих	2	6
41	всяком случае	3	6
42	отнюдь не	4	6
43	а в	3	6
44	и даже	4	6
45	в его	4	6
46	и есть	3	5
47	и все	4	5
48	мы видим	2	5
49	для нас	2	5
50	совершенно не	8	5
51	как бы	5	5
52	и для	2	5
53	то же	2	5
54	прежде всего	9	4
55	и так	2	4
56	же как	2	4
57	у него	2	4
58	со всеми	2	4
59	и о	2	4
60	один из	2	4
61	в этих	3	4
62	к этому	2	4
63	те же	3	4
64	для всех	4	4
65	с этой	2	4
66	мы можем	9	4
67	как это	3	4
68	совсем не	2	3
69	не могут	2	3
70	в частности	2	3
71	конечном счете	2	3
72	а потому	4	3
73	и к	6	3
74	что на	2	3
75	мы знаем	3	3
76	но это	2	3
77	не будет	2	3
78	все что	4	3
79	не можем	2	3
80	до сих	3	3
81	в этой	4	3
82	он не	2	3
83	в конечном	3	3
84	но мы	4	3
85	сих пор	3	3
86	не есть	2	3
87	жизни и	3	3
88	в своей	2	3
89	так и	4	3
90	только на	3	3
91	что оно	2	3
92	и других	2	3
93	и вот	3	3
94	и по	2	3
95	и только	9	3
96	с этим	2	3
97	нуждается в	5	3
98	все то	2	3
99	и это	6	3
100	но в	4	3
101	в основе	3	2
102	не менее	2	2
103	не существует	2	2
104	этом смысле	3	2
105	и как	3	2
106	в них	2	2
107	в жизни	2	2
108	и теперь	3	2
109	с ним	2	2
110	на два	2	2
111	и потому	3	2
112	себя и	2	2
113	того же	2	2
114	всех других	2	2
115	и может	4	2
116	что такое	5	2
117	и их	4	2
118	в область	2	2
119	к другим	2	2
120	чувства и	2	2
121	в него	5	2
122	в нем	4	2
123	отношение к	5	2
124	но и	4	2
125	мысли и	4	2
126	как мы	4	2
127	и таким	2	2
128	таким путем	2	2
129	на самом	4	2
130	на основе	2	2
131	в науке	2	2
132	с точки	6	2
133	в чем	5	2
134	к ним	2	2
135	их в	3	2
136	и с	8	2
137	в каком	2	2
138	но как	2	2
139	ту же	2	2
140	и художественного	3	2
141	его в	4	2
142	тех же	3	2
143	только то	2	2
144	в одном	3	2
