N	3gram	Vinokur_St_1	Psycholo
1	в самом деле	5	18
2	на то что	4	12
3	в том что	17	11
4	и в самом	3	10
5	с точки зрения	8	9
6	для того чтобы	10	8
7	заключается в том	3	6
8	с одной стороны	2	5
9	и т п	9	5
10	с другой стороны	6	5
11	до сих пор	7	5
12	и т д	21	4
13	и в этом	3	3
14	о том что	11	3
15	и то что	2	3
16	речь идет о	2	3
17	в данном случае	6	2
18	в том смысле	2	2
19	в то время	2	2
20	не в том	2	2
21	вовсе не в	2	2
22	только в том	3	2
23	что в этой	2	2
24	то что в	2	2
25	во всяком случае	6	2
26	на самом деле	6	2
