N	3gram	Voloshinov_1	Psycholo
1	для того чтобы	7	19
2	мы увидим что	2	6
3	к тому что	2	6
4	в зависимости от	5	6
5	о том что	2	6
6	заключает в себе	4	4
7	в этом отношении	2	3
8	мы видим что	2	3
9	и то же	3	3
10	одно и то	3	3
11	с самого начала	4	3
12	вместе с тем	2	3
13	то же самое	4	3
14	можно сказать что	2	2
15	в конце концов	3	2
16	как бы в	3	2
17	той или иной	3	2
18	не что иное	2	2
19	то что мы	4	2
20	мы никогда не	5	2
21	с точки зрения	5	2
22	и той же	2	2
23	не может быть	2	2
24	что иное как	2	2
25	не только в	3	2
26	на самом деле	3	2
27	все то что	2	2
28	зависимости от того	2	2
29	одной и той	2	2
30	в этом случае	3	2
