N	3gram	Potebnia_M_1	StatiiOP
1	и т д	4	21
2	в том что	13	17
3	для того чтобы	2	10
4	и т п	2	9
5	с точки зрения	3	8
6	с другой стороны	5	6
7	не может быть	9	5
8	то же время	3	4
9	в то же	3	4
10	не только в	3	4
11	дело в том	2	4
12	так и в	3	4
13	что и в	3	4
14	и в этом	6	3
15	только в том	6	3
16	в том как	3	3
17	в применении к	2	3
18	по отношению к	13	3
19	что не может	3	2
20	так как в	2	2
21	в том смысле	4	2
22	с одной стороны	3	2
23	как и в	2	2
24	тем не менее	6	2
25	и в том	3	2
26	но с другой	2	2
27	по крайней мере	2	2
28	не в том	4	2
29	но и в	4	2
