N	3gram	Vinokur_Vv_1	VerxiiNi
1	вместе с тем	3	8
2	с одной стороны	4	7
3	во всяком случае	3	6
4	с точки зрения	2	6
5	по крайней мере	4	5
6	до сих пор	5	5
7	для того чтобы	21	5
8	о том что	12	4
9	но все же	3	4
10	в конце концов	2	3
11	а так как	2	3
12	точно так же	2	3
13	в связи с	2	3
14	тем не менее	8	3
15	в том что	12	3
16	с течением времени	6	3
17	так или иначе	4	3
18	можно сказать что	3	2
19	влечет за собой	2	2
20	по сравнению с	3	2
21	в том виде	3	2
22	в этом отношении	3	2
23	но вместе с	2	2
24	и в этом	3	2
25	может быть и	2	2
26	в то же	5	2
27	то же самое	2	2
28	то же время	5	2
