1	для того чтобы	1	41
2	в том что	28	30
3	на то что	1	25
4	с одной стороны	14	15
5	о том что	9	15
6	до сих пор	1	9
7	заключается в том	1	9
8	на самом деле	1	8
9	в самом деле	1	8
10	то же самое	5	8
11	с другой стороны	5	8
12	заключает в себе	2	6
13	все то что	2	6
14	в том чтобы	2	6
15	с самого начала	2	5
16	с точки зрения	6	5
17	а с другой	4	5
18	не только в	5	5
19	то что в	1	4
20	вместе с тем	1	4
21	и то что	2	4
22	том что он	1	4
23	и то же	3	4
24	можно было бы	1	4
25	и как бы	5	4
26	по сравнению с	1	4
27	одной и той	2	4
28	не может быть	12	4
29	потому что в	2	4
30	и той же	2	4
31	сам по себе	1	4
32	и тем же	2	3
33	и таким образом	1	3
34	в нем нет	1	3
35	за то что	1	3
36	мы все же	1	3
37	из того что	1	3
38	в этом отношении	8	3
39	можно сказать что	4	3
40	в данном случае	12	3
41	в этом смысле	1	3
42	одно и то	3	3
43	иметь в виду	1	3
44	в отличие от	26	3
45	не в состоянии	1	3
46	в том и	2	3
47	как бы в	1	3
48	что он не	1	3
49	именно в том	1	3
50	одним и тем	2	3
51	той или иной	10	2
52	в этом случае	4	2
53	и именно в	1	2
54	и в частности	3	2
55	по отношению к	17	2
56	одна из них	1	2
57	и в этом	1	2
58	и может быть	5	2
59	и в том	2	2
60	что иное как	1	2
61	сами по себе	2	2
62	жизни но и	1	2
63	том что на	1	2
64	имеет дело с	1	2
65	одного и того	4	2
66	равно как и	1	2
67	в качестве своего	1	2
68	ни одна из	2	2
69	не что иное	1	2
70	обратить внимание на	2	2
71	и того же	4	2
72	одной стороны он	1	2
73	а как раз	1	2
74	и это не	1	2
75	по себе не	2	2
76	оно может быть	1	2
77	в конечном счете	6	2
78	в трагедии и	1	2
79	в основе трагедии	1	2
80	друг от друга	1	2
81	именно в этом	1	2
82	том что в	3	2
83	во всех этих	1	2
84	в целом ряде	1	2
85	дело в том	5	2
86	что ни один	1	2
87	состоит в том	8	2
88	в прозе и	1	1
89	и не дает	1	1
90	того или иного	3	1
91	не могло быть	1	1
92	и сейчас в	1	1
93	потому что каждый	1	1
94	речь идет о	2	1
95	по крайней мере	6	1
96	еще не было	1	1
97	но еще не	1	1
98	перед глазами зрителя	1	1
99	с той же	1	1
100	о смерти ее	1	1
101	к самому герою	1	1
102	для правильного понимания	1	1
103	совпадают с теми	1	1
104	и в басне	2	1
105	но не в	1	1
106	и для того	1	1
107	и все же	7	1
108	в полной мере	4	1
109	все же не	2	1
110	нельзя как нельзя	1	1
111	от басни и	1	1
112	на всем протяжении	1	1
113	и тем более	1	1
114	героя в частности	1	1
115	могут быть признаны	1	1
116	к себе и	1	1
117	в одной и	1	1
118	на этом фоне	1	1
119	благодаря тому что	1	1
120	и прежде всего	4	1
121	в прямой зависимости	1	1
122	более или менее	3	1
123	том что трагедия	1	1
124	в евгении онегине	1	1
125	в пятой строфе	1	1
126	если это не	1	1
127	жизни и смерти	1	1
128	в городе а	1	1
129	том что с	1	1
130	в русской литературе	5	1
131	не согласиться с	1	1
132	следует отнести к	1	1
133	в основе своей	6	1
134	в чем не	1	1
135	ни о чем	2	1
136	в этом заключается	1	1
137	именно в этой	1	1
138	том или ином	1	1
139	с первых же	1	1
140	в частности на	1	1
141	ни в чем	1	1
142	не могут быть	1	1
143	одной стороны это	1	1
144	мысли о том	1	1
145	в это время	1	1
146	и в другом	1	1
147	в истории литературы	1	1
148	прежде всего на	1	1
149	не может стать	1	1
150	во всяком случае	3	1
151	в ответ на	1	1
152	что в них	2	1
153	том что всякое	1	1
154	и приводит к	1	1
155	вслед за этим	1	1
156	в частности в	4	1
157	говорит об этом	1	1
158	что не имея	2	1
159	трагедии как и	1	1
160	только потому что	1	1
161	каждый из них	2	1
162	в другом месте	1	1
163	что на этом	1	1
164	здесь имеет место	1	1
165	однако несмотря на	1	1
166	комедии и трагедии	1	1
167	мысль о том	2	1
168	преимущественно на одном	1	1
169	несет в себе	5	1
170	обратим внимание на	2	1
171	никак не могут	1	1
172	между тем как	1	1
173	как будто бы	3	1
174	а не только	2	1
175	а стало быть	1	1
176	когда указывает на	1	1
177	перед ним он	1	1
178	о том как	1	1
179	не только о	1	1
180	быть отнесены к	1	1
181	в виду тот	1	1
182	быть выведена из	1	1
183	каждое действующее лицо	1	1
184	но столь же	1	1
185	дело с двумя	1	1
186	к тому же	6	1
187	действие и что	1	1
188	во внешнем мире	3	1
189	по этой причине	3	1
190	и потому как	1	1
191	и героиня и	1	1
192	это то что	1	1
193	из того же	2	1
194	имеем дело с	1	1
195	о чем не	2	1
196	подобно тому как	5	1
197	произведение искусства не	1	1
198	может быть в	1	1
199	на язык прозы	1	1
200	то есть оно	1	1
201	все дело в	1	1
202	показать на примере	1	1
203	но в этом	1	1
204	в себя и	1	1
205	на том что	2	1
206	в самых общих	1	1
207	дело только с	1	1
208	это и есть	1	1
209	для того и	1	1
210	когда она еще	1	1
211	и т.п и	1	1
212	одной стороны и	5	1
213	не в том	4	1
214	и при этом	1	1
215	а нередко и	1	1
216	до известной степени	4	1
217	он как бы	1	1
218	говорить не только	1	1
219	это и не	1	1
220	даже в пределах	1	1
221	то в трагедии	1	1
222	но и здесь	1	1
223	уже в конце	1	1
224	но она не	1	1
225	как и вообще	1	1
226	в то же	8	1
227	то же время	10	1
228	а не в	3	1
229	мы ничего не	1	1
230	только в одном	1	1
231	на сцене и	1	1
232	и все чего	1	1
233	а в том	2	1
234	мы имеем дело	3	1
235	в эстетический объект	1	1
236	то есть к	2	1
237	только то что	2	1
238	и только в	1	1
239	в свою очередь	5	1
240	ритма и смысла	1	1
241	то ни было	2	1
242	едва ли не	2	1
243	таким образом возникает	1	1
244	взаимодействия а не	1	1
245	противоречие с собственной	1	1
246	между романом и	1	1
247	в своей сущности	1	1
248	и в то	2	1
249	после того как	1	1
250	в том именно	1	1
251	бы то ни	2	1
252	тем что он	2	1
253	пока еще в	1	1
254	это приводит к	1	1
255	по ходу пьесы	1	1
256	то или иное	1	1
257	у него в	1	1
258	в том или	1	1
259	разграничение этих двух	1	1
260	в себе и	1	1
261	в применении к	1	1
262	в том случае	3	1
263	чем если бы	1	1
264	а не как	2	1
265	в одной из	3	1
266	по мнению автора	1	1
267	прямой зависимости от	1	1
268	уверенность в том	1	1
269	но далеко не	1	1
270	том что лирика	1	1
271	что у него	1	1
272	то что могло	2	1
273	состоит именно в	1	1
274	что с помощью	1	1
275	будто бы противоречит	1	1
276	может быть представлен	1	1
277	обстоит дело в	1	1
278	том именно и	1	1
279	и не только	2	1
280	этом отношении на	1	1
281	она еще не	1	1
