1	то что	6	69
2	и в	37	55
3	в том	11	50
4	потому что	3	48
5	том что	6	46
6	для того	6	45
7	и что	2	45
8	что в	21	43
9	того чтобы	6	43
10	таким образом	2	35
11	может быть	6	34
12	как бы	6	33
13	в этом	12	30
14	и мы	3	28
15	на то	6	27
16	о том	3	24
17	если мы	1	24
18	не только	18	24
19	если бы	2	21
20	так как	7	20
21	так же	9	19
22	и не	14	19
23	в самом	4	18
24	вместе с	2	16
25	то же	15	16
26	как это	4	16
27	то есть	6	16
28	а не	2	16
29	но и	14	16
30	никогда не	3	15
31	и все	2	15
32	с одной	8	15
33	не может	9	15
34	в этой	2	15
35	что это	2	15
36	точки зрения	23	15
37	было бы	8	15
38	одной стороны	8	15
39	как на	3	15
40	сказать что	4	14
41	по себе	4	13
42	увидим что	1	13
43	в нем	1	13
44	мы видим	2	13
45	в себе	9	13
46	и для	3	13
47	и если	2	13
48	и это	1	13
49	заключается в	2	13
50	и на	6	12
51	что все	2	12
52	только в	9	12
53	что мы	1	12
54	того что	7	12
55	с другой	7	12
56	и то	2	12
57	и когда	1	12
58	не в	5	12
59	что оно	1	12
60	для этого	1	12
61	и т	1	12
62	в своем	14	12
63	к тому	8	12
64	что и	3	11
65	при этом	1	11
66	казалось бы	1	11
67	мы увидим	1	11
68	все же	1	11
69	на этом	1	11
70	тому что	1	11
71	с и	10	11
72	когда он	3	10
73	и его	1	10
74	мы должны	2	10
75	когда мы	1	10
76	с тем	3	10
77	он не	2	10
78	и как	2	10
79	но не	5	9
80	о котором	1	9
81	именно в	4	9
82	как и	7	9
83	в основе	1	9
84	что если	2	9
85	совершенно прав	2	9
86	обратиться к	1	9
87	для нас	4	9
88	в своих	2	9
89	один из	1	9
90	в двух	1	9
91	мы все	1	8
92	и потому	5	8
93	в его	2	8
94	другой стороны	2	8
95	тем что	3	8
96	что с	1	8
97	был бы	1	8
98	могут быть	2	8
99	мы не	4	8
100	вовсе не	6	8
101	двух противоположных	1	8
102	не можем	2	8
103	кажется нам	1	8
104	в своей	8	8
105	что эта	1	8
106	мы можем	3	8
107	жизни и	2	8
108	есть не	2	7
109	из них	3	7
110	сводится к	1	7
111	в них	3	7
112	на примере	1	7
113	но в	14	7
114	заключает в	3	7
115	а в	2	7
116	как будто	2	7
117	уже в	1	7
118	бы в	2	7
119	в каком	4	7
120	на этот	2	7
121	у нас	1	7
122	и тем	3	6
123	так и	10	6
124	или в	2	6
125	с другом	3	6
126	во всех	6	6
127	т д	1	6
128	рядом с	1	6
129	одна из	1	6
130	с его	1	6
131	друг с	3	6
132	должно быть	1	6
133	совершенно очевидно	2	6
134	и другое	1	6
135	там где	3	6
136	в то	16	6
137	вопрос о	4	6
138	в результате	3	6
139	прежде всего	9	6
140	этот вопрос	2	6
141	что для	1	6
142	что на	2	6
143	та же	1	6
144	можно было	3	6
145	как мы	5	6
146	от того	1	6
147	нам кажется	7	6
148	в частности	5	6
149	могли бы	1	6
150	в совершенно	1	6
151	той же	1	6
152	то это	1	6
153	исходит из	1	5
154	но все	1	5
155	это в	1	5
156	во внимание	1	5
157	в котором	2	5
158	и к	3	5
159	стороны и	6	5
160	находит себе	1	5
161	с точки	17	5
162	того же	3	5
163	время как	1	5
164	об этом	1	5
165	хотя бы	15	5
166	к другу	1	5
167	несмотря на	4	5
168	с такой	1	5
169	и наконец	2	5
170	и та	2	5
171	в ней	4	5
172	которых мы	1	5
173	целый ряд	2	5
174	мысль о	1	5
175	и только	3	5
176	что не	1	5
177	говорит о	3	5
178	с этой	6	5
179	что при	1	5
180	в какой	2	5
181	и сейчас	2	5
182	друг к	1	5
183	для него	1	5
184	и о	1	5
185	дело с	1	5
186	при помощи	2	5
187	тот же	1	5
188	в одном	2	5
189	все эти	1	5
190	по этому	1	5
191	с которым	1	5
192	и даже	6	4
193	в данном	3	4
194	и поэтому	2	4
195	обстоит дело	3	4
196	именно потому	2	4
197	эти две	1	4
198	с ним	1	4
199	из того	2	4
