N	2gram	Propp_Russ	FransuaR
1	и в	59	367
2	то есть	3	209
3	в этом	18	112
4	и не	6	101
5	таким образом	10	100
6	и его	2	99
7	в его	3	98
8	прежде всего	2	92
9	не только	28	87
10	мы уже	2	85
11	но и	20	84
12	как бы	18	82
13	все эти	5	79
14	как и	19	76
15	в нем	3	75
16	но в	5	75
17	и на	14	72
18	и др	4	72
19	в том	33	71
20	как мы	11	71
21	то же	6	66
22	и все	4	66
23	в них	10	65
24	в этой	4	65
25	так и	8	65
26	и с	12	64
27	в то	3	63
28	во время	23	63
29	во всех	6	62
30	все это	12	62
31	что в	35	52
32	в своем	3	51
33	только в	4	48
34	так как	25	46
35	и до	3	46
36	том что	33	45
37	в году	5	44
38	то что	10	41
39	здесь в	1	41
40	у него	2	40
41	жизни и	1	40
42	точки зрения	3	37
43	в ней	3	37
44	с его	1	36
45	о том	14	35
46	он был	2	35
47	может быть	14	35
48	мы видим	2	35
49	сказать что	1	34
50	и даже	1	34
51	в себе	1	34
52	до нас	1	34
53	рядом с	1	32
54	мы видели	3	32
55	в конце	1	32
56	он не	1	32
57	для него	1	32
58	до конца	5	31
59	в литературе	1	31
60	связаны с	6	31
61	в своей	1	31
62	так же	7	30
63	но он	3	30
64	один из	10	30
65	потому что	15	30
66	и потому	3	30
67	никогда не	1	30
68	в духе	1	29
69	в одном	4	29
70	еще не	7	29
71	связи с	6	29
72	в этих	3	29
73	что он	2	29
74	не может	6	29
75	в особенности	3	29
76	при этом	11	29
77	его в	9	29
78	не в	2	29
79	и к	3	28
80	из них	12	28
81	всех этих	2	28
82	также и	1	28
83	в той	1	28
84	в основе	1	28
85	здесь и	1	28
86	и другие	24	27
87	все же	7	27
88	на части	9	27
89	по своему	2	27
90	и их	4	27
91	кроме того	3	26
92	на самом	3	25
93	в области	3	25
94	но это	5	25
95	он и	1	24
96	но не	7	24
97	например в	3	24
98	и у	5	24
99	и от	2	24
100	как в	10	24
101	того чтобы	6	24
102	в частности	2	24
103	в большинстве	2	24
104	отношение к	1	24
105	большинстве случаев	2	23
106	своего рода	3	23
107	и здесь	3	23
108	с ним	2	23
109	и для	3	23
110	в их	5	23
111	есть и	2	23
112	к нему	3	23
113	это не	14	23
114	еще и	1	23
115	не было	3	22
116	а в	16	22
117	границы между	1	22
118	тем что	7	22
119	что и	8	22
120	и других	9	22
121	там где	3	22
122	поэтому и	1	22
123	вместе с	16	22
124	и во	2	22
125	форм и	1	22
126	связь с	1	22
127	и о	4	22
128	в своих	3	21
129	именно в	3	21
130	уже в	2	21
131	и как	2	21
132	есть в	2	21
133	в качестве	5	21
134	одним из	2	21
135	что это	4	21
136	ни в	1	21
137	и наконец	2	21
138	в виду	3	20
139	в связи	4	20
140	и это	2	20
141	этом отношении	1	20
142	с точки	3	20
143	как раз	1	20
144	в образе	3	20
145	они были	2	20
146	а также	6	20
147	самом деле	1	20
148	во всем	2	19
149	их в	7	19
150	к этому	7	19
151	в эту	3	19
152	того же	1	19
153	было бы	3	19
154	в дальнейшем	2	19
155	с другой	1	19
156	хотя и	3	19
157	в форме	3	19
158	в ту	1	19
159	далеко не	5	19
160	это и	1	18
161	здесь не	1	18
162	одна из	12	18
163	но они	4	18
164	превращается в	1	18
165	весь мир	1	18
166	на этом	6	18
167	связанные с	5	18
168	перед нами	2	18
169	это в	1	18
170	и смерти	1	17
171	для того	6	17
172	можно было	3	17
173	кн iii	1	17
174	связанных с	2	17
175	такой же	3	17
176	но все	3	17
177	того что	6	17
178	а не	3	17
179	в другом	1	16
180	влияние на	3	16
181	с одной	1	16
182	между ними	1	16
183	между тем	9	16
184	тот же	2	16
185	в начале	1	16
186	в свете	5	16
187	ничего не	4	16
188	они не	1	16
189	дело в	1	16
190	а затем	5	15
191	в которой	3	15
192	на весь	3	15
193	не были	2	15
194	из этих	6	15
195	мы еще	1	15
196	и вообще	1	15
197	одно из	6	15
198	как на	2	15
199	в нашем	2	15
200	в первой	1	15
201	еще в	6	15
202	в истории	1	15
203	в котором	2	14
204	в чем	1	14
205	образом в	2	14
206	и по	10	14
207	игра в	1	14
208	мы не	11	14
209	на них	4	14
210	все что	2	14
211	в данном	7	14
212	и он	1	14
213	несмотря на	4	14
214	земли и	5	14
215	в более	2	14
216	по существу	7	14
217	и сам	1	13
218	с этим	4	13
219	во все	1	13
220	и еще	2	13
221	что все	2	13
222	его к	3	13
223	в основном	4	13
224	в праздник	3	13
225	на все	3	13
226	в одной	1	13
227	о чем	7	13
228	в жизни	2	13
229	на этой	3	13
230	одной стороны	1	13
231	здесь нет	1	13
232	не знает	1	13
233	отличие от	4	13
234	в других	24	13
235	и есть	1	13
236	они и	2	13
237	только на	4	13
238	не на	2	13
239	мир и	1	13
240	или в	7	13
241	так в	5	13
242	жизнь и	2	13
243	как он	2	13
244	этого праздника	5	12
245	не был	3	12
246	во всей	2	12
247	те же	1	12
248	главным образом	5	12
249	и ее	3	12
250	та же	4	12
251	в новой	1	12
252	начиная с	4	12
253	у нас	11	12
254	игры в	2	12
255	другом месте	1	12
256	место в	2	12
257	с полной	1	12
258	из всех	1	12
259	этот момент	1	12
260	только для	3	12
261	можно сказать	1	12
262	не могут	1	12
263	в приведенном	1	12
264	он в	1	12
265	все то	1	12
266	в народной	2	12
267	смерти и	3	12
268	но здесь	1	12
269	этих форм	1	12
270	право на	2	12
271	об этом	11	12
272	в пределах	2	12
273	из самых	2	11
274	на эту	1	11
275	так например	7	11
276	уже не	9	11
277	что они	8	11
278	и что	8	11
279	в общем	1	11
280	и самый	1	11
281	в ад	1	11
282	того как	6	11
283	в течение	7	11
284	наконец в	1	11
285	в отличие	4	11
286	из этого	1	11
287	в ряде	1	11
288	все время	1	11
289	и особенно	1	11
290	и так	2	11
291	с ними	6	11
292	и более	3	11
293	и нового	2	11
294	ни с	1	11
295	в заключение	2	11
296	целый ряд	1	10
297	по отношению	1	10
298	на земле	3	10
299	все остальные	1	10
300	что для	4	10
301	его как	2	10
302	но оно	1	10
303	в таких	3	10
304	данном случае	8	10
305	человека и	1	10
306	нас в	2	10
307	самом же	2	10
308	где они	2	10
309	там же	15	10
310	к тому	4	10
311	на этот	3	10
312	не просто	3	10
313	по преимуществу	1	10
314	к которому	1	10
315	ту же	2	10
316	были связаны	2	10
317	мы здесь	2	10
318	в доме	2	10
319	мы остановимся	1	10
320	сочетается с	1	10
321	же деле	2	10
322	во второй	1	10
323	в целом	2	10
324	в разных	3	9
325	связано с	3	9
326	некоторые из	2	9
327	характер в	1	9
328	для этой	3	9
329	этой же	2	9
330	как это	11	9
331	в тех	5	9
332	значение и	2	9
333	был в	1	9
334	весь этот	1	9
335	но на	1	9
336	в которых	8	9
337	о котором	1	9
338	это как	1	9
339	же в	5	9
340	со смехом	2	9
341	что на	5	9
342	вплоть до	4	9
343	говорит о	3	9
344	под названием	3	9
345	вся эта	2	9
346	к жизни	3	9
347	мы можем	2	9
348	как известно	2	9
349	не имеет	9	9
350	видим что	1	9
351	относится к	1	9
352	на землю	2	9
353	их с	1	9
354	том же	6	9
355	и то	2	9
356	для нас	12	9
357	эти формы	1	9
358	отношению к	1	9
359	что не	1	9
360	с этой	2	8
361	с рождением	1	8
362	более или	1	8
363	не менее	3	8
364	следовательно и	2	8
365	на первый	3	8
366	но эти	3	8
367	в этот	19	8
368	людей и	1	8
369	и те	3	8
370	или менее	1	8
371	одном из	1	8
372	от этого	2	8
373	под влиянием	1	8
374	в него	2	8
375	оно было	1	8
376	и при	2	8
377	с тем	14	8
378	то время	3	8
379	в совершенно	1	8
380	значение в	2	8
381	для нового	1	8
382	это был	1	8
383	сам он	1	8
384	был еще	1	8
385	но эта	2	8
386	человека с	1	8
387	для этого	6	8
388	от него	1	8
389	как они	2	8
390	всякого рода	3	8
391	мы увидим	8	8
392	всего этого	1	8
393	по поводу	1	8
394	видели что	1	8
395	после того	3	8
396	ко всему	2	8
397	тому же	1	8
398	так что	4	8
399	здесь мы	3	8
400	в это	4	8
401	превращаются в	1	8
402	как о	1	8
403	если бы	1	8
404	и без	1	8
405	смерти в	2	8
406	дело не	2	8
407	того времени	1	8
408	нуждается в	1	8
409	в эти	4	8
410	же и	1	7
411	не как	1	7
412	во всяком	1	7
413	себе и	1	7
414	к ним	4	7
415	и там	2	7
416	на него	1	7
417	от них	4	7
418	к этим	1	7
419	точка зрения	1	7
420	в церкви	2	7
421	народного творчества	2	7
422	что у	3	7
423	на том	1	7
424	в развитии	1	7
425	здесь на	1	7
426	и та	1	7
427	в одну	1	7
428	и смех	1	7
429	интерес к	2	7
430	подобно тому	3	7
431	нет и	1	7
432	только с	2	7
433	нас не	3	7
434	особое значение	1	7
435	в виде	10	7
436	своей книге	1	7
437	и проклятия	1	7
438	но она	3	7
439	освобождение от	1	7
440	и очень	1	7
441	по всему	2	7
442	в некоторых	11	7
443	что значит	1	7
444	в различных	3	7
445	представление о	5	7
446	что по	7	7
447	здесь он	1	7
448	эта связь	2	7
449	настоящее время	3	7
450	и всей	2	7
451	в состоянии	1	7
452	и этим	1	7
453	в целях	4	7
454	в таком	5	7
455	а как	1	7
456	и за	2	7
457	характер этого	2	7
458	никак не	1	7
459	из которых	2	7
460	к себе	1	7
461	в настоящее	3	7
462	точку зрения	1	7
463	а на	8	7
464	жизни это	1	7
465	не будем	5	7
466	здесь все	1	7
467	должен быть	2	7
468	тому как	3	7
469	в свою	3	7
470	думать что	3	7
471	на всю	1	7
472	в отрыве	1	7
473	по этому	4	7
474	мы наблюдаем	2	6
475	и был	1	6
476	не столько	3	6
477	жизнь в	1	6
478	в один	2	6
479	земля и	1	6
480	было в	1	6
481	не могли	1	6
482	себе в	1	6
483	свою очередь	2	6
484	видно что	8	6
485	руки и	3	6
486	находится в	3	6
487	что она	4	6
488	является и	1	6
489	судить о	2	6
490	и питье	1	6
491	и следовательно	2	6
492	в народном	4	6
493	всей их	1	6
494	возможно что	2	6
495	для них	5	6
496	его и	2	6
497	на что	2	6
498	тем же	1	6
499	у них	2	6
500	смерть и	1	6
501	как у	2	6
502	и пр	4	6
503	за этим	1	6
504	в руках	3	6
505	или даже	3	6
506	и эти	1	6
507	здесь еще	1	6
508	которые в	2	6
509	как будто	6	6
510	за счет	2	6
511	исторического развития	1	6
512	его на	1	6
513	а именно	2	6
514	и такие	1	6
515	представления о	2	6
516	говорить о	2	6
