1	в этих случаях	1	13
2	с другой стороны	6	10
3	в этом случае	1	8
4	в том что	8	8
5	точно так же	1	8
6	так же как	1	7
7	что иное как	1	6
8	не что иное	1	6
9	тем не менее	3	6
10	в связи с	3	5
11	в одном случае	1	5
12	мы имеем в	3	4
13	к тому же	1	4
14	не может быть	4	4
15	случаи когда герой	1	4
16	мы видим в	1	3
17	подобно тому как	3	3
18	о том что	1	3
19	в таких случаях	1	2
20	в то время	1	2
21	по отношению к	10	2
22	так что она	1	2
23	состоит в том	5	2
24	с одной стороны	3	2
25	есть не что	1	2
26	таким образом и	1	2
27	можно сказать что	3	2
28	это и есть	1	2
29	содержит в себе	1	2
30	а в другом	1	2
31	в чем состоит	1	2
32	как и в	1	2
33	именно эта сторона	1	1
34	друг другу и	1	1
35	в таком случае	2	1
36	к своему собственному	1	1
37	а не с	1	1
38	а после того	1	1
39	значении в каком	1	1
40	не только на	1	1
41	и прежде всего	2	1
42	и в том	1	1
43	то что они	1	1
44	случае мы имеем	1	1
45	на задний план	1	1
46	из того что	1	1
47	с точки зрения	3	1
48	и др в	1	1
49	это особого рода	1	1
50	в соответствии с	1	1
51	в себя и	1	1
52	тогда как в	1	1
53	но в таком	1	1
54	что он не	1	1
55	при всей своей	1	1
56	и в форме	2	1
57	друг от друга	1	1
58	он не будет	1	1
59	имеем дело с	1	1
60	в том отношении	1	1
61	но он не	2	1
62	в свою очередь	2	1
63	в зависимости от	1	1
64	в том числе	3	1
65	языка не может	1	1
66	иметь в виду	1	1
67	связи с этим	1	1
68	заключается в том	1	1
69	перед тем как	1	1
70	существенно отличается от	1	1
71	может быть и	2	1
72	к тому что	2	1
73	мы имеем дело	2	1
74	не в состоянии	1	1
75	только то что	1	1
76	то же самое	1	1
77	это происходит в	1	1
78	в виду не	3	1
79	в своей жизни	1	1
80	с этой точки	2	1
81	не говорит что	1	1
82	а в его	1	1
83	этой точки зрения	2	1
84	том отношении что	1	1
85	об этом так	1	1
86	имеются и в	1	1
87	из этих двух	1	1
88	как это происходит	1	1
89	что они хотят	1	1
90	так или иначе	4	1
91	дело не в	1	1
92	в последней главе	1	1
