N	3gram	Savitsky_E	Hudozhes
1	не сводится к	1	9
2	в том что	6	8
3	в то же	15	7
4	в отличие от	1	7
5	то же время	14	7
6	с другой стороны	2	6
7	более или менее	1	6
8	той или иной	4	5
9	для того чтобы	5	5
10	того или иного	4	4
11	не может быть	2	4
12	с точки зрения	16	3
13	в этом смысле	3	3
14	в том числе	1	3
15	можно сказать что	3	3
16	одного и того	1	3
17	и того же	1	3
18	в связи с	1	3
19	с одной стороны	8	3
20	в той или	3	2
21	в свою очередь	2	2
22	бы то ни	4	2
23	и прежде всего	3	2
24	по большей части	1	2
25	этой точки зрения	5	2
26	ту или иную	3	2
27	с этой точки	5	2
28	в противном случае	1	2
29	и некоторые иные	1	2
30	в отношении к	12	2
31	том числе и	1	2
32	в этом мире	1	2
33	тех или иных	1	2
34	и в то	8	2
35	то ни было	4	2
36	к тому что	1	2
37	в известном смысле	3	2
38	в значительной степени	1	2
39	может быть и	1	2
40	и не быть	1	1
41	принадлежат к числу	1	1
42	то есть в	1	1
43	в соответствии с	1	1
44	заключающее в себе	1	1
45	та или иная	1	1
46	в известной степени	3	1
47	заключает в себе	3	1
48	заключается в том	2	1
49	то или иное	1	1
50	они обращены к	1	1
51	одной стороны и	6	1
52	как это случается	1	1
53	бы и на	1	1
54	он мог бы	1	1
55	и тем более	1	1
56	также и по	1	1
57	связи с этим	1	1
58	друг от друга	2	1
59	существенное значение в	1	1
60	в то время	1	1
61	в одной из	1	1
62	в том случае	1	1
63	то что может	1	1
64	именно потому что	1	1
65	а также в	1	1
66	в другой своей	1	1
67	и в частности	2	1
68	прежде всего к	2	1
69	но в то	2	1
70	в лучшем случае	1	1
71	так же как	5	1
72	а тем более	2	1
73	и тем самым	1	1
74	речь идет о	1	1
75	их отношении к	3	1
76	не только отдельные	1	1
77	к тому же	1	1
78	но не в	1	1
79	в себе в	1	1
80	не могут быть	1	1
81	в частности в	2	1
82	как столь же	1	1
83	том случае если	1	1
84	в их отношении	3	1
85	из того что	2	1
86	не более чем	2	1
87	прежде всего в	2	1
88	в полной мере	1	1
