N	2gram	Voloshinov	Hudozhes
1	в качестве	1	31
2	в мире	1	24
3	и в	16	23
4	не только	7	20
5	в том	3	20
6	при этом	6	19
7	может быть	17	19
8	в частности	2	18
9	и не	4	16
10	но и	4	14
11	а не	1	13
12	в рамках	1	13
13	но не	1	13
14	а в	3	13
15	я в	1	13
16	в этом	9	12
17	то же	2	12
18	так и	4	12
19	и его	8	12
20	сводится к	2	11
21	как бы	5	11
22	точки зрения	8	11
23	в его	4	11
24	но в	4	10
25	в душе	2	9
26	или иной	1	9
27	том что	3	9
28	с другой	1	9
29	не может	8	9
30	особого рода	1	8
31	себя в	1	8
32	в области	3	8
33	что в	3	7
34	в самом	2	7
35	только в	4	7
36	в своей	2	7
37	в основе	3	7
38	и т.п	2	7
39	я и	6	7
40	как это	3	7
41	лишь в	1	7
42	отношение к	5	7
43	приводит к	1	6
44	уже не	1	6
45	можно сказать	4	6
46	с ее	4	6
47	художественного творчества	4	6
48	с его	7	6
49	мы имеем	1	6
50	в нем	4	6
51	искусства в	1	6
52	ни в	5	5
53	в виду	1	5
54	не на	2	5
55	конечном счете	2	5
56	что он	2	5
57	не менее	2	5
58	того чтобы	1	5
59	для того	1	5
60	со стороны	1	5
61	для него	6	5
62	прежде всего	9	5
63	с другими	3	5
64	а на	2	5
65	в конечном	3	5
66	между ними	3	5
67	той или	1	5
68	то что	3	5
69	могут быть	3	5
70	без исключения	1	4
71	не следует	1	4
72	отношения к	3	4
73	еще не	5	4
74	в данном	1	4
75	входит в	1	4
76	в другом	1	4
77	говорить о	2	4
78	и т.д	1	4
79	сказать что	7	4
80	к тому	1	4
81	на почве	1	4
82	и то	1	4
83	его в	4	4
84	не знает	2	4
85	и как	3	4
86	в этих	3	4
87	в себя	1	4
88	он не	2	4
89	и что	1	4
90	и о	2	4
91	однако в	1	4
92	хотя и	1	4
93	и к	6	3
94	и на	4	3
95	в момент	1	3
96	с этой	2	3
97	говорит и	1	3
98	подобно тому	1	3
99	если бы	1	3
100	оказывается в	1	3
101	и сам	1	3
102	есть в	2	3
103	в жизни	2	3
104	как и	2	3
105	их в	3	3
106	себя и	2	3
107	и того	1	3
108	к нему	1	3
109	одной стороны	1	3
110	как совокупность	1	3
111	в одном	3	3
112	всех без	1	3
113	имеем в	1	3
114	известной степени	1	3
115	мог бы	1	3
116	во всей	2	3
117	и внешней	1	3
118	из этих	2	3
119	и для	2	3
120	таким образом	9	3
121	на языке	1	3
122	с одной	1	3
123	с точки	6	3
124	как раз	1	3
125	и притом	3	3
126	связи с	1	3
127	в связи	1	3
128	по своему	2	3
129	во всех	3	3
130	тому как	1	3
131	в свою	1	3
132	не будет	2	3
133	говоря о	1	3
134	в пределах	2	3
135	этом смысле	3	3
136	того же	2	3
137	что можно	2	3
138	одного и	1	3
139	и прежде	1	3
140	не случайно	1	3
141	в культуре	1	3
142	и ее	4	3
143	мире и	1	2
144	образом и	1	2
145	один из	2	2
146	с ним	2	2
147	задолго до	1	2
148	в году	1	2
149	в них	2	2
150	оно не	2	2
151	этой точки	1	2
152	самом деле	6	2
153	все эти	5	2
154	в порядке	1	2
155	из тех	2	2
156	с ними	4	2
157	в одно	2	2
158	сознания при	2	2
159	роль в	1	2
160	жизни в	1	2
161	отличается от	1	2
162	собою в	1	2
163	в итоге	2	2
164	в каком	2	2
165	своей жизни	2	2
166	о том	2	2
167	не входит	1	2
168	при всей	2	2
169	это и	1	2
170	во внешнем	1	2
171	вытекает из	1	2
172	между собой	2	2
173	на основе	2	2
174	не всегда	1	2
175	для меня	2	2
176	и это	6	2
177	времени и	1	2
178	так же	2	2
179	на наших	1	2
180	если мы	2	2
181	в нашем	1	2
182	имеем дело	1	2
183	может оказаться	1	2
184	одна из	1	2
185	коем случае	1	2
186	чем это	1	2
187	внутреннего мира	1	2
188	никогда не	2	2
189	и по	2	2
190	жизни но	1	2
191	бы то	1	2
192	этих двух	1	2
193	в коем	1	2
194	наших глазах	1	2
195	несмотря на	1	2
196	ни было	2	2
197	внешнем мире	1	2
198	что такое	5	2
199	ее в	2	2
200	все это	4	2
201	что и	2	2
202	с их	3	2
203	у него	2	2
204	от всех	1	2
205	без остатка	1	2
206	что она	1	2
207	случае не	1	2
208	я не	1	2
209	мира и	3	2
210	только и	2	2
211	в чем	5	2
212	делает его	1	2
213	вовсе не	1	2
214	а для	1	2
215	и потому	3	2
216	но как	2	2
217	а с	1	2
218	на этом	3	2
219	то ни	1	2
220	и может	4	2
221	к такой	1	2
222	за пределы	2	2
223	ни одно	1	2
224	от своего	1	2
225	это может	1	2
226	человека и	1	2
227	мы по	1	2
228	всей его	1	2
229	в этой	4	2
230	что может	1	2
231	и особенно	1	2
232	и др	3	2
233	о его	1	2
234	с чем	1	2
235	столь же	1	2
236	право на	1	2
237	отнюдь не	4	2
238	не сумеет	1	2
239	никак нельзя	1	1
240	все что	4	1
241	для всех	4	1
242	в центре	1	1
243	и здесь	1	1
244	не позволяет	1	1
245	одним словом	1	1
246	же и	1	1
247	как с	2	1
248	всю внешнюю	1	1
249	живое существо	1	1
250	которая в	1	1
251	все люди	1	1
252	речи для	1	1
253	на ее	1	1
254	теперь в	1	1
255	дело с	1	1
256	можно назвать	2	1
257	его за	1	1
258	что это	2	1
259	в сущности	1	1
260	в другой	1	1
261	говорит о	1	1
262	привести к	1	1
263	те же	3	1
264	и эмоционально	1	1
265	в область	2	1
266	из того	1	1
267	и другими	1	1
268	и делает	1	1
269	быть может	2	1
270	смысла в	1	1
271	не могут	2	1
272	со всеми	2	1
273	и даже	4	1
274	все то	2	1
275	не более	1	1
276	а во-вторых	1	1
277	имеет значение	1	1
278	жизнь в	1	1
279	так называемый	2	1
280	любовь и	1	1
281	все моменты	1	1
282	как отношения	1	1
283	из всего	1	1
284	и действительно	2	1
285	что по	1	1
286	индивида и	1	1
287	вместе с	3	1
288	все же	1	1
289	только для	5	1
290	не имеет	1	1
291	другому человеку	1	1
292	зависимости от	1	1
293	жизни если	1	1
294	является эстетическим	1	1
295	но мы	4	1
296	на первый	2	1
297	по крайней	3	1
298	всем его	1	1
299	жизни является	1	1
300	свое время	1	1
301	первый взгляд	1	1
302	с этим	2	1
303	сам же	1	1
304	и пути	1	1
305	все и	2	1
306	лица по	1	1
307	не существует	2	1
308	зависит от	1	1
309	и такие	1	1
310	и пр	12	1
311	жизни когда	1	1
312	то и	1	1
313	в сознание	7	1
314	даже самое	1	1
315	наконец в	1	1
316	быть не	1	1
317	во многих	1	1
318	с нашим	1	1
319	сознание в	1	1
320	точно и	1	1
321	и теперь	3	1
322	жизни и	3	1
323	значение для	1	1
324	только на	3	1
325	в которую	1	1
326	теми которые	1	1
327	в мир	2	1
328	она по	1	1
329	не что	1	1
330	это образная	1	1
331	и общества	1	1
332	быть это	3	1
333	являются только	1	1
334	эти два	1	1
335	на которые	1	1
336	человеческого поведения	2	1
337	к ним	2	1
338	обратим внимание	1	1
339	т.е не	2	1
340	в комнате	1	1
341	рассчитана на	1	1
342	быть пережито	1	1
343	ее не	1	1
344	она может	1	1
345	в объекте	1	1
346	той же	1	1
347	именно так	1	1
348	с нею	2	1
349	с этими	1	1
350	только при	1	1
351	как я	1	1
352	творчества все	1	1
353	в сознании	1	1
354	момент в	2	1
355	всего к	1	1
356	но если	1	1
357	по поводу	1	1
358	к предмету	1	1
359	нет никаких	2	1
360	к этим	1	1
361	то я	1	1
362	в систему	2	1
363	крайней мере	3	1
364	едва ли	3	1
365	тот же	1	1
366	конечно с	1	1
367	о ней	1	1
368	человека но	1	1
369	эдипа и	1	1
370	читатель может	1	1
371	что они	1	1
372	в свое	2	1
373	только не	1	1
374	или к	1	1
375	мы видим	2	1
376	в более	1	1
377	так как	4	1
378	что иное	1	1
379	они не	2	1
380	на вопрос	1	1
381	на язык	3	1
382	время и	1	1
383	который всегда	1	1
384	чем на	1	1
385	внимание на	1	1
386	в состоянии	1	1
387	жизни человека	4	1
388	и чрезвычайно	1	1
389	художественной формы	1	1
390	не хозяин	1	1
391	для нас	2	1
392	и через	2	1
393	у нас	1	1
394	сознания и	2	1
395	и будущей	1	1
396	и есть	3	1
397	состояние как	1	1
398	весь мир	1	1
399	в русском	1	1
400	реальности это	1	1
401	ведь это	1	1
402	в практике	1	1
403	к чему	1	1
404	не говорит	1	1
405	что его	1	1
406	всех его	2	1
407	этим и	1	1
408	дело в	1	1
409	что не	2	1
410	его мысли	1	1
411	по ту	4	1
412	в конце	1	1
413	и эстетический	1	1
414	отношений здесь	1	1
415	не подлежит	1	1
416	же как	2	1
417	не есть	2	1
418	при таком	1	1
419	как ее	1	1
420	от этого	1	1
421	и со	1	1
422	остановимся на	1	1
423	его жизни	1	1
424	по его	1	1
425	и художественного	3	1
426	это было	1	1
427	тех же	3	1
428	на его	1	1
429	путь к	2	1
430	деятельности и	1	1
431	на них	2	1
432	и мир	1	1
433	рождается не	1	1
434	образом с	1	1
435	может иметь	2	1
436	опираясь на	1	1
437	в своих	1	1
438	оно в	1	1
439	на один	1	1
440	для высказывания	1	1
441	не дает	1	1
442	ту же	2	1
443	здесь только	1	1
444	от содержания	1	1
445	но всегда	1	1
446	человека как	1	1
447	чувства и	2	1
448	с совершенно	1	1
449	является его	1	1
450	в развитии	2	1
451	на чем	1	1
452	для этого	2	1
453	отношений между	1	1
454	эта сторона	1	1
455	ничто не	1	1
456	только то	2	1
457	и жизни	1	1
458	как один	1	1
459	и последовательное	1	1
460	на это	1	1
461	было бы	2	1
462	так называемого	1	1
463	же самое	1	1
464	вступают в	1	1
465	ту сторону	5	1
466	как мы	4	1
467	к изучению	1	1
