N	3gram	Tiupa_Narr	Komedia
1	в том что	11	29
2	к тому же	8	21
3	в то же	7	16
4	то же время	7	16
5	до сих пор	3	16
6	в самом деле	3	13
7	о том что	3	13
8	и т п	2	11
9	для того чтобы	4	11
10	в то время	1	11
11	в свою очередь	2	10
12	едва ли не	2	10
13	по отношению к	5	9
14	с одной стороны	5	9
15	то время как	1	9
16	речь идет о	3	8
17	с другой стороны	1	8
18	и в самом	1	8
19	обращает на себя	3	7
20	так или иначе	1	7
21	бы то ни	1	7
22	то ни было	1	7
23	на этот раз	1	7
24	на себя внимание	3	7
25	во всяком случае	2	7
26	в отличие от	6	6
27	в том числе	1	6
28	тому же в	2	6
29	в связи с	3	6
30	с точки зрения	2	6
31	к этому времени	1	5
32	то же самое	3	5
33	и т д	1	5
34	в ответ на	3	5
35	в этом отношении	5	5
36	тем не менее	6	5
37	и тот же	1	4
38	в самом начале	1	4
39	что у него	2	4
40	в обоих случаях	1	4
41	к тому что	4	4
42	но все же	1	4
43	по сравнению с	1	4
44	можно было бы	1	4
45	в той же	1	3
46	друг от друга	1	3
47	и столь же	1	3
48	более или менее	2	3
49	друг с другом	1	3
50	на мой взгляд	1	3
51	в соответствии с	7	3
52	в чем не	1	3
53	хотя и не	2	3
54	а то и	1	3
55	на протяжении всего	1	3
56	на то что	2	3
57	но и в	4	3
58	в последние десятилетия	1	3
59	один и тот	1	3
60	в этой связи	1	3
61	состоит в том	5	3
62	сомневаться в том	1	3
63	том числе и	1	3
64	ни в чем	1	3
65	мере в какой	1	2
66	одной стороны и	1	2
67	и даже не	1	2
68	в конечном счете	4	2
69	в большинстве случаев	1	2
70	в этом смысле	1	2
71	то что не	1	2
72	у меня в	1	2
73	при этом что	1	2
74	было ясно что	1	2
75	с этой точки	1	2
76	ни у кого	1	2
77	он и не	1	2
78	потому что в	1	2
79	как и в	1	2
80	всю свою жизнь	2	2
81	в частности в	2	2
82	так и в	1	2
83	но при этом	3	2
84	в разговоре с	1	2
85	в первом случае	3	2
86	в зависимости от	3	2
87	точно так же	2	2
88	и в то	2	2
89	не было и	2	2
90	в нем не	2	2
91	из них не	1	2
92	на то чтобы	2	2
93	в основе своей	1	2
94	себя внимание что	1	2
95	но и здесь	1	2
96	как это было	1	2
97	так и не	2	2
98	этой точки зрения	1	2
99	не означает что	1	2
100	подобно тому как	4	2
101	так же как	1	2
102	только потому что	1	2
103	не только в	12	2
104	в поле зрения	1	2
105	как мы видели	1	2
106	действующих лиц не	1	2
107	и все же	4	2
108	как и всякий	1	2
109	по его мнению	1	2
110	одна из них	1	2
111	но и не	2	1
112	в пределах этой	1	1
113	что и для	1	1
114	и вся его	1	1
115	не принимает участия	1	1
116	до нас в	1	1
117	никак не может	1	1
118	сто лет до	1	1
119	в той мере	1	1
120	не может быть	6	1
121	между детьми и	2	1
122	одной из этих	1	1
123	особое место среди	1	1
124	почти полное забвение	1	1
125	можно сказать что	5	1
126	здесь не только	2	1
127	во всех его	1	1
128	имеем дело с	4	1
129	легко представить себе	1	1
130	раз в жизни	1	1
131	том что на	1	1
132	в самую суть	1	1
133	на три группы	1	1
134	не представляется возможным	1	1
135	при этом некоторые	1	1
136	главного героя в	1	1
137	таким образом для	1	1
138	одного из наиболее	2	1
139	в случае с	2	1
140	т п не	1	1
141	этих двух наиболее	1	1
142	между тем не	1	1
143	далеко не всегда	1	1
144	является ли это	1	1
145	того или иного	3	1
146	друг на друга	2	1
147	одного и того	2	1
148	событие о котором	1	1
149	то в его	1	1
150	может быть только	1	1
151	сам по себе	1	1
152	но и сам	1	1
153	в том случае	1	1
154	один из участников	2	1
155	вопрос не имеет	1	1
156	в себе самом	2	1
157	по своему характеру	1	1
158	том что именно	1	1
159	таким образом что	1	1
