N	4gram	Potebnia_M	Morfolog
1	в то время как	1	3
2	в том случае если	1	2
3	и т д в	1	2
4	бы то ни было	1	2
5	не что иное как	2	2
6	бы они ни были	2	1
7	с этой точки зрения	1	1
8	можно было бы сказать	1	1
9	и т д и	1	1
10	во что бы то	1	1
11	и т д то	1	1
12	бы то ни стало	1	1
13	в том что он	1	1
14	то с другой стороны	1	1
15	если же в результате	1	1
16	то прежде всего следует	1	1
17	не имеет ничего общего	1	1
18	все более и более	2	1
19	которые не могут быть	2	1
20	в то же время	3	1
21	следует еще заметить что	1	1
22	один и тот же	1	1
23	прежде чем перейти к	1	1
24	что бы то ни	1	1
25	в том что все	1	1
26	на то что в	1	1
27	мы можем заметить что	1	1
28	могут быть приведены в	1	1
