N	4gram	Propp_Isto	Morfolog
1	как мы увидим ниже	1	4
2	образом мы видим что	2	4
3	таким образом мы видим	2	4
4	в тех же формах	1	4
5	и т д но	2	4
6	в то время как	3	3
7	это не значит что	1	2
8	в руки героя попадает	2	2
9	и т д а	1	2
10	бы то ни было	2	2
11	и т д он	1	2
12	и тем не менее	2	2
13	и т д они	1	2
14	в тех случаях когда	1	2
15	ни одной из приведенных	1	2
16	не что иное как	3	2
17	но если это так	2	2
18	начинается с того что	2	2
19	дело не в количестве	1	2
20	и т д иногда	1	1
21	чужих руках уезжает он	1	1
22	не ходи со двора	1	1
23	форму отлучки представляет собой	1	1
24	работу аф надо было	1	1
25	за тридевять земель в	1	1
26	то же происходит при	1	1
27	в основе очень многих	1	1
28	высока терема и пр	1	1
29	мы уже видели выше	1	1
30	а на самом деле	1	1
31	так называемой финской школы	1	1
32	к ложным заключениям несмотря	1	1
33	уже не может быть	1	1
34	сказки так тесно связаны	2	1
35	покидать жену на чужих	1	1
36	и т д и	2	1
37	если это так то	2	1
38	береги братца не ходи	1	1
39	тесно связаны между собою	1	1
40	есть на самом деле	1	1
41	придется поставить вопрос как	1	1
42	т д все эти	1	1
43	и т д то	2	1
44	отлучки представляет собой смерть	1	1
45	руки героя попадает волшебное	1	1
46	чего следует бегство и	1	1
47	такой случай мы имеем	1	1
48	то это значит что	1	1
49	дальний путь покидать жену	1	1
50	в том что он	1	1
51	указанием на то что	1	1
52	и т д здесь	1	1
53	путь покидать жену на	1	1
54	и вне связи с	1	1
55	для наших целей это	1	1
56	на коне или на	1	1
57	можно вообще заметить что	1	1
58	в запретном чулане видит	1	1
59	мы останавливаться не будем	1	1
60	мы видим что в	1	1
61	жену на чужих руках	1	1
62	отправку героя из дома	2	1
63	точно так же и	2	1
64	в связи с изучением	1	1
65	что в руки героя	1	1
66	на чужих руках уезжает	1	1
67	в тот момент когда	3	1
68	мы видим что сказка	1	1
69	нос в потолок врос	2	1
70	усиленную форму отлучки представляет	1	1
71	князю ехать в дальний	1	1
72	избушка на курьих ножках	3	1
73	братца не ходи со	1	1
74	случайных встречных и т	1	1
75	вход в иное царство	4	1
76	на курьих ножках и	1	1
77	в том случае когда	1	1
78	связь сказки с религией	1	1
79	покидать высока терема и	1	1
80	во всех этих случаях	1	1
81	не покидать высока терема	3	1
82	один и тот же	2	1
83	не будем входить в	1	1
84	тех сказках где нет	1	1
85	герой берет с собой	1	1
86	руках уезжает он купец	1	1
87	в иное царство и	2	1
88	в иное царство или	1	1
89	приводит к тому что	1	1
90	и т д все	3	1
91	после чего следует бегство	1	1
92	ложным заключениям несмотря на	1	1
93	в тех формах в	1	1
94	представляет собой смерть родителей	1	1
95	в тех сказках где	1	1
96	в дальний путь покидать	1	1
97	встречных и т д	1	1
98	так тесно связаны между	1	1
99	ехать в дальний путь	1	1
100	наших целей это несущественно	1	1
101	выше было указано что	1	1
102	на работу аф надо	1	1
103	есть не что иное	2	1
104	тех формах в каких	1	1
105	много князь ее уговаривал	1	1
106	мы имеем то же	1	1
