N	3gram	Nazirov_Tv	PoTuStor
1	на самом деле	2	4
2	с самого начала	3	4
3	до сих пор	1	3
4	не может быть	2	3
5	в чем не	1	3
6	по крайней мере	4	3
7	во всяком случае	2	3
8	можно сказать что	2	3
9	ни в чем	1	3
10	в конечном счете	4	2
11	так же как	1	2
12	но отнюдь не	1	2
13	о том что	6	2
14	не могут быть	2	2
15	в самом деле	2	2
16	и только для	1	2
17	друг на друга	1	2
18	и в этом	1	2
19	нам кажется что	1	2
20	со всех сторон	1	1
21	так и в	2	1
22	внутренний протест против	1	1
23	в том что	8	1
24	хотя и с	1	1
25	мы знаем что	1	1
26	и со всеми	1	1
27	мы по крайней	1	1
28	а может быть	2	1
29	каких бы то	1	1
30	не что иное	1	1
31	и та же	2	1
32	что иное как	1	1
33	дело в том	4	1
34	могут быть поняты	2	1
35	той или иной	1	1
36	вместе с тем	1	1
37	в применении к	1	1
38	можно было бы	1	1
39	прежде всего на	1	1
40	в полном согласии	1	1
41	в свою противоположность	2	1
42	так ли это?	1	1
43	а вместе с	1	1
44	при всей их	1	1
45	и прежде всего	1	1
46	в данном случае	2	1
47	мы имеем в	1	1
48	в этот момент	1	1
49	и ту же	1	1
50	ничего не говорит	1	1
51	человека и все	1	1
52	же как и	1	1
53	со всеми его	1	1
54	то ни было	1	1
55	имеем в виду	1	1
56	и того же	1	1
57	вспомним хотя бы	1	1
58	от своего имени	1	1
59	одну и ту	1	1
60	одна и та	1	1
61	на первый взгляд	1	1
62	то же самое	1	1
63	как один из	1	1
64	в этой борьбе	1	1
65	что может быть	1	1
66	а с другой	1	1
67	в нем и	1	1
68	крайней мере уже	1	1
69	с одной стороны	1	1
70	форму и содержание	1	1
71	говорить о том	1	1
72	полном согласии с	1	1
73	или во всяком	1	1
74	таким образом и	1	1
75	это и есть	1	1
76	на наших глазах	1	1
77	бы то ни	1	1
78	заранее обречены на	1	1
79	в году в	3	1
80	одного и того	1	1
81	в связи с	2	1
