N	2gram	Vygotskiy_	Problemy
1	и в	37	106
2	и не	15	90
3	как бы	16	70
4	может быть	19	66
5	в его	16	56
6	в этом	32	52
7	в нем	2	51
8	не может	16	49
9	как и	20	44
10	что он	16	44
11	точки зрения	49	40
12	но и	23	40
13	для него	5	39
14	и его	10	39
15	а не	5	38
16	о себе	1	37
17	то же	12	36
18	не только	29	36
19	в пределах	1	35
20	то что	32	33
21	но в	9	33
22	прежде всего	12	32
23	он не	11	29
24	в то	7	29
25	все это	9	29
26	и все	7	28
27	в одном	5	27
28	не в	9	27
29	к себе	2	26
30	же время	2	26
31	в самом	16	25
32	и с	10	25
33	к нему	1	25
34	с точки	34	25
35	в сущности	13	25
36	и т	1	25
37	с самим	2	24
38	вовсе не	5	24
39	самом деле	8	24
40	рядом с	1	23
41	и на	8	23
42	слова и	5	23
43	по себе	9	22
44	что я	1	22
45	таким образом	39	22
46	там где	8	21
47	как мы	11	21
48	все же	6	20
49	никогда не	8	20
50	только в	8	20
51	потому что	11	20
52	что же	3	19
53	что в	25	19
54	с его	7	19
55	отношению к	11	19
56	слова в	2	19
57	уже не	2	18
58	по отношению	12	18
59	в себе	8	18
60	еще не	1	18
61	на самом	4	18
62	но не	6	18
63	все эти	6	18
64	и к	9	17
65	с ним	3	17
66	а в	4	17
67	в том	47	17
68	это не	5	17
69	так и	12	17
70	так же	18	16
71	если бы	10	16
72	в своей	7	16
73	этом смысле	3	16
74	в другом	7	16
75	о мире	3	15
76	у него	2	15
77	до конца	1	15
78	и для	3	15
79	и наконец	3	15
80	и сам	2	14
81	в своем	10	14
82	как раз	8	14
83	в конце	2	14
84	в отношении	14	14
85	так как	11	14
86	я не	4	14
87	лишь в	9	14
88	но все	3	13
89	на него	3	13
90	точка зрения	3	13
91	с другими	5	13
92	и это	3	13
93	перед нами	7	13
94	в целом	29	13
95	при этом	6	12
96	даже в	4	12
97	отношении к	1	12
98	и как	7	12
99	и даже	5	12
100	и слово	2	12
101	к тому	10	12
102	во всяком	6	12
103	в котором	6	12
104	что и	3	12
105	не знает	1	12
106	так сказать	1	12
107	себе и	3	12
108	так что	2	12
109	и что	11	12
110	за пределы	4	12
111	было бы	12	12
112	между тем	10	12
113	как в	7	12
114	том что	42	12
115	ничего не	6	12
116	слово в	1	12
117	в одной	3	12
118	последнее слово	1	12
119	в плане	1	12
120	тем что	7	11
121	их в	6	11
122	входит в	1	11
123	с другой	16	11
124	он сам	3	11
125	должно быть	4	11
126	бы в	5	11
127	мы уже	7	11
128	в форме	1	11
129	не могут	1	11
130	дело идет	1	11
131	бы и	4	11
132	этого слова	7	11
133	сознания и	4	11
134	она не	3	11
135	или как	1	11
136	как будто	1	11
137	конце концов	1	11
138	более того	2	11
139	самого начала	9	10
140	говорит он	27	10
141	что не	2	10
142	сих пор	4	10
143	до сих	4	10
144	для себя	7	10
145	в слове	2	10
146	приводит к	8	10
147	идеи в	1	10
148	той же	4	10
149	в самой	4	10
150	к одному	1	10
151	как не	1	10
152	в той	1	9
153	зрения на	1	9
154	другой стороны	10	9
155	в них	5	9
156	хотя бы	7	9
157	друг с	6	9
158	что у	3	9
159	хотя и	2	9
160	с самого	9	9
161	точек зрения	1	9
162	могут быть	5	9
163	всяком случае	5	9
164	ни в	6	9
165	самим собой	1	9
166	да и	1	9
167	или в	2	9
168	раз и	1	9
169	и потому	3	9
170	в результате	7	8
171	и до	5	8
172	о том	14	8
173	мы увидим	3	8
174	все время	8	8
175	из них	4	8
176	и он	1	8
177	несмотря на	6	8
178	ни было	1	8
179	но как	1	8
180	одним из	1	8
181	здесь не	1	8
182	и у	1	8
183	и от	4	8
