N	3gram	Propp_Isto	Russkaja
1	друг с другом	1	14
2	с точки зрения	1	9
3	в том что	7	7
4	во всяком случае	3	6
5	для того чтобы	1	6
6	до сих пор	4	5
7	не может быть	5	4
8	на то что	1	4
9	к тому чтобы	1	4
10	более или менее	3	4
11	бы то ни	1	4
12	вместе с тем	6	3
13	можно было бы	3	3
14	в данном случае	7	3
15	в этом случае	4	3
16	и то что	1	3
17	и не может	1	3
18	что он не	1	2
19	с другом и	1	2
20	в этом направлении	1	2
21	точно так же	2	2
22	в большинстве случаев	1	2
23	и тем самым	1	2
24	в противоречие с	1	2
25	совершенно таким же	1	2
26	о том что	9	2
27	только в том	1	2
28	сама по себе	1	2
29	к тому что	1	2
30	она не может	1	2
31	о том чтобы	1	2
32	и вместе с	3	2
33	должны были бы	1	1
34	в самом деле	1	1
35	в борьбе с	1	1
36	смысле этого слова	1	1
37	и что его	1	1
38	в союзе с	1	1
39	всех этих случаях	6	1
40	мы уже знаем	5	1
41	что он может	1	1
42	для борьбы с	1	1
43	уже знаем что	4	1
44	таким образом оказывается	1	1
45	и на нем	1	1
46	именно так как	1	1
47	так же как	4	1
48	это есть та	1	1
49	по отношению к	3	1
50	во всех этих	6	1
51	в том чтобы	2	1
52	к ним с	1	1
53	что он на	1	1
54	важно отметить что	1	1
55	а в том	2	1
56	и в других	2	1
57	роли не играет	1	1
58	не может но	1	1
59	и то и	2	1
60	отличается от того	1	1
61	так как это	3	1
62	и что в	1	1
63	всяком случае не	1	1
64	то ни было	1	1
65	сих пор мы	3	1
66	но мы уже	3	1
67	совершенно ясно что	1	1
68	а если не	1	1
69	здесь же мы	2	1
70	на первый взгляд	5	1
71	он не может	1	1
72	в связи с	1	1
73	то же самое	1	1
74	к пребыванию в	1	1
75	показать что и	1	1
76	при ближайшем рассмотрении	1	1
77	тем не менее	4	1
78	образом оказывается что	1	1
79	но все же	3	1
80	только то что	1	1
81	в другом месте	2	1
82	этом случае совершенно	1	1
83	можно согласиться с	1	1
84	между прочим и	2	1
85	вопрос о том	1	1
86	в этом и	2	1
87	к себе и	2	1
88	на этот вопрос	3	1
89	то и другое	2	1
90	состоит в том	1	1
91	к тому же	1	1
92	совершенно очевидно что	1	1
93	как бы то	1	1
