1	и в	79	65
2	то что	17	61
3	в том	64	46
4	в самом	1	41
5	в этом	33	37
6	все время	1	36
7	что в	57	36
8	что она	6	34
9	может быть	28	33
10	самом деле	2	33
11	то есть	3	30
12	как бы	31	29
13	и что	14	29
14	том что	59	28
15	потому что	17	26
16	на то	3	25
17	в ней	4	23
18	что он	5	23
19	если бы	3	22
20	было бы	7	22
21	того чтобы	8	21
22	таким образом	17	21
23	в этой	6	20
24	и не	14	20
25	что это	8	19
26	и т	23	19
27	точки зрения	3	19
28	и мы	1	19
29	для того	8	18
30	к тому	6	18
31	не может	13	17
32	о том	23	17
33	говорит что	1	17
34	то же	9	17
35	не только	41	16
36	все то	2	15
37	мы видим	2	15
38	и все	9	14
39	мы увидим	11	14
40	же самое	1	14
41	для нас	14	14
42	сказать что	2	14
43	как раз	1	14
44	с тем	17	14
45	показать что	2	13
46	и если	2	13
47	как будто	7	13
48	так как	34	13
49	и это	3	13
50	как это	14	13
51	как и	28	12
52	так же	8	12
53	не в	7	12
54	мы уже	5	12
55	все это	18	12
56	никак не	1	12
57	перед нами	2	12
58	мы можем	2	12
59	как мы	20	12
60	с точки	3	11
61	в его	5	11
62	увидим что	3	11
63	с этим	5	11
64	а не	7	11
65	он не	2	11
66	в двух	2	11
67	между тем	10	10
68	она не	6	10
69	из них	19	10
70	так что	13	10
71	при этом	22	10
72	что все	3	10
73	и то	3	10
74	вместе с	17	10
75	все же	10	10
76	тому что	6	10
77	только что	1	10
78	из этого	2	10
79	и как	7	10
80	никогда не	3	9
81	в ее	3	9
82	только в	7	9
83	и совершенно	1	9
84	а в	20	9
85	в которых	13	9
86	того что	8	9
87	как на	3	9
88	и здесь	4	9
89	для этого	7	9
90	в самой	1	9
91	в себе	2	9
92	что они	9	9
93	он говорит	1	9
94	в одном	6	9
95	когда он	3	8
96	и его	3	8
97	в той	1	8
98	в которой	3	8
99	в нем	6	8
100	в целом	5	8
101	и когда	2	8
102	с другой	5	8
103	как в	13	8
104	как она	1	8
105	смысл и	1	8
106	в какой	3	8
107	с той	3	8
108	видим что	1	8
109	совершенно не	2	8
110	может служить	1	8
111	указывает на	1	8
112	не имеет	11	8
113	в своем	7	8
114	что эта	2	8
115	в каком	1	8
116	что и	10	7
117	можно было	5	7
118	в котором	4	7
119	это не	20	7
120	с одной	3	7
121	и на	28	7
122	несмотря на	4	7
123	тем что	12	7
124	ее в	8	7
125	там где	5	7
126	мы видели	14	7
127	до сих	3	7
128	к которым	1	7
129	мы не	16	7
130	один из	15	7
131	при помощи	1	7
132	не просто	4	7
133	все эти	6	7
134	что у	4	7
135	т п	2	7
136	или в	10	6
137	у него	2	6
138	место в	3	6
139	т д	21	6
140	ни в	1	6
141	на этом	6	6
142	из этих	7	6
143	время как	1	6
144	из которых	3	6
145	одна из	24	6
146	и другое	3	6
147	но если	5	6
148	которых мы	1	6
149	целый ряд	2	6
150	во всяком	4	6
151	жизни и	1	6
152	так сказать	1	6
153	здесь мы	4	6
154	всяком случае	4	6
155	говорит о	3	6
156	с ним	5	6
157	что если	2	6
158	одной стороны	2	6
159	та же	4	6
160	что мы	1	6
161	главным образом	7	6
162	могла бы	1	6
163	что для	4	6
164	но и	31	6
165	в жизни	2	6
166	в своей	3	6
167	и о	6	6
168	в таком	6	6
169	с и	2	6
170	в виду	3	6
171	в другом	1	6
172	в свою	5	6
173	сих пор	3	6
174	но это	11	6
175	в своих	4	6
176	по своему	4	6
177	до конца	7	5
178	в данном	8	5
179	должна быть	1	5
180	и к	5	5
181	не к	3	5
182	и других	10	5
183	о котором	1	5
184	в конце	2	5
185	по себе	2	5
186	смысле этого	1	5
187	в такой	1	5
188	если он	2	5
189	в основе	4	5
190	в течение	10	5
191	ее с	2	5
192	связь с	3	5
193	его в	10	5
194	что не	1	5
195	например в	5	5
196	в то	5	5
197	с этой	2	5
198	но в	9	5
199	эти слова	1	5
200	что при	2	5
201	когда мы	2	5
202	данном случае	9	5
203	о ее	1	5
204	которую мы	1	5
205	этот вопрос	4	5
206	что эти	2	5
207	после этого	8	5
208	другой стороны	2	5
209	и он	2	5
210	что этот	6	5
211	к этому	13	5
212	том как	3	5
213	но он	4	5
214	полагает что	12	5
215	и может	1	5
216	так например	10	5
217	в тех	5	5
218	тот же	5	5
219	этого слова	4	5
220	то это	1	5
221	не могли	1	5
222	в виде	12	5
223	и тем	2	4
224	во время	38	4
225	не так	2	4
226	а с	7	4
227	и даже	2	4
228	с таким	3	4
229	знаем что	1	4
230	согласиться с	1	4
231	того как	9	4
232	от этого	3	4
233	одно из	8	4
234	во всех	8	4
235	нас совершенно	1	4
236	должен быть	2	4
237	ли он	1	4
238	как все	1	4
239	наряду с	1	4
240	об этом	17	4
241	она может	1	4
242	внимание на	1	4
243	и между	1	4
244	показывает что	17	4
245	в один	2	4
246	не было	5	4
247	более и	1	4
248	чем сильнее	1	4
249	который мы	1	4
250	едва ли	1	4
251	что с	3	4
252	это только	1	4
253	то время	4	4
254	у всех	1	4
255	ничего не	7	4
256	в русской	3	4
257	состоит в	32	4
258	и более	6	4
259	и так	2	4
260	и ее	4	4
261	не имеют	2	4
262	их в	8	4
263	вслед за	1	4
264	то как	1	4
265	большей частью	1	4
266	должен был	6	4
267	по существу	10	4
268	при таком	1	4
269	каждого из	1	4
270	что на	11	4
271	и с	14	4
272	как только	3	4
273	могло бы	2	4
274	не мог	1	4
275	обратиться к	1	4
276	когда в	2	4
277	очевидно что	3	4
278	со стороны	1	4
279	и для	5	4
280	но мы	2	4
281	только после	1	4
282	был бы	1	4
283	не можем	7	4
284	целым рядом	1	4
285	здесь в	2	4
286	и которая	1	4
287	она в	4	4
288	это и	3	4
289	что за	1	4
290	и до	4	4
291	того же	1	4
292	к концу	1	4
293	так называемой	3	4
294	в общем	1	4
295	для него	2	4
296	это было	1	4
297	в них	14	4
298	на которых	3	4
299	у нас	14	4
300	совершенно другой	1	4
301	но совершенно	2	4
302	совсем не	3	3
303	утверждает что	2	3
304	так и	10	3
305	говорить о	2	3
306	свою очередь	3	3
307	и поэтому	3	3
308	не следует	1	3
309	всего этого	1	3
310	если же	1	3
311	это в	3	3
312	само собой	2	3
313	в первом	1	3
314	представляют собой	18	3
315	как не	2	3
316	или не	3	3
317	дело не	4	3
318	и другие	33	3
319	из одного	2	3
320	именно это	1	3
321	но не	9	3
322	не могу	1	3
323	в глаза	4	3
324	ее не	1	3
325	же после	1	3
326	что чем	2	3
327	еще не	13	3
328	далеко не	11	3
329	только на	6	3
330	в угол	1	3
331	от имени	1	3
332	за этим	5	3
333	но что	2	3
334	в их	6	3
335	же как	6	3
336	мы должны	7	3
337	только для	5	3
338	но смысл	1	3
339	из всех	1	3
340	только одно	2	3
341	и чем	1	3
342	и та	1	3
343	в нее	1	3
344	в день	13	3
345	прав когда	2	3
346	но эта	2	3
347	интересно что	1	3
348	будто бы	15	3
349	ясно и	2	3
350	что по	8	3
351	на самом	5	3
352	совершенно очевидно	3	3
353	одновременно и	1	3
354	хотя бы	1	3
355	то и	5	3
356	из себя	1	3
357	из нее	2	3
358	образом и	1	3
359	дело так	2	3
360	и есть	1	3
361	еще раз	1	3
362	весь этот	1	3
363	и дает	1	3
364	и которые	2	3
365	животных и	7	3
366	по его	3	3
367	точно так	1	3
368	на две	4	3
369	не по	1	3
370	между двумя	2	3
371	и затем	2	3
372	однако и	1	3
373	он в	1	3
374	думать что	3	3
375	в результате	1	3
376	слова как	1	3
377	на него	3	3
378	ничем не	1	3
379	что именно	3	3
380	надо было	1	3
381	это есть	1	3
382	и во	3	3
383	что его	1	3
384	есть в	3	3
385	первый раз	1	3
386	он был	3	3
387	не более	2	3
388	каждый из	3	3
389	это означало	2	3
390	поэзии и	2	3
391	здесь дело	1	3
392	принадлежит к	1	3
393	первой половине	1	3
394	указал на	1	3
395	остановиться на	2	3
396	в чем	2	3
397	представляет собой	10	3
398	ничего общего	5	3
399	и эта	1	3
400	к которому	1	3
401	и смерти	1	3
402	именно в	4	3
403	уже давно	1	3
404	дело и	1	3
405	мы знаем	3	3
406	и очень	1	3
407	почти всегда	1	3
408	в истории	1	3
409	к тем	4	3
410	человеком и	1	3
411	к ней	4	3
412	к ним	5	3
413	в частности	2	3
414	к этой	2	3
415	мы говорили	1	3
416	такое же	3	3
417	здесь не	3	3
418	во всей	4	3
419	его словам	1	3
420	это конечно	3	3
