N	3gram	Potebnia_M	Tragedij
1	то же время	8	5
2	в то же	8	5
3	так и в	2	3
4	в том что	22	2
5	и как бы	2	2
6	бросается в глаза	1	2
7	в данном случае	3	2
8	о том что	5	2
9	и в самом	3	2
10	не в силах	1	2
11	понятно что в	1	1
12	сам по себе	9	1
13	не только по	3	1
14	общем смысле этого	1	1
15	том что он	2	1
16	не только о	1	1
17	в одном из	1	1
18	в разговоре с	1	1
19	что он не	3	1
20	а между тем	6	1
21	за то что	1	1
22	может быть не	2	1
23	смысле этого слова	9	1
24	никто не скажет	1	1
25	так можно выразиться	1	1
26	с тем и	3	1
27	что в ней	2	1
28	не может быть	7	1
29	и т п	7	1
30	и теперь еще	1	1
31	в этом случае	2	1
32	но как в	1	1
33	в чем же	1	1
34	не было до	1	1
35	и то что	3	1
36	не только не	4	1
37	не могут быть	3	1
38	бы и в	2	1
39	хотя бы и	1	1
40	в таком виде	1	1
41	как и в	3	1
42	уже не к	1	1
43	в самом деле	1	1
44	приходит в голову	1	1
45	не только к	1	1
46	если так можно	1	1
47	во всяком случае	3	1
48	к тому что	3	1
49	тем не менее	7	1
50	не имеет для	3	1
51	но он сам	1	1
52	или как говорит	1	1
53	после того как	2	1
54	и не может	1	1
55	и в этом	1	1
