N	3gram	Ircho_Kome	Tvorches
1	в то же	5	25
2	то же время	5	24
3	и т д	4	17
4	в том что	13	11
5	в соответствии с	2	8
6	о том что	6	8
7	и т п	7	5
8	в том же	1	5
9	в наше время	1	5
10	по отношению к	5	5
11	до сих пор	3	4
12	аргументом в пользу	2	4
13	в одной из	1	4
14	с самого начала	2	4
15	что все это	1	3
16	чуть ли не	2	3
17	точно так же	1	3
18	том что в	1	3
19	в отличие от	3	3
20	если не считать	1	3
21	во всяком случае	4	3
22	как и в	2	3
23	едва ли не	6	3
24	с другой стороны	6	3
25	хотя и не	1	3
26	в году он	1	3
27	что он не	2	2
28	а может быть	1	2
29	в данном случае	1	2
30	это не означает	1	2
31	для того чтобы	3	2
32	в том числе	4	2
33	тем не менее	2	2
34	у него в	1	2
35	что у него	3	2
36	так и в	1	2
37	но при этом	1	2
38	и в конце	1	2
39	в конце концов	4	2
40	в этой области	2	2
41	том числе и	1	2
42	и в самом	1	2
43	в его произведениях	1	2
44	к тому же	12	2
45	в высшей степени	1	2
46	так как он	1	2
47	в связи с	3	2
48	в одном из	4	2
49	но прежде всего	1	2
50	вместе с тем	4	2
51	же время он	1	2
52	том же году	1	2
53	в его творчестве	1	2
54	и та же	1	2
55	не означает что	2	2
56	так же как	1	2
57	не только в	1	2
58	в первую очередь	5	2
59	на протяжении всего	3	2
60	о том где	1	1
61	лицо к которому	1	1
62	на этом фоне	1	1
63	в этот период	1	1
64	одного из них	1	1
65	имеет в виду	1	1
66	как будто бы	1	1
67	с х годов	1	1
68	и даже не	1	1
69	мы не находим	1	1
70	в применении к	1	1
71	но если у	1	1
72	в ответ на	1	1
73	то что не	1	1
74	один ряд с	1	1
75	при этом что	2	1
76	мало чем отличается	1	1
77	и те и	1	1
78	вскоре после этого	1	1
79	соответствии с этим	1	1
80	с такой силой	1	1
81	в частности в	2	1
82	что он был	1	1
83	три года до	1	1
84	никто бы не	1	1
85	именно потому что	2	1
86	укладывается ни в	1	1
87	а между тем	1	1
88	но это еще	1	1
89	бросается в глаза	1	1
90	же время для	1	1
91	в один ряд	1	1
92	и прежде всего	1	1
93	в чем не	1	1
94	целом ряде случаев	1	1
95	а затем и	2	1
96	приходит в голову	1	1
97	не приходит в	1	1
98	то ни было	4	1
99	потому что граф	1	1
100	что это не	1	1
101	на то чтобы	1	1
102	то же самое	2	1
103	нельзя не заметить	1	1
104	к тому что	3	1
105	у него не	1	1
106	в стороне от	1	1
107	на этом празднике	1	1
108	бы то ни	4	1
109	из действующих лиц	3	1
110	и в том	1	1
111	не мог бы	1	1
112	может и не	1	1
113	он выступает против	1	1
114	того или иного	1	1
115	за то что	4	1
116	т д все	1	1
117	те и другие	1	1
118	той или иной	1	1
119	все тот же	1	1
120	вслед за ними	1	1
121	не в его	1	1
122	это вовсе не	1	1
123	и особенно в	1	1
124	в эти годы	2	1
125	а вместе с	1	1
126	но и в	2	1
127	и вот в	1	1
128	в чем же	1	1
129	не мог не	1	1
130	так и не	1	1
131	и в дальнейшем	1	1
132	не заметить что	1	1
133	ясно что это	1	1
134	их взаимоотношения в	1	1
135	и вовсе не	1	1
136	за три года	1	1
137	что же касается	1	1
138	в целом ряде	1	1
139	то что в	1	1
140	может быть в	1	1
141	для этого случая	1	1
142	из них он	1	1
143	в тех же	3	1
144	как один из	1	1
145	с одной стороны	5	1
146	вообще говоря не	1	1
147	на протяжении почти	2	1
148	да и в	1	1
149	в то время	8	1
150	таким образом в	2	1
151	со всех сторон	1	1
152	чем отличается от	1	1
153	и чуть ли	1	1
154	и в их	1	1
155	но уже в	1	1
156	не что иное	1	1
157	на него самого	1	1
158	в отношении к	1	1
159	в отрыве от	1	1
160	т i с	1	1
161	на чьей стороне	1	1
162	можно было бы	3	1
163	свое завершение в	1	1
164	только потому что	2	1
165	в начале xx	1	1
166	в поле зрения	2	1
167	не укладывается ни	1	1
168	больше чем любой	1	1
169	все же это	1	1
170	что в нем	1	1
171	по случайному совпадению	1	1
172	же как и	1	1
173	одна и та	1	1
174	такой силой как	1	1
175	и в литературе	1	1
176	что иное как	1	1
177	в предисловии к	1	1
178	и не только	1	1
179	а нередко и	1	1
180	до конца и	1	1
181	ни в чем	1	1
182	на себя в	1	1
183	потому что они	1	1
