1	в том что	11	22
2	заключает в себе	2	10
3	по отношению к	5	10
4	по крайней мере	4	8
5	в то же	25	8
6	то же время	24	8
7	в то время	1	7
8	там же с	12	7
9	и т п	5	7
10	тем не менее	2	7
11	не может быть	6	7
12	а между тем	1	6
13	в том смысле	1	6
14	в свою очередь	2	6
15	вместе с тем	2	5
16	для того чтобы	2	5
17	и т д	17	5
18	о том что	8	5
19	только потому что	1	5
20	мы не можем	1	5
21	до сих пор	4	4
22	на самом деле	2	4
23	не только в	2	4
24	то есть не	2	4
25	но и в	1	4
26	в эту минуту	1	4
27	с одной стороны	1	4
28	потому что не	1	4
29	по себе а	1	4
30	с другой стороны	3	4
31	потому что в	1	4
32	как бы ни	2	4
33	не было в	1	3
34	и в том	1	3
35	не могут быть	2	3
36	во всяком случае	3	3
37	можно сказать что	2	3
38	сами по себе	3	3
39	что он не	2	3
40	как и в	3	3
41	со всех сторон	1	3
42	в данном случае	2	3
43	я и не	1	3
44	нам кажется что	1	3
45	к тому что	1	3
46	потому что он	2	3
47	то же самое	1	3
48	далеко не все	1	3
49	то и другое	1	3
50	может быть назван	2	3
51	и в самом	2	3
52	что оно не	1	2
53	в этом случае	1	2
54	рядом с ними	1	2
55	то что в	1	2
56	том смысле что	1	2
57	одного и того	1	2
58	а может быть	2	2
59	так и в	2	2
60	и как бы	1	2
61	одна и та	1	2
62	к мысли о	1	2
63	есть прежде всего	1	2
64	с точки зрения	4	2
65	в том же	5	2
66	равно как и	1	2
67	в таком случае	3	2
68	и многие другие	1	2
69	человека и все	1	2
70	и та же	2	2
71	тогда как в	1	2
72	не то что	2	2
73	то к чему	1	2
74	по себе не	1	2
75	бы и в	1	2
76	и того же	1	2
77	все это в	1	1
78	хотя во многом	1	1
79	встречаются и в	1	1
80	за то что	1	1
81	но эти слова	1	1
82	на наших глазах	1	1
83	хотя бы и	1	1
84	потому что они	1	1
85	в первый раз	1	1
86	один из них	1	1
87	к сознанию необходимости	1	1
88	и в других	1	1
89	а вместе с	1	1
90	не столько выражение	1	1
91	и не в	1	1
92	в настоящее время	1	1
93	а потому что	2	1
94	что у нас	1	1
95	приходит в голову	1	1
96	и что в	2	1
97	так мы не	1	1
98	потому что никто	1	1
99	по мере своего	1	1
100	никто не думает	1	1
101	из себя все	1	1
102	он ни был	1	1
103	том что это	1	1
104	в которую не	1	1
105	но в таком	1	1
106	в чем не	1	1
107	вряд ли можно	1	1
108	хотя быть может	1	1
109	и в этом	1	1
110	может и не	1	1
111	я в себе	1	1
112	по мере приближения	1	1
113	прежде всего на	1	1
114	тогда как сознание	1	1
115	когда человек не	1	1
116	если бы не	1	1
117	на первый взгляд	1	1
118	таким образом и	2	1
119	мере приближения к	1	1
120	должна указывать на	1	1
121	не зависит от	1	1
122	по самой своей	2	1
123	но все это	1	1
124	к вопросу о	1	1
125	что иное как	1	1
126	том что этот	1	1
127	всем и каждому	1	1
128	что для определения	1	1
129	что как бы	1	1
130	лишь в том	1	1
131	в целом и	2	1
132	то что называют	1	1
133	оно могло бы	1	1
134	но только не	1	1
135	то ни было	1	1
136	таким образом в	1	1
137	к тому же	2	1
138	сих пор еще	1	1
139	то все же	1	1
140	в ребенке в	1	1
141	смысле то есть	1	1
142	еще не знал	1	1
143	впечатлений в образы	1	1
144	и даже намеренно	1	1
145	и содержание в	1	1
146	что в нем	1	1
147	по себе и	1	1
148	и в ее	1	1
149	нам вместе с	1	1
150	что в душе	1	1
151	бы он ни	2	1
152	его место в	1	1
153	относится и к	1	1
154	более и более	1	1
155	бросается в глаза	1	1
156	не что иное	1	1
157	есть лишь один	1	1
158	в самом деле	5	1
159	по этому поводу	1	1
160	в художественном произведении	1	1
161	объяснение только в	1	1
162	так можно выразиться	1	1
163	все более и	1	1
164	и не может	3	1
165	нет и не	2	1
166	не потому что	2	1
167	заключается в том	2	1
168	а о том	1	1
169	в одном из	2	1
170	в себе всю	1	1
171	и если бы	1	1
172	оставим в стороне	1	1
173	приходит к сознанию	1	1
174	вопрос о том	1	1
175	только то что	2	1
176	в том и	1	1
177	это значит что	3	1
178	не в силах	2	1
179	только на словах	1	1
180	могут быть названы	1	1
181	на наш взгляд	4	1
182	как один из	1	1
183	если так можно	1	1
184	может быть иначе	1	1
185	не есть действительность	1	1
186	ничего общего с	1	1
187	в силу действия	1	1
188	и по способу	1	1
189	бедность и ограниченность	1	1
190	бы то ни	1	1
191	именно потому что	1	1
192	время в его	1	1
193	себе а как	1	1
194	у него в	2	1
195	и тем самым	1	1
196	и в свою	1	1
197	что же касается	1	1
198	не повторяет в	1	1
199	в котором нет	1	1
200	в чем же	1	1
201	то по крайней	1	1
202	дело в том	4	1
203	значение того что	1	1
204	мысли и не	1	1
205	так как и	1	1
206	да и не	2	1
207	во многих случаях	1	1
208	и если так	1	1
209	потому что я	1	1
