1	и не	8	66
2	то есть	1	64
3	и в	14	59
4	в его	2	44
5	в этом	7	40
6	может быть	6	38
7	в нем	1	38
8	не может	7	31
9	а не	10	30
10	не только	10	26
11	для него	3	23
12	но и	4	22
13	таким образом	2	22
14	как и	3	21
15	то что	7	21
16	никогда не	1	19
17	в самом	2	19
18	в том	2	17
19	прежде всего	8	17
20	в своей	3	17
21	о нем	1	16
22	что он	2	16
23	только в	2	15
24	не как	3	15
25	в то	3	15
26	то же	5	15
27	том что	2	15
28	что в	1	14
29	с его	2	14
30	достоевского и	1	14
31	уже не	1	14
32	так и	1	13
33	по себе	2	13
34	это не	3	13
35	но не	2	13
36	в пределах	1	13
37	если бы	2	12
38	этом смысле	2	12
39	все это	5	12
40	в своем	1	12
41	до конца	1	11
42	входит в	1	11
43	он не	1	11
44	одним из	2	11
45	что и	2	10
46	за пределы	1	10
47	же время	3	10
48	не в	2	10
49	было бы	3	10
50	и с	2	10
51	она не	1	9
52	у него	1	9
53	в той	1	9
54	и потому	1	9
55	в конце	2	9
56	он и	1	9
57	все же	3	9
58	сказать что	1	9
59	самом деле	2	9
60	в себе	2	9
61	как раз	2	9
62	говорит он	1	9
63	в ней	1	8
64	ничего не	2	8
65	а как	2	8
66	их в	1	8
67	все в	1	7
68	на его	1	7
69	конечно не	4	7
70	но в	3	7
71	этом отношении	2	7
72	бы в	1	7
73	но это	2	7
74	конце концов	2	7
75	той же	1	7
76	бы и	2	6
77	художественной формы	2	6
78	в котором	1	6
79	не могут	2	6
80	со своими	1	6
81	его как	1	6
82	и у	2	6
83	к этому	1	6
84	идет не	1	6
85	что она	2	6
86	и слово	1	6
87	в которой	1	6
88	все что	1	6
89	между тем	2	5
90	в художественном	5	5
91	что все	2	5
92	в их	4	5
93	но именно	1	5
94	же как	1	5
95	о том	1	5
96	не было	1	5
97	тем что	2	5
98	хотя бы	5	5
99	в этой	4	5
100	по существу	2	5
101	что же	1	5
102	и для	2	5
103	могут быть	2	5
104	и это	1	5
105	по нашему	3	5
106	героя не	1	5
107	для себя	1	5
108	и даже	1	4
109	и все	1	4
110	должна быть	2	4
111	с другом	1	4
112	об этом	1	4
113	него не	1	4
114	его и	2	4
115	друг с	1	4
116	все они	2	4
117	должно быть	1	4
118	в сфере	1	4
119	что было	1	4
120	нет и	1	4
121	в процессе	1	4
122	того что	1	4
123	как на	1	4
124	что для	1	4
125	для этого	3	4
126	само по	1	4
127	в произведении	1	4
128	перестает быть	5	4
129	не значит	1	4
130	а о	2	4
131	все его	1	4
132	превращается в	2	4
133	тот же	1	4
134	он может	1	4
135	сам автор	1	4
136	ни было	3	4
137	должна была	2	4
138	приводит к	1	4
139	в области	3	3
140	в данном	1	3
141	это в	1	3
142	только при	1	3
143	не о	3	3
144	а его	2	3
145	далеко не	1	3
146	бы то	3	3
147	из которых	1	3
148	вот почему	7	3
149	форму художественного	1	3
150	мы не	2	3
151	крайней мере	2	3
152	слова а	1	3
153	не входит	1	3
154	он знает	1	3
155	с другой	4	3
156	еще раз	1	3
157	но конечно	2	3
158	думает о	1	3
159	это было	2	3
160	по крайней	2	3
161	он в	1	3
162	данном случае	1	3
163	время не	1	3
164	их и	2	3
165	начала и	1	3
166	художественного задания	2	3
167	же в	1	3
168	другой стороны	3	3
169	у толстого	1	3
170	ее как	1	3
171	и эта	1	3
172	нашему мнению	3	3
173	но он	1	3
174	можно сказать	1	3
175	не столько	2	3
176	друг другу	1	3
177	с самим	1	3
178	то ни	3	3
179	могли бы	2	3
180	мы можем	1	3
181	всех этих	2	3
182	художественного творчества	5	3
183	сих пор	2	3
184	до сих	2	3
185	и через	2	2
186	материал и	1	2
187	сводить к	1	2
188	или точнее	3	2
189	и прежде	1	2
190	толстого и	1	2
191	одно из	1	2
192	как таковой	2	2
193	в словах	1	2
194	он уже	1	2
195	и свое	1	2
196	себя на	1	2
197	всего что	1	2
198	принципа в	1	2
199	отсюда и	1	2
200	смысле этого	2	2
201	не все	2	2
202	что мы	2	2
203	себе еще	1	2
204	только для	1	2
205	тогда когда	1	2
206	человека и	1	2
207	остается в	1	2
208	ее в	1	2
209	форму и	2	2
210	если нет	1	2
211	и только	5	2
212	если не	2	2
213	случайно и	1	2
214	переходит в	1	2
215	и т.д	3	2
216	даже и	2	2
217	представляется нам	2	2
218	относится к	1	2
219	в которых	1	2
220	значимость и	1	2
221	во мне	1	2
222	или даже	1	2
223	имеем в	1	2
224	быть в	1	2
225	как нам	1	2
226	данного произведения	1	2
227	с которыми	1	2
228	является одним	1	2
229	в искусстве	6	2
230	и что	1	2
231	произведения в	1	2
232	то и	1	2
233	в таком	1	2
234	вне его	1	2
235	мы и	2	2
236	и вы	1	2
237	какие мы	1	2
238	тем более	1	2
239	но для	1	2
240	в виду	1	2
241	в частности	3	2
242	в этот	1	2
243	мы имеем	1	2
244	не есть	2	2
245	на своем	1	2
246	именно к	1	2
247	художником и	1	2
248	и вне	1	2
249	у нас	3	2
250	его на	1	2
251	он выдвигает	2	2
252	ее нельзя	2	2
253	именно этот	1	2
254	в сторону	2	1
255	это уже	2	1
256	или иных	2	1
257	в россии	4	1
258	не следует	3	1
259	к следующему	1	1
260	не столь	1	1
261	отказаться от	1	1
262	противном случае	2	1
263	тезис о	1	1
264	автора уже	1	1
265	этого термина	2	1
266	т.е в	2	1
267	действительно слишком	1	1
268	строго говоря	1	1
269	приходится признать	2	1
270	с одной	1	1
271	того как	1	1
272	обе эти	1	1
273	находит себе	1	1
274	существенно нового	1	1
275	этот процесс	1	1
276	о котором	1	1
277	первый план	1	1
278	материал для	2	1
279	все элементы	1	1
280	материалов и	1	1
281	а для	1	1
282	возникает проблема	1	1
283	что такое	4	1
284	его форма	1	1
285	этом случае	1	1
286	не то	1	1
287	и музыкальной	1	1
288	в значительной	1	1
289	как принцип	2	1
290	автор видит	1	1
291	наконец он	2	1
292	для второго	1	1
293	правда не	1	1
294	автора без	1	1
295	до предела	1	1
296	выводам и	1	1
297	подходят к	1	1
298	и единого	1	1
299	на эту	2	1
300	исторической поэтики	1	1
301	содержание в	1	1
302	бы это	1	1
303	художественного произведения	2	1
304	смысле и	1	1
305	которые могли	1	1
306	тех кто	1	1
307	но если	1	1
308	своей работе	1	1
309	и независимо	1	1
310	они в	1	1
311	равно как	1	1
312	и исторически	1	1
313	и форм	1	1
314	что по	1	1
315	из самых	1	1
316	в пользу	1	1
317	него уже	1	1
318	нем но	1	1
319	он становится	1	1
320	живого человека	1	1
321	как такового	3	1
322	концов не	1	1
323	же самое	2	1
324	быть тем	1	1
325	и то	3	1
326	не для	1	1
327	прием а	1	1
328	что только	1	1
329	выдвигает в	1	1
330	слово как	1	1
331	может служить	1	1
332	литературы в	1	1
333	в некоторых	2	1
334	тем менее	2	1
335	в известном	1	1
336	основного принципа	1	1
337	даже не	1	1
338	к области	2	1
339	такое понимание	1	1
340	быть не	1	1
341	на первый	2	1
342	или менее	1	1
343	само художественное	2	1
344	быть по	1	1
345	поскольку он	1	1
346	именно как	2	1
