N	2gram	Nazirov_Tv	VLabPisa
1	таким образом	14	32
2	в этом	11	29
3	не только	16	26
4	и в	40	26
5	и т	14	25
6	творческого процесса	4	23
7	может быть	11	23
8	во сне	1	21
9	и не	12	20
10	хотя бы	5	20
11	художественного творчества	1	19
12	т е	1	18
13	не может	9	17
14	в процессе	3	17
15	творческий процесс	2	17
16	в письме	1	16
17	т д	10	16
18	в его	19	15
19	в том	13	15
20	все это	14	13
21	прежде всего	10	13
22	в качестве	2	12
23	вот что	1	12
24	л толстой	1	12
25	письме к	1	12
26	в частности	4	12
27	как это	2	12
28	что в	17	11
29	представляет собою	2	11
30	с другой	4	11
31	из них	4	11
32	то же	19	10
33	не могут	2	10
34	в художественном	1	10
35	о том	9	10
36	но и	10	10
37	реальной действительности	1	10
38	по этому	1	10
39	и др	2	10
40	для него	9	9
41	как видим	1	9
42	об этом	4	9
43	т п	4	9
44	к этому	4	9
45	могут быть	4	8
46	другой стороны	2	8
47	только в	7	8
48	по словам	2	8
49	все эти	3	8
50	вместе с	4	8
51	том что	14	8
52	было бы	2	8
53	в своем	4	8
54	в основном	9	7
55	это не	9	7
56	говорит о	3	7
57	в году	22	7
58	в конечном	4	7
59	не было	3	7
60	по отношению	3	7
61	тому что	2	7
62	как и	16	7
63	их в	1	7
64	действительности и	3	7
65	во всех	2	7
66	а не	9	7
67	то что	9	7
68	произведения в	1	7
69	художественное произведение	1	7
70	главным образом	1	7
71	отношению к	3	7
72	же в	1	7
73	в нем	4	7
74	из этих	1	7
75	один из	5	6
76	произведения как	1	6
77	думается что	1	6
78	у него	11	6
79	все же	9	6
80	приводит к	4	6
81	творческом процессе	4	6
82	идеи и	2	6
83	это и	4	6
84	бы и	1	6
85	он же	2	6
86	в искусстве	3	6
87	не в	3	6
88	между тем	2	6
89	так и	5	6
90	художественного произведения	1	6
91	в себе	3	6
92	том же	3	6
93	и его	14	6
94	в то	23	6
95	художественный образ	1	5
96	даже в	4	5
97	в результате	1	5
98	в их	5	5
99	в них	1	5
100	связи с	2	5
101	одним из	6	5
102	конечном счете	4	5
103	как говорит	1	5
104	к тому	2	5
105	перед нами	3	5
106	не является	3	5
107	он говорит	3	5
108	на основе	1	5
109	вот почему	3	5
110	действующих лиц	1	5
111	в одном	3	5
112	в пределах	1	5
113	же время	18	5
114	как бы	26	5
115	в целом	7	5
116	сказать что	3	5
117	в плане	4	5
118	и есть	2	5
119	никогда не	13	5
120	в самом	6	4
121	всего произведения	1	4
122	ее в	3	4
123	только что	2	4
124	познания и	2	4
125	в ее	3	4
126	как раз	2	4
127	жорж санд	1	4
128	можно сказать	2	4
129	что для	3	4
130	в этой	7	4
131	замысла и	1	4
132	что все	4	4
133	что он	11	4
134	равно как	1	4
135	в виду	3	4
136	в романе	24	4
137	с тем	1	4
138	с ними	3	4
139	в своей	8	4
140	является не	1	4
141	одном из	2	4
142	роль в	2	4
143	должен быть	1	4
144	с его	12	4
145	чем же	1	4
146	в связи	2	4
147	в философии	2	4
148	когда он	4	4
149	в нашей	2	4
150	их и	1	4
151	в творческой	4	4
152	творческой практике	1	4
153	в сознании	1	4
154	одна из	5	4
155	рассказывает о	3	4
156	по поводу	1	4
157	отнюдь не	9	4
158	во время	2	4
159	и ее	1	4
160	образов и	1	4
161	в статье	2	4
162	и к	1	3
163	что они	3	3
164	что оно	2	3
165	и он	4	3
166	что у	5	3
167	этой проблемы	2	3
168	этой области	1	3
169	в дневнике	3	3
170	мы знаем	2	3
171	мы имеем	1	3
172	действительной жизни	4	3
173	от января	1	3
174	а вот	1	3
175	естественно что	1	3
176	того что	3	3
177	никак не	1	3
178	в комнату	3	3
179	него в	2	3
180	утверждает что	1	3
181	со своим	2	3
182	процессе художественного	1	3
183	что и	3	3
184	у нас	2	3
185	сводится к	2	3
186	его в	2	3
187	если бы	4	3
188	или в	2	3
189	в другую	1	3
190	это мы	1	3
191	шел в	2	3
192	именно в	6	3
193	января года	4	3
194	что замысел	1	3
195	в конце	5	3
196	например в	3	3
197	разума и	1	3
198	у тургенева	2	3
199	между ними	1	3
200	и как	5	3
201	в творческом	4	3
202	же и	2	3
203	в которых	3	3
204	не столь	1	3
205	том как	1	3
206	своем творчестве	1	3
207	вовсе не	5	3
208	при создании	1	3
209	с этим	2	3
210	и мир	3	3
211	а в	10	3
212	говорил что	2	3
213	что не	5	3
214	некоторые из	2	3
215	как о	1	3
216	в котором	8	3
217	из элементов	1	3
218	даже и	1	3
219	она не	2	3
220	в противоположность	1	3
221	его не	1	3
222	но даже	1	3
223	всего лишь	1	3
224	в работе	1	3
225	отнюдь нет	1	3
226	идей и	2	3
227	и их	2	3
228	как он	1	3
229	вслед за	2	3
230	мая года	1	3
231	далеко не	3	3
232	этот вопрос	4	3
233	так же	6	3
234	при помощи	4	3
235	человека и	6	3
236	при всем	1	3
237	в творчестве	10	3
238	писал в	1	3
239	как на	1	3
240	нет и	1	3
241	образом в	1	3
242	и от	8	3
243	жизни и	3	3
244	и по	5	3
245	толстого в	1	3
246	всех этих	1	3
247	а н	1	3
248	мы видели	1	3
249	мы наблюдаем	2	2
250	и впечатления	1	2
251	к сожалению	1	2
252	же о	1	2
253	отметить что	1	2
254	им как	1	2
255	только не	1	2
256	своими героями	1	2
257	канонического текста	1	2
258	все его	1	2
259	том чтобы	1	2
260	писателя и	1	2
261	и этот	1	2
262	типизации и	1	2
263	нет ни	3	2
264	эта теория	1	2
265	достоевского и	5	2
266	на вопрос	1	2
267	если в	3	2
268	замысел и	1	2
269	самого себя	1	2
270	должно быть	1	2
271	зависит от	4	2
272	при всей	1	2
273	с одной	2	2
274	том числе	1	2
275	воображение и	1	2
276	внимание на	1	2
277	своих героев	5	2
278	говорить о	1	2
279	да и	1	2
280	марта года	4	2
281	хотя и	5	2
282	в пользу	2	2
283	связанное с	1	2
284	о чем	1	2
285	для многих	1	2
286	после этого	1	2
287	что такое	1	2
288	а затем	5	2
289	как у	3	2
290	и через	4	2
291	и достоевский	5	2
292	из своих	1	2
293	для них	2	2
294	не столько	4	2
295	с другими	1	2
296	сновидения и	1	2
297	по себе	2	2
298	частности в	1	2
299	все произведение	1	2
300	разобраться в	1	2
301	но с	1	2
302	в своих	8	2
303	запись от	1	2
304	и даже	8	2
305	сюжета и	1	2
306	и наконец	3	2
307	в которой	5	2
308	не о	1	2
309	и некоторые	1	2
310	а о	1	2
311	рассудком и	1	2
312	а г	3	2
313	что его	4	2
314	всех его	1	2
315	роман был	1	2
316	мысль о	3	2
317	что она	5	2
318	от апреля	2	2
319	но не	7	2
320	в ней	2	2
321	который по	1	2
