N	2gram	Losev_Vlad	VelikijI
1	во имя	1	32
2	и не	33	20
3	и в	56	16
4	так как	11	9
5	то что	30	9
6	в истории	4	8
7	в пустыне	1	8
8	от бога	1	8
9	к богу	2	8
10	еще не	2	8
11	и потому	8	7
12	что они	4	7
13	а не	5	7
14	на земле	2	7
15	к людям	1	6
16	не есть	4	6
17	хотя и	9	5
18	того что	6	5
19	все это	7	5
20	ты не	1	5
21	по пути	1	5
22	как бы	5	5
23	бога и	3	5
24	на себя	3	5
25	но и	26	5
26	все что	2	4
27	в котором	10	4
28	в этом	30	4
29	что мы	2	4
30	потому что	16	4
31	в его	18	4
32	во мне	2	4
33	в ней	5	4
34	так и	11	4
35	говорить о	1	4
36	с богом	3	4
37	и есть	2	4
38	и все	8	4
39	что не	3	4
40	великих и	1	4
41	что все	2	4
42	как и	7	4
43	что он	22	4
44	и я	7	4
45	в нем	7	4
46	во всех	4	3
47	что в	24	3
48	нет ничего	1	3
49	к счастью	1	3
50	бы и	1	3
51	и против	1	3
52	и мы	6	3
53	за ним	1	3
54	людей во	1	3
55	то это	4	3
56	в конце	22	3
57	должно быть	1	3
58	в первый	2	3
59	если не	4	3
60	хотя бы	5	3
61	в том	26	3
62	первый раз	1	3
63	любовь к	1	3
64	тому что	1	3
65	личности и	2	3
66	не в	12	3
67	и что	11	3
68	что и	6	3
69	ни в	4	3
70	в этих	5	3
71	в них	5	3
72	не было	12	3
73	лишь в	3	3
74	к чему	1	3
75	что во	2	3
76	в жизни	4	3
77	что я	5	3
78	человечества и	1	3
79	по этому	3	3
80	в социализме	2	3
81	их в	3	3
82	в своей	7	3
83	и вечной	1	3
84	с его	15	3
85	не имеет	2	3
86	но это	6	3
87	и для	4	3
88	жизни и	8	3
89	верят в	1	3
90	в чем	4	3
91	все эти	6	3
92	тот же	7	3
93	но в	19	3
94	к тому	5	3
95	за то	2	3
96	никогда не	15	3
97	людей в	2	3
98	государства и	1	2
99	тем кто	2	2
100	во всяком	8	2
101	от него	3	2
102	нас за	1	2
103	его и	2	2
104	жизни все	2	2
105	материалом для	1	2
106	уже на	3	2
107	а к	24	2
108	один из	4	2
109	освобождения от	1	2
110	мы и	4	2
111	не могли	2	2
112	самого себя	1	2
113	которые не	1	2
114	более чем	1	2
115	на том	1	2
116	ли ты	1	2
117	когда я	1	2
118	его не	2	2
119	не так	1	2
120	того чтобы	4	2
121	это не	3	2
122	это все	1	2
123	не только	35	2
124	для него	16	2
125	вот почему	1	2
126	человека как	3	2
127	и тогда	1	2
128	с ним	10	2
129	выше всего	1	2
130	на этих	2	2
131	человечество на	1	2
132	но теперь	1	2
133	авторитетом и	2	2
134	не будет	1	2
135	понимает и	1	2
136	ее в	1	2
137	для нас	9	2
138	и то	13	2
139	своей истории	1	2
140	и за	3	2
141	не с	1	2
142	на нас	1	2
143	прежде всего	5	2
144	для них	2	2
145	и это	4	2
146	мы не	2	2
147	конечно не	5	2
148	и теперь	4	2
149	только в	11	2
150	силы человека	1	2
151	все равно	1	2
152	а с	5	2
153	выше всякого	1	2
154	а в	20	2
155	до того	1	2
156	в бога	1	2
157	в прошлом	1	2
158	не хотел	1	2
159	истории и	1	2
160	и сам	7	2
161	было еще	1	2
162	человечества а	1	2
163	и любви	1	2
164	нет и	2	2
165	это мы	5	2
166	раз навсегда	1	2
167	но не	5	2
168	у людей	1	2
169	и никогда	2	2
170	тем что	2	2
171	вера в	4	2
172	тот кто	1	2
173	духа и	1	2
174	и во	3	2
175	не имел	1	2
176	с тем	4	2
177	и т	3	2
178	к нам	1	2
179	о высшем	2	2
180	одна из	1	2
181	его к	3	2
182	не могут	2	2
183	т д	3	2
184	да и	6	2
185	том что	22	2
186	когда в	1	2
187	мир и	1	2
188	но мы	3	2
189	в себя	1	2
190	в существе	1	2
191	что их	1	2
192	уже не	6	2
193	вопросе о	1	2
194	не к	2	2
195	я говорю	1	2
196	дал нам	1	2
197	свобода и	1	1
198	жизни но	1	1
199	основанной на	1	1
200	и мир	1	1
201	в новом	2	1
202	с которыми	2	1
203	в самом	3	1
204	сливаться с	1	1
205	во всем	4	1
206	тот день	1	1
207	и каким	1	1
208	бы то	2	1
209	были в	2	1
210	связь с	1	1
211	и другие	2	1
212	то есть	5	1
213	его личности	2	1
214	было не	2	1
215	человека в	1	1
216	но как	6	1
217	все в	1	1
218	самодержавии и	1	1
219	в окончательном	1	1
220	уже сказано	1	1
221	на котором	2	1
222	любви и	1	1
223	человеческой жизни	1	1
224	должно иметь	1	1
225	русском самодержавии	1	1
226	вообще в	4	1
227	мы скажем	1	1
228	этих свободных	1	1
229	тоже не	2	1
230	он говорит	2	1
231	будто бы	2	1
232	и на	7	1
233	вопрос о	1	1
234	и которую	1	1
235	и великая	1	1
236	на этом	3	1
237	же и	1	1
238	может быть	12	1
239	они не	1	1
240	что нет	1	1
241	после того	2	1
242	тогда говорил	1	1
243	не имеют	1	1
244	раз и	4	1
245	и свою	1	1
246	богом и	2	1
247	если в	1	1
248	ее на	3	1
249	лет назад	1	1
250	указать на	2	1
251	того как	2	1
252	которая в	1	1
253	совместима с	1	1
254	мы увидим	4	1
255	и вообще	12	1
256	и который	2	1
257	человечество и	1	1
258	и вот	5	1
259	с любовью	1	1
260	она не	3	1
261	там он	1	1
262	но она	4	1
263	уже в	9	1
264	вечное и	1	1
265	нас тогда	1	1
266	было сказать	1	1
267	мира вне	1	1
268	ли так	1	1
269	в состоянии	1	1
270	для себя	6	1
271	позитивизма и	1	1
272	у них	2	1
273	что уже	1	1
274	с этой	4	1
275	боролся с	1	1
276	то же	10	1
277	и если	8	1
278	и сказал	1	1
279	теперь в	1	1
280	не имею	1	1
281	во что	1	1
282	в катакомбах	1	1
283	таких как	1	1
284	то ни	2	1
285	для того	4	1
286	людей но	1	1
287	не по	2	1
288	не для	1	1
289	эта идея	1	1
290	и своим	2	1
291	кто знает	1	1
292	том заключается	1	1
293	ничего кроме	1	1
294	на два	1	1
295	думаю что	1	1
296	что это	2	1
297	о земной	1	1
298	в разных	1	1
299	него в	4	1
300	от всякой	2	1
301	в глазах	1	1
302	о чем	6	1
303	тайны и	1	1
304	их жизни	1	1
305	с такой	1	1
306	видишь ли	1	1
307	и тем	2	1
308	важное место	1	1
309	и уже	1	1
310	жизни там	1	1
311	если б	1	1
312	говорит о	1	1
313	как это	11	1
314	как сам	1	1
315	любви ко	1	1
316	не понимает	1	1
317	истории в	2	1
